# Unicode Characters in the Mongolian Block
# Source: http://www.fileformat.info/info/unicode/block/mongolian/list.htm
"U+1880", "\xe1\xa2\x80", "MONGOLIAN LETTER ALI GALI ANUSVARA ONE (U+1880)"
"U+1881", "\xe1\xa2\x81", "MONGOLIAN LETTER ALI GALI VISARGA ONE (U+1881)"
"U+1882", "\xe1\xa2\x82", "MONGOLIAN LETTER ALI GALI DAMARU (U+1882)"
"U+1883", "\xe1\xa2\x83", "MONGOLIAN LETTER ALI GALI UBADAMA (U+1883)"
"U+1884", "\xe1\xa2\x84", "MONGOLIAN LETTER ALI GALI INVERTED UBADAMA (U+1884)"
"U+1885", "\xe1\xa2\x85", "MONGOLIAN LETTER ALI GALI BALUDA (U+1885)"
"U+1886", "\xe1\xa2\x86", "MONGOLIAN LETTER ALI GALI THREE BALUDA (U+1886)"
"U+1887", "\xe1\xa2\x87", "MONGOLIAN LETTER ALI GALI A (U+1887)"
"U+1888", "\xe1\xa2\x88", "MONGOLIAN LETTER ALI GALI I (U+1888)"
"U+1889", "\xe1\xa2\x89", "MONGOLIAN LETTER ALI GALI KA (U+1889)"
"U+188A", "\xe1\xa2\x8a", "MONGOLIAN LETTER ALI GALI NGA (U+188A)"
"U+188B", "\xe1\xa2\x8b", "MONGOLIAN LETTER ALI GALI CA (U+188B)"
"U+188C", "\xe1\xa2\x8c", "MONGOLIAN LETTER ALI GALI TTA (U+188C)"
"U+188D", "\xe1\xa2\x8d", "MONGOLIAN LETTER ALI GALI TTHA (U+188D)"
"U+188E", "\xe1\xa2\x8e", "MONGOLIAN LETTER ALI GALI DDA (U+188E)"
"U+188F", "\xe1\xa2\x8f", "MONGOLIAN LETTER ALI GALI NNA (U+188F)"
"U+1890", "\xe1\xa2\x90", "MONGOLIAN LETTER ALI GALI TA (U+1890)"
"U+1891", "\xe1\xa2\x91", "MONGOLIAN LETTER ALI GALI DA (U+1891)"
"U+1892", "\xe1\xa2\x92", "MONGOLIAN LETTER ALI GALI PA (U+1892)"
"U+1893", "\xe1\xa2\x93", "MONGOLIAN LETTER ALI GALI PHA (U+1893)"
"U+1894", "\xe1\xa2\x94", "MONGOLIAN LETTER ALI GALI SSA (U+1894)"
"U+1895", "\xe1\xa2\x95", "MONGOLIAN LETTER ALI GALI ZHA (U+1895)"
"U+1896", "\xe1\xa2\x96", "MONGOLIAN LETTER ALI GALI ZA (U+1896)"
"U+1897", "\xe1\xa2\x97", "MONGOLIAN LETTER ALI GALI AH (U+1897)"
"U+1898", "\xe1\xa2\x98", "MONGOLIAN LETTER TODO ALI GALI TA (U+1898)"
"U+1899", "\xe1\xa2\x99", "MONGOLIAN LETTER TODO ALI GALI ZHA (U+1899)"
"U+189A", "\xe1\xa2\x9a", "MONGOLIAN LETTER MANCHU ALI GALI GHA (U+189A)"
"U+189B", "\xe1\xa2\x9b", "MONGOLIAN LETTER MANCHU ALI GALI NGA (U+189B)"
"U+189C", "\xe1\xa2\x9c", "MONGOLIAN LETTER MANCHU ALI GALI CA (U+189C)"
"U+189D", "\xe1\xa2\x9d", "MONGOLIAN LETTER MANCHU ALI GALI JHA (U+189D)"
"U+189E", "\xe1\xa2\x9e", "MONGOLIAN LETTER MANCHU ALI GALI TTA (U+189E)"
"U+189F", "\xe1\xa2\x9f", "MONGOLIAN LETTER MANCHU ALI GALI DDHA (U+189F)"
"U+18A0", "\xe1\xa2\xa0", "MONGOLIAN LETTER MANCHU ALI GALI TA (U+18A0)"
"U+18A1", "\xe1\xa2\xa1", "MONGOLIAN LETTER MANCHU ALI GALI DHA (U+18A1)"
"U+18A2", "\xe1\xa2\xa2", "MONGOLIAN LETTER MANCHU ALI GALI SSA (U+18A2)"
"U+18A3", "\xe1\xa2\xa3", "MONGOLIAN LETTER MANCHU ALI GALI CYA (U+18A3)"
"U+18A4", "\xe1\xa2\xa4", "MONGOLIAN LETTER MANCHU ALI GALI ZHA (U+18A4)"
"U+18A5", "\xe1\xa2\xa5", "MONGOLIAN LETTER MANCHU ALI GALI ZA (U+18A5)"
"U+18A6", "\xe1\xa2\xa6", "MONGOLIAN LETTER ALI GALI HALF U (U+18A6)"
"U+18A7", "\xe1\xa2\xa7", "MONGOLIAN LETTER ALI GALI HALF YA (U+18A7)"
"U+18A8", "\xe1\xa2\xa8", "MONGOLIAN LETTER MANCHU ALI GALI BHA (U+18A8)"
"U+18A9", "\xe1\xa2\xa9", "MONGOLIAN LETTER ALI GALI DAGALGA (U+18A9)"
"U+18AA", "\xe1\xa2\xaa", "MONGOLIAN LETTER MANCHU ALI GALI LHA (U+18AA)"
