# CJK Compatibility Ideographs Supplement
U+2F873, \xf0\xaf\xa1\xb3, CJK COMPATIBILITY IDEOGRAPH-2F873
U+2F874, \xf0\xaf\xa1\xb4, CJK COMPATIBILITY IDEOGRAPH-2F874
U+2F875, \xf0\xaf\xa1\xb5, CJK COMPATIBILITY IDEOGRAPH-2F875
U+2F876, \xf0\xaf\xa1\xb6, CJK COMPATIBILITY IDEOGRAPH-2F876
U+2F877, \xf0\xaf\xa1\xb7, CJK COMPATIBILITY IDEOGRAPH-2F877
U+2F878, \xf0\xaf\xa1\xb8, CJK COMPATIBILITY IDEOGRAPH-2F878
U+2F879, \xf0\xaf\xa1\xb9, CJK COMPATIBILITY IDEOGRAPH-2F879
U+2F87A, \xf0\xaf\xa1\xba, CJK COMPATIBILITY IDEOGRAPH-2F87A
U+2F87B, \xf0\xaf\xa1\xbb, CJK COMPATIBILITY IDEOGRAPH-2F87B
U+2F87C, \xf0\xaf\xa1\xbc, CJK COMPATIBILITY IDEOGRAPH-2F87C
U+2F87D, \xf0\xaf\xa1\xbd, CJK COMPATIBILITY IDEOGRAPH-2F87D
U+2F87E, \xf0\xaf\xa1\xbe, CJK COMPATIBILITY IDEOGRAPH-2F87E
U+2F87F, \xf0\xaf\xa1\xbf, CJK COMPATIBILITY IDEOGRAPH-2F87F
U+2F880, \xf0\xaf\xa2\x80, CJK COMPATIBILITY IDEOGRAPH-2F880
U+2F881, \xf0\xaf\xa2\x81, CJK COMPATIBILITY IDEOGRAPH-2F881
U+2F882, \xf0\xaf\xa2\x82, CJK COMPATIBILITY IDEOGRAPH-2F882
U+2F883, \xf0\xaf\xa2\x83, CJK COMPATIBILITY IDEOGRAPH-2F883
U+2F884, \xf0\xaf\xa2\x84, CJK COMPATIBILITY IDEOGRAPH-2F884
U+2F885, \xf0\xaf\xa2\x85, CJK COMPATIBILITY IDEOGRAPH-2F885
U+2F886, \xf0\xaf\xa2\x86, CJK COMPATIBILITY IDEOGRAPH-2F886
U+2F887, \xf0\xaf\xa2\x87, CJK COMPATIBILITY IDEOGRAPH-2F887
U+2F888, \xf0\xaf\xa2\x88, CJK COMPATIBILITY IDEOGRAPH-2F888
U+2F889, \xf0\xaf\xa2\x89, CJK COMPATIBILITY IDEOGRAPH-2F889
U+2F88A, \xf0\xaf\xa2\x8a, CJK COMPATIBILITY IDEOGRAPH-2F88A
U+2F88B, \xf0\xaf\xa2\x8b, CJK COMPATIBILITY IDEOGRAPH-2F88B
U+2F88C, \xf0\xaf\xa2\x8c, CJK COMPATIBILITY IDEOGRAPH-2F88C
U+2F88D, \xf0\xaf\xa2\x8d, CJK COMPATIBILITY IDEOGRAPH-2F88D
U+2F88E, \xf0\xaf\xa2\x8e, CJK COMPATIBILITY IDEOGRAPH-2F88E
U+2F88F, \xf0\xaf\xa2\x8f, CJK COMPATIBILITY IDEOGRAPH-2F88F
U+2F890, \xf0\xaf\xa2\x90, CJK COMPATIBILITY IDEOGRAPH-2F890
U+2F891, \xf0\xaf\xa2\x91, CJK COMPATIBILITY IDEOGRAPH-2F891
U+2F892, \xf0\xaf\xa2\x92, CJK COMPATIBILITY IDEOGRAPH-2F892
U+2F893, \xf0\xaf\xa2\x93, CJK COMPATIBILITY IDEOGRAPH-2F893
U+2F894, \xf0\xaf\xa2\x94, CJK COMPATIBILITY IDEOGRAPH-2F894
U+2F895, \xf0\xaf\xa2\x95, CJK COMPATIBILITY IDEOGRAPH-2F895
U+2F896, \xf0\xaf\xa2\x96, CJK COMPATIBILITY IDEOGRAPH-2F896
U+2F897, \xf0\xaf\xa2\x97, CJK COMPATIBILITY IDEOGRAPH-2F897
U+2F898, \xf0\xaf\xa2\x98, CJK COMPATIBILITY IDEOGRAPH-2F898
U+2F899, \xf0\xaf\xa2\x99, CJK COMPATIBILITY IDEOGRAPH-2F899
U+2F89A, \xf0\xaf\xa2\x9a, CJK COMPATIBILITY IDEOGRAPH-2F89A
U+2F89B, \xf0\xaf\xa2\x9b, CJK COMPATIBILITY IDEOGRAPH-2F89B
U+2F89C, \xf0\xaf\xa2\x9c, CJK COMPATIBILITY IDEOGRAPH-2F89C
U+2F89D, \xf0\xaf\xa2\x9d, CJK COMPATIBILITY IDEOGRAPH-2F89D
U+2F89E, \xf0\xaf\xa2\x9e, CJK COMPATIBILITY IDEOGRAPH-2F89E
U+2F89F, \xf0\xaf\xa2\x9f, CJK COMPATIBILITY IDEOGRAPH-2F89F
U+2F8A0, \xf0\xaf\xa2\xa0, CJK COMPATIBILITY IDEOGRAPH-2F8A0
U+2F8A1, \xf0\xaf\xa2\xa1, CJK COMPATIBILITY IDEOGRAPH-2F8A1
U+2F8A2, \xf0\xaf\xa2\xa2, CJK COMPATIBILITY IDEOGRAPH-2F8A2
U+2F8A3, \xf0\xaf\xa2\xa3, CJK COMPATIBILITY IDEOGRAPH-2F8A3
U+2F8A4, \xf0\xaf\xa2\xa4, CJK COMPATIBILITY IDEOGRAPH-2F8A4
U+2F8A5, \xf0\xaf\xa2\xa5, CJK COMPATIBILITY IDEOGRAPH-2F8A5
U+2F8A6, \xf0\xaf\xa2\xa6, CJK COMPATIBILITY IDEOGRAPH-2F8A6
U+2F8A7, \xf0\xaf\xa2\xa7, CJK COMPATIBILITY IDEOGRAPH-2F8A7
U+2F8A8, \xf0\xaf\xa2\xa8, CJK COMPATIBILITY IDEOGRAPH-2F8A8
U+2F8A9, \xf0\xaf\xa2\xa9, CJK COMPATIBILITY IDEOGRAPH-2F8A9
U+2F8AA, \xf0\xaf\xa2\xaa, CJK COMPATIBILITY IDEOGRAPH-2F8AA
U+2F8AB, \xf0\xaf\xa2\xab, CJK COMPATIBILITY IDEOGRAPH-2F8AB
U+2F8AC, \xf0\xaf\xa2\xac, CJK COMPATIBILITY IDEOGRAPH-2F8AC
U+2F8AD, \xf0\xaf\xa2\xad, CJK COMPATIBILITY IDEOGRAPH-2F8AD
U+2F8AE, \xf0\xaf\xa2\xae, CJK COMPATIBILITY IDEOGRAPH-2F8AE
U+2F8AF, \xf0\xaf\xa2\xaf, CJK COMPATIBILITY IDEOGRAPH-2F8AF
U+2F8B0, \xf0\xaf\xa2\xb0, CJK COMPATIBILITY IDEOGRAPH-2F8B0
U+2F8B1, \xf0\xaf\xa2\xb1, CJK COMPATIBILITY IDEOGRAPH-2F8B1
U+2F8B2, \xf0\xaf\xa2\xb2, CJK COMPATIBILITY IDEOGRAPH-2F8B2
U+2F8B3, \xf0\xaf\xa2\xb3, CJK COMPATIBILITY IDEOGRAPH-2F8B3
U+2F8B4, \xf0\xaf\xa2\xb4, CJK COMPATIBILITY IDEOGRAPH-2F8B4
U+2F8B5, \xf0\xaf\xa2\xb5, CJK COMPATIBILITY IDEOGRAPH-2F8B5
U+2F8B6, \xf0\xaf\xa2\xb6, CJK COMPATIBILITY IDEOGRAPH-2F8B6
U+2F8B7, \xf0\xaf\xa2\xb7, CJK COMPATIBILITY IDEOGRAPH-2F8B7
U+2F8B8, \xf0\xaf\xa2\xb8, CJK COMPATIBILITY IDEOGRAPH-2F8B8
U+2F8B9, \xf0\xaf\xa2\xb9, CJK COMPATIBILITY IDEOGRAPH-2F8B9
U+2F8BA, \xf0\xaf\xa2\xba, CJK COMPATIBILITY IDEOGRAPH-2F8BA
U+2F8BB, \xf0\xaf\xa2\xbb, CJK COMPATIBILITY IDEOGRAPH-2F8BB
U+2F8BC, \xf0\xaf\xa2\xbc, CJK COMPATIBILITY IDEOGRAPH-2F8BC
U+2F8BD, \xf0\xaf\xa2\xbd, CJK COMPATIBILITY IDEOGRAPH-2F8BD
U+2F8BE, \xf0\xaf\xa2\xbe, CJK COMPATIBILITY IDEOGRAPH-2F8BE
U+2F8BF, \xf0\xaf\xa2\xbf, CJK COMPATIBILITY IDEOGRAPH-2F8BF
U+2F8C0, \xf0\xaf\xa3\x80, CJK COMPATIBILITY IDEOGRAPH-2F8C0
U+2F8C1, \xf0\xaf\xa3\x81, CJK COMPATIBILITY IDEOGRAPH-2F8C1
U+2F8C2, \xf0\xaf\xa3\x82, CJK COMPATIBILITY IDEOGRAPH-2F8C2
U+2F8C3, \xf0\xaf\xa3\x83, CJK COMPATIBILITY IDEOGRAPH-2F8C3
U+2F8C4, \xf0\xaf\xa3\x84, CJK COMPATIBILITY IDEOGRAPH-2F8C4
U+2F8C5, \xf0\xaf\xa3\x85, CJK COMPATIBILITY IDEOGRAPH-2F8C5
U+2F8C6, \xf0\xaf\xa3\x86, CJK COMPATIBILITY IDEOGRAPH-2F8C6
U+2F8C7, \xf0\xaf\xa3\x87, CJK COMPATIBILITY IDEOGRAPH-2F8C7
