# Tai Le
U+1A44, \xe1\xa9\x84, TAI THAM LETTER LUE
U+1A45, \xe1\xa9\x85, TAI THAM LETTER WA
U+1A46, \xe1\xa9\x86, TAI THAM LETTER HIGH SHA
U+1A47, \xe1\xa9\x87, TAI THAM LETTER HIGH SSA
U+1A48, \xe1\xa9\x88, TAI THAM LETTER HIGH SA
U+1A49, \xe1\xa9\x89, TAI THAM LETTER HIGH HA
U+1A4A, \xe1\xa9\x8a, TAI THAM LETTER LLA
U+1A4B, \xe1\xa9\x8b, TAI THAM LETTER A
U+1A4C, \xe1\xa9\x8c, TAI THAM LETTER LOW HA
U+1A4D, \xe1\xa9\x8d, TAI THAM LETTER I
U+1A4E, \xe1\xa9\x8e, TAI THAM LETTER II
U+1A4F, \xe1\xa9\x8f, TAI THAM LETTER U
