# Unicode Characters in the Cuneiform Block
# Source: http://www.fileformat.info/info/unicode/block/cuneiform/list.htm
"U+1206D", "\xe1\x88\x86\x44", "CUNEIFORM SIGN DAG KISIM5 TIMES USH (U+1206D)"
"U+1206E", "\xe1\x88\x86\x45", "CUNEIFORM SIGN DAM (U+1206E)"
"U+1206F", "\xe1\x88\x86\x46", "CUNEIFORM SIGN DAR (U+1206F)"
"U+12070", "\xe1\x88\x87\x30", "CUNEIFORM SIGN DARA3 (U+12070)"
"U+12071", "\xe1\x88\x87\x31", "CUNEIFORM SIGN DARA4 (U+12071)"
"U+12072", "\xe1\x88\x87\x32", "CUNEIFORM SIGN DI (U+12072)"
"U+12073", "\xe1\x88\x87\x33", "CUNEIFORM SIGN DIB (U+12073)"
"U+12074", "\xe1\x88\x87\x34", "CUNEIFORM SIGN DIM (U+12074)"
"U+12075", "\xe1\x88\x87\x35", "CUNEIFORM SIGN DIM TIMES SHE (U+12075)"
"U+12076", "\xe1\x88\x87\x36", "CUNEIFORM SIGN DIM2 (U+12076)"
"U+12077", "\xe1\x88\x87\x37", "CUNEIFORM SIGN DIN (U+12077)"
"U+12078", "\xe1\x88\x87\x38", "CUNEIFORM SIGN DIN KASKAL U GUNU DISH (U+12078)"
"U+12079", "\xe1\x88\x87\x39", "CUNEIFORM SIGN DISH (U+12079)"
"U+1207A", "\xe1\x88\x87\x41", "CUNEIFORM SIGN DU (U+1207A)"
"U+1207B", "\xe1\x88\x87\x42", "CUNEIFORM SIGN DU OVER DU (U+1207B)"
"U+1207C", "\xe1\x88\x87\x43", "CUNEIFORM SIGN DU GUNU (U+1207C)"
"U+1207D", "\xe1\x88\x87\x44", "CUNEIFORM SIGN DU SHESHIG (U+1207D)"
"U+1207E", "\xe1\x88\x87\x45", "CUNEIFORM SIGN DUB (U+1207E)"
"U+1207F", "\xe1\x88\x87\x46", "CUNEIFORM SIGN DUB TIMES ESH2 (U+1207F)"
"U+12080", "\xe1\x88\x88\x30", "CUNEIFORM SIGN DUB2 (U+12080)"
"U+12081", "\xe1\x88\x88\x31", "CUNEIFORM SIGN DUG (U+12081)"
"U+12082", "\xe1\x88\x88\x32", "CUNEIFORM SIGN DUGUD (U+12082)"
"U+12083", "\xe1\x88\x88\x33", "CUNEIFORM SIGN DUH (U+12083)"
"U+12084", "\xe1\x88\x88\x34", "CUNEIFORM SIGN DUN (U+12084)"
"U+12085", "\xe1\x88\x88\x35", "CUNEIFORM SIGN DUN3 (U+12085)"
"U+12086", "\xe1\x88\x88\x36", "CUNEIFORM SIGN DUN3 GUNU (U+12086)"
"U+12087", "\xe1\x88\x88\x37", "CUNEIFORM SIGN DUN3 GUNU GUNU (U+12087)"
"U+12088", "\xe1\x88\x88\x38", "CUNEIFORM SIGN DUN4 (U+12088)"
"U+12089", "\xe1\x88\x88\x39", "CUNEIFORM SIGN DUR2 (U+12089)"
"U+1208A", "\xe1\x88\x88\x41", "CUNEIFORM SIGN E (U+1208A)"
"U+1208B", "\xe1\x88\x88\x42", "CUNEIFORM SIGN E TIMES PAP (U+1208B)"
"U+1208C", "\xe1\x88\x88\x43", "CUNEIFORM SIGN E OVER E NUN OVER NUN (U+1208C)"
"U+1208D", "\xe1\x88\x88\x44", "CUNEIFORM SIGN E2 (U+1208D)"
"U+1208E", "\xe1\x88\x88\x45", "CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA (U+1208E)"
