# Unicode Characters in the Arabic Block
# Source: http://www.fileformat.info/info/unicode/block/arabic/list.htm
"U+0678", "\xd9\xb8", "ARABIC LETTER HIGH HAMZA YEH (U+0678)"
"U+0679", "\xd9\xb9", "ARABIC LETTER TTEH (U+0679)"
"U+067A", "\xd9\xba", "ARABIC LETTER TTEHEH (U+067A)"
"U+067B", "\xd9\xbb", "ARABIC LETTER BEEH (U+067B)"
"U+067C", "\xd9\xbc", "ARABIC LETTER TEH WITH RING (U+067C)"
"U+067D", "\xd9\xbd", "ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS (U+067D)"
"U+067E", "\xd9\xbe", "ARABIC LETTER PEH (U+067E)"
"U+067F", "\xd9\xbf", "ARABIC LETTER TEHEH (U+067F)"
"U+0680", "\xda\x80", "ARABIC LETTER BEHEH (U+0680)"
"U+0681", "\xda\x81", "ARABIC LETTER HAH WITH HAMZA ABOVE (U+0681)"
"U+0682", "\xda\x82", "ARABIC LETTER HAH WITH TWO DOTS VERTICAL ABOVE (U+0682)"
"U+0683", "\xda\x83", "ARABIC LETTER NYEH (U+0683)"
"U+0684", "\xda\x84", "ARABIC LETTER DYEH (U+0684)"
"U+0685", "\xda\x85", "ARABIC LETTER HAH WITH THREE DOTS ABOVE (U+0685)"
"U+0686", "\xda\x86", "ARABIC LETTER TCHEH (U+0686)"
"U+0687", "\xda\x87", "ARABIC LETTER TCHEHEH (U+0687)"
"U+0688", "\xda\x88", "ARABIC LETTER DDAL (U+0688)"
"U+0689", "\xda\x89", "ARABIC LETTER DAL WITH RING (U+0689)"
"U+068A", "\xda\x8a", "ARABIC LETTER DAL WITH DOT BELOW (U+068A)"
"U+068B", "\xda\x8b", "ARABIC LETTER DAL WITH DOT BELOW AND SMALL TAH (U+068B)"
"U+068C", "\xda\x8c", "ARABIC LETTER DAHAL (U+068C)"
"U+068D", "\xda\x8d", "ARABIC LETTER DDAHAL (U+068D)"
"U+068E", "\xda\x8e", "ARABIC LETTER DUL (U+068E)"
"U+068F", "\xda\x8f", "ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS (U+068F)"
"U+0690", "\xda\x90", "ARABIC LETTER DAL WITH FOUR DOTS ABOVE (U+0690)"
"U+0691", "\xda\x91", "ARABIC LETTER RREH (U+0691)"
"U+0692", "\xda\x92", "ARABIC LETTER REH WITH SMALL V (U+0692)"
"U+0693", "\xda\x93", "ARABIC LETTER REH WITH RING (U+0693)"
"U+0694", "\xda\x94", "ARABIC LETTER REH WITH DOT BELOW (U+0694)"
"U+0695", "\xda\x95", "ARABIC LETTER REH WITH SMALL V BELOW (U+0695)"
"U+0696", "\xda\x96", "ARABIC LETTER REH WITH DOT BELOW AND DOT ABOVE (U+0696)"
"U+0697", "\xda\x97", "ARABIC LETTER REH WITH TWO DOTS ABOVE (U+0697)"
"U+0698", "\xda\x98", "ARABIC LETTER JEH (U+0698)"
"U+0699", "\xda\x99", "ARABIC LETTER REH WITH FOUR DOTS ABOVE (U+0699)"
"U+069A", "\xda\x9a", "ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE (U+069A)"
"U+069B", "\xda\x9b", "ARABIC LETTER SEEN WITH THREE DOTS BELOW (U+069B)"
"U+069C", "\xda\x9c", "ARABIC LETTER SEEN WITH THREE DOTS BELOW AND THREE DOTS ABOVE (U+069C)"
"U+069D", "\xda\x9d", "ARABIC LETTER SAD WITH TWO DOTS BELOW (U+069D)"
"U+069E", "\xda\x9e", "ARABIC LETTER SAD WITH THREE DOTS ABOVE (U+069E)"
"U+069F", "\xda\x9f", "ARABIC LETTER TAH WITH THREE DOTS ABOVE (U+069F)"
"U+06A0", "\xda\xa0", "ARABIC LETTER AIN WITH THREE DOTS ABOVE (U+06A0)"
"U+06A1", "\xda\xa1", "ARABIC LETTER DOTLESS FEH (U+06A1)"
"U+06A2", "\xda\xa2", "ARABIC LETTER FEH WITH DOT MOVED BELOW (U+06A2)"
"U+06A3", "\xda\xa3", "ARABIC LETTER FEH WITH DOT BELOW (U+06A3)"
"U+06A4", "\xda\xa4", "ARABIC LETTER VEH (U+06A4)"
"U+06A5", "\xda\xa5", "ARABIC LETTER FEH WITH THREE DOTS BELOW (U+06A5)"
"U+06A6", "\xda\xa6", "ARABIC LETTER PEHEH (U+06A6)"
"U+06A7", "\xda\xa7", "ARABIC LETTER QAF WITH DOT ABOVE (U+06A7)"
"U+06A8", "\xda\xa8", "ARABIC LETTER QAF WITH THREE DOTS ABOVE (U+06A8)"
"U+06A9", "\xda\xa9", "ARABIC LETTER KEHEH (U+06A9)"
"U+06AA", "\xda\xaa", "ARABIC LETTER SWASH KAF (U+06AA)"
"U+06AB", "\xda\xab", "ARABIC LETTER KAF WITH RING (U+06AB)"
"U+06AC", "\xda\xac", "ARABIC LETTER KAF WITH DOT ABOVE (U+06AC)"
"U+06AD", "\xda\xad", "ARABIC LETTER NG (U+06AD)"
"U+06AE", "\xda\xae", "ARABIC LETTER KAF WITH THREE DOTS BELOW (U+06AE)"
"U+06AF", "\xda\xaf", "ARABIC LETTER GAF (U+06AF)"
"U+06B0", "\xda\xb0", "ARABIC LETTER GAF WITH RING (U+06B0)"
"U+06B1", "\xda\xb1", "ARABIC LETTER NGOEH (U+06B1)"
"U+06B2", "\xda\xb2", "ARABIC LETTER GAF WITH TWO DOTS BELOW (U+06B2)"
"U+06B3", "\xda\xb3", "ARABIC LETTER GUEH (U+06B3)"
"U+06B4", "\xda\xb4", "ARABIC LETTER GAF WITH THREE DOTS ABOVE (U+06B4)"
"U+06B5", "\xda\xb5", "ARABIC LETTER LAM WITH SMALL V (U+06B5)"
"U+06B6", "\xda\xb6", "ARABIC LETTER LAM WITH DOT ABOVE (U+06B6)"
"U+06B7", "\xda\xb7", "ARABIC LETTER LAM WITH THREE DOTS ABOVE (U+06B7)"
