# Kangxi Radicals
U+2FA2, \xe2\xbe\xa2, KANGXI RADICAL CITY
U+2FA3, \xe2\xbe\xa3, KANGXI RADICAL WINE
U+2FA4, \xe2\xbe\xa4, KANGXI RADICAL DISTINGUISH
U+2FA5, \xe2\xbe\xa5, KANGXI RADICAL VILLAGE
U+2FA6, \xe2\xbe\xa6, KANGXI RADICAL GOLD
U+2FA7, \xe2\xbe\xa7, KANGXI RADICAL LONG
U+2FA8, \xe2\xbe\xa8, KANGXI RADICAL GATE
U+2FA9, \xe2\xbe\xa9, KANGXI RADICAL MOUND
U+2FAA, \xe2\xbe\xaa, KANGXI RADICAL SLAVE
U+2FAB, \xe2\xbe\xab, KANGXI RADICAL SHORT TAILED BIRD
U+2FAC, \xe2\xbe\xac, KANGXI RADICAL RAIN
U+2FAD, \xe2\xbe\xad, KANGXI RADICAL BLUE
U+2FAE, \xe2\xbe\xae, KANGXI RADICAL WRONG
U+2FAF, \xe2\xbe\xaf, KANGXI RADICAL FACE
U+2FB0, \xe2\xbe\xb0, KANGXI RADICAL LEATHER
U+2FB1, \xe2\xbe\xb1, KANGXI RADICAL TANNED LEATHER
U+2FB2, \xe2\xbe\xb2, KANGXI RADICAL LEEK
U+2FB3, \xe2\xbe\xb3, KANGXI RADICAL SOUND
U+2FB4, \xe2\xbe\xb4, KANGXI RADICAL LEAF
U+2FB5, \xe2\xbe\xb5, KANGXI RADICAL WIND
U+2FB6, \xe2\xbe\xb6, KANGXI RADICAL FLY
U+2FB7, \xe2\xbe\xb7, KANGXI RADICAL EAT
U+2FB8, \xe2\xbe\xb8, KANGXI RADICAL HEAD
U+2FB9, \xe2\xbe\xb9, KANGXI RADICAL FRAGRANT
U+2FBA, \xe2\xbe\xba, KANGXI RADICAL HORSE
U+2FBB, \xe2\xbe\xbb, KANGXI RADICAL BONE
U+2FBC, \xe2\xbe\xbc, KANGXI RADICAL TALL
U+2FBD, \xe2\xbe\xbd, KANGXI RADICAL HAIR
U+2FBE, \xe2\xbe\xbe, KANGXI RADICAL FIGHT
U+2FBF, \xe2\xbe\xbf, KANGXI RADICAL SACRIFICIAL WINE
U+2FC0, \xe2\xbf\x80, KANGXI RADICAL CAULDRON
U+2FC1, \xe2\xbf\x81, KANGXI RADICAL GHOST
U+2FC2, \xe2\xbf\x82, KANGXI RADICAL FISH
U+2FC3, \xe2\xbf\x83, KANGXI RADICAL BIRD
U+2FC4, \xe2\xbf\x84, KANGXI RADICAL SALT
U+2FC5, \xe2\xbf\x85, KANGXI RADICAL DEER
U+2FC6, \xe2\xbf\x86, KANGXI RADICAL WHEAT
U+2FC7, \xe2\xbf\x87, KANGXI RADICAL HEMP
U+2FC8, \xe2\xbf\x88, KANGXI RADICAL YELLOW
U+2FC9, \xe2\xbf\x89, KANGXI RADICAL MILLET
U+2FCA, \xe2\xbf\x8a, KANGXI RADICAL BLACK
U+2FCB, \xe2\xbf\x8b, KANGXI RADICAL EMBROIDERY
U+2FCC, \xe2\xbf\x8c, KANGXI RADICAL FROG
U+2FCD, \xe2\xbf\x8d, KANGXI RADICAL TRIPOD
U+2FCE, \xe2\xbf\x8e, KANGXI RADICAL DRUM
U+2FCF, \xe2\xbf\x8f, KANGXI RADICAL RAT
U+2FD0, \xe2\xbf\x90, KANGXI RADICAL NOSE
U+2FD1, \xe2\xbf\x91, KANGXI RADICAL EVEN
U+2FD2, \xe2\xbf\x92, KANGXI RADICAL TOOTH
U+2FD3, \xe2\xbf\x93, KANGXI RADICAL DRAGON
U+2FD4, \xe2\xbf\x94, KANGXI RADICAL TURTLE
U+2FD5, \xe2\xbf\x95, KANGXI RADICAL FLUTE
U+2FF0, \xe2\xbf\xb0, IDEOGRAPHIC DESCRIPTION CHARACTER LEFT TO RIGHT
U+2FF1, \xe2\xbf\xb1, IDEOGRAPHIC DESCRIPTION CHARACTER ABOVE TO BELOW
U+2FF2, \xe2\xbf\xb2, IDEOGRAPHIC DESCRIPTION CHARACTER LEFT TO MIDDLE AND RIGHT
U+2FF3, \xe2\xbf\xb3, IDEOGRAPHIC DESCRIPTION CHARACTER ABOVE TO MIDDLE AND BELOW
U+2FF4, \xe2\xbf\xb4, IDEOGRAPHIC DESCRIPTION CHARACTER FULL SURROUND
U+2FF5, \xe2\xbf\xb5, IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM ABOVE
U+2FF6, \xe2\xbf\xb6, IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM BELOW
U+2FF7, \xe2\xbf\xb7, IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM LEFT
U+2FF8, \xe2\xbf\xb8, IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM UPPER LEFT
U+2FF9, \xe2\xbf\xb9, IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM UPPER RIGHT
U+2FFA, \xe2\xbf\xba, IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM LOWER LEFT
U+2FFB, \xe2\xbf\xbb, IDEOGRAPHIC DESCRIPTION CHARACTER OVERLAID
