# Ethiopic
U+12AD, \xe1\x8a\xad, ETHIOPIC SYLLABLE KE
U+12AE, \xe1\x8a\xae, ETHIOPIC SYLLABLE KO
U+12AF, \xe1\x8a\xaf, ETHIOPIC SYLLABLE KOA
U+12B0, \xe1\x8a\xb0, ETHIOPIC SYLLABLE KWA
U+12B2, \xe1\x8a\xb2, ETHIOPIC SYLLABLE KWI
U+12B3, \xe1\x8a\xb3, ETHIOPIC SYLLABLE KWAA
U+12B4, \xe1\x8a\xb4, ETHIOPIC SYLLABLE KWEE
U+12B5, \xe1\x8a\xb5, ETHIOPIC SYLLABLE KWE
U+12B8, \xe1\x8a\xb8, ETHIOPIC SYLLABLE KXA
U+12B9, \xe1\x8a\xb9, ETHIOPIC SYLLABLE KXU
U+12BA, \xe1\x8a\xba, ETHIOPIC SYLLABLE KXI
U+12BB, \xe1\x8a\xbb, ETHIOPIC SYLLABLE KXAA
U+12BC, \xe1\x8a\xbc, ETHIOPIC SYLLABLE KXEE
U+12BD, \xe1\x8a\xbd, ETHIOPIC SYLLABLE KXE
U+12BE, \xe1\x8a\xbe, ETHIOPIC SYLLABLE KXO
U+12C0, \xe1\x8b\x80, ETHIOPIC SYLLABLE KXWA
U+12C2, \xe1\x8b\x82, ETHIOPIC SYLLABLE KXWI
U+12C3, \xe1\x8b\x83, ETHIOPIC SYLLABLE KXWAA
U+12C4, \xe1\x8b\x84, ETHIOPIC SYLLABLE KXWEE
U+12C5, \xe1\x8b\x85, ETHIOPIC SYLLABLE KXWE
U+12C8, \xe1\x8b\x88, ETHIOPIC SYLLABLE WA
U+12C9, \xe1\x8b\x89, ETHIOPIC SYLLABLE WU
U+12CA, \xe1\x8b\x8a, ETHIOPIC SYLLABLE WI
U+12CB, \xe1\x8b\x8b, ETHIOPIC SYLLABLE WAA
U+12CC, \xe1\x8b\x8c, ETHIOPIC SYLLABLE WEE
U+12CD, \xe1\x8b\x8d, ETHIOPIC SYLLABLE WE
U+12CE, \xe1\x8b\x8e, ETHIOPIC SYLLABLE WO
U+12CF, \xe1\x8b\x8f, ETHIOPIC SYLLABLE WOA
U+12D0, \xe1\x8b\x90, ETHIOPIC SYLLABLE PHARYNGEAL A
U+12D1, \xe1\x8b\x91, ETHIOPIC SYLLABLE PHARYNGEAL U
U+12D2, \xe1\x8b\x92, ETHIOPIC SYLLABLE PHARYNGEAL I
U+12D3, \xe1\x8b\x93, ETHIOPIC SYLLABLE PHARYNGEAL AA
U+12D4, \xe1\x8b\x94, ETHIOPIC SYLLABLE PHARYNGEAL EE
U+12D5, \xe1\x8b\x95, ETHIOPIC SYLLABLE PHARYNGEAL E
U+12D6, \xe1\x8b\x96, ETHIOPIC SYLLABLE PHARYNGEAL O
U+12D8, \xe1\x8b\x98, ETHIOPIC SYLLABLE ZA
U+12D9, \xe1\x8b\x99, ETHIOPIC SYLLABLE ZU
U+12DA, \xe1\x8b\x9a, ETHIOPIC SYLLABLE ZI
U+12DB, \xe1\x8b\x9b, ETHIOPIC SYLLABLE ZAA
U+12DC, \xe1\x8b\x9c, ETHIOPIC SYLLABLE ZEE
U+12DD, \xe1\x8b\x9d, ETHIOPIC SYLLABLE ZE
U+12DE, \xe1\x8b\x9e, ETHIOPIC SYLLABLE ZO
U+12DF, \xe1\x8b\x9f, ETHIOPIC SYLLABLE ZWA
U+12E0, \xe1\x8b\xa0, ETHIOPIC SYLLABLE ZHA
U+12E1, \xe1\x8b\xa1, ETHIOPIC SYLLABLE ZHU
U+12E2, \xe1\x8b\xa2, ETHIOPIC SYLLABLE ZHI
U+12E3, \xe1\x8b\xa3, ETHIOPIC SYLLABLE ZHAA
U+12E4, \xe1\x8b\xa4, ETHIOPIC SYLLABLE ZHEE
