# Hebrew
U+0591, \xd6\x91, HEBREW ACCENT ETNAHTA
U+0662, \xd9\xa2, ARABIC-INDIC DIGIT TWO
U+0663, \xd9\xa3, ARABIC-INDIC DIGIT THREE
U+0664, \xd9\xa4, ARABIC-INDIC DIGIT FOUR
U+0665, \xd9\xa5, ARABIC-INDIC DIGIT FIVE
U+0666, \xd9\xa6, ARABIC-INDIC DIGIT SIX
U+0667, \xd9\xa7, ARABIC-INDIC DIGIT SEVEN
U+0668, \xd9\xa8, ARABIC-INDIC DIGIT EIGHT
U+0669, \xd9\xa9, ARABIC-INDIC DIGIT NINE
U+066A, \xd9\xaa, ARABIC PERCENT SIGN
U+066B, \xd9\xab, ARABIC DECIMAL SEPARATOR
U+066C, \xd9\xac, ARABIC THOUSANDS SEPARATOR
U+066D, \xd9\xad, ARABIC FIVE POINTED STAR
U+066E, \xd9\xae, ARABIC LETTER DOTLESS BEH
U+066F, \xd9\xaf, ARABIC LETTER DOTLESS QAF
U+0670, \xd9\xb0, ARABIC LETTER SUPERSCRIPT ALEF
U+0671, \xd9\xb1, ARABIC LETTER ALEF WASLA
U+0672, \xd9\xb2, ARABIC LETTER ALEF WITH WAVY HAMZA ABOVE
U+0673, \xd9\xb3, ARABIC LETTER ALEF WITH WAVY HAMZA BELOW
U+0674, \xd9\xb4, ARABIC LETTER HIGH HAMZA
U+0675, \xd9\xb5, ARABIC LETTER HIGH HAMZA ALEF
U+0676, \xd9\xb6, ARABIC LETTER HIGH HAMZA WAW
U+0677, \xd9\xb7, ARABIC LETTER U WITH HAMZA ABOVE
U+0678, \xd9\xb8, ARABIC LETTER HIGH HAMZA YEH
U+0679, \xd9\xb9, ARABIC LETTER TTEH
U+067A, \xd9\xba, ARABIC LETTER TTEHEH
U+067B, \xd9\xbb, ARABIC LETTER BEEH
U+067C, \xd9\xbc, ARABIC LETTER TEH WITH RING
U+067D, \xd9\xbd, ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS
U+067E, \xd9\xbe, ARABIC LETTER PEH
U+067F, \xd9\xbf, ARABIC LETTER TEHEH
U+0680, \xda\x80, ARABIC LETTER BEHEH
U+0681, \xda\x81, ARABIC LETTER HAH WITH HAMZA ABOVE
U+0682, \xda\x82, ARABIC LETTER HAH WITH TWO DOTS VERTICAL ABOVE
U+0683, \xda\x83, ARABIC LETTER NYEH
U+0684, \xda\x84, ARABIC LETTER DYEH
U+0685, \xda\x85, ARABIC LETTER HAH WITH THREE DOTS ABOVE
U+0686, \xda\x86, ARABIC LETTER TCHEH
U+0687, \xda\x87, ARABIC LETTER TCHEHEH
U+0688, \xda\x88, ARABIC LETTER DDAL
U+0689, \xda\x89, ARABIC LETTER DAL WITH RING
U+068A, \xda\x8a, ARABIC LETTER DAL WITH DOT BELOW
U+068B, \xda\x8b, ARABIC LETTER DAL WITH DOT BELOW AND SMALL TAH
U+068C, \xda\x8c, ARABIC LETTER DAHAL
U+068D, \xda\x8d, ARABIC LETTER DDAHAL
U+068E, \xda\x8e, ARABIC LETTER DUL
U+068F, \xda\x8f, ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS
