# Unicode Characters in the Unified Canadian Aboriginal Syllabics Block
# Source: http://www.fileformat.info/info/unicode/block/unified_canadian_aboriginal_syllabics/list.htm
"U+148F", "\xe1\x92\x8f", "CANADIAN SYLLABICS Y-CREE COO (U+148F)"
"U+1490", "\xe1\x92\x90", "CANADIAN SYLLABICS CA (U+1490)"
"U+1491", "\xe1\x92\x91", "CANADIAN SYLLABICS CAA (U+1491)"
"U+1492", "\xe1\x92\x92", "CANADIAN SYLLABICS CWE (U+1492)"
"U+1493", "\xe1\x92\x93", "CANADIAN SYLLABICS WEST-CREE CWE (U+1493)"
"U+1494", "\xe1\x92\x94", "CANADIAN SYLLABICS CWI (U+1494)"
"U+1495", "\xe1\x92\x95", "CANADIAN SYLLABICS WEST-CREE CWI (U+1495)"
"U+1496", "\xe1\x92\x96", "CANADIAN SYLLABICS CWII (U+1496)"
"U+1497", "\xe1\x92\x97", "CANADIAN SYLLABICS WEST-CREE CWII (U+1497)"
"U+1498", "\xe1\x92\x98", "CANADIAN SYLLABICS CWO (U+1498)"
"U+1499", "\xe1\x92\x99", "CANADIAN SYLLABICS WEST-CREE CWO (U+1499)"
"U+149A", "\xe1\x92\x9a", "CANADIAN SYLLABICS CWOO (U+149A)"
"U+149B", "\xe1\x92\x9b", "CANADIAN SYLLABICS WEST-CREE CWOO (U+149B)"
"U+149C", "\xe1\x92\x9c", "CANADIAN SYLLABICS CWA (U+149C)"
"U+149D", "\xe1\x92\x9d", "CANADIAN SYLLABICS WEST-CREE CWA (U+149D)"
"U+149E", "\xe1\x92\x9e", "CANADIAN SYLLABICS CWAA (U+149E)"
"U+149F", "\xe1\x92\x9f", "CANADIAN SYLLABICS WEST-CREE CWAA (U+149F)"
"U+14A0", "\xe1\x92\xa0", "CANADIAN SYLLABICS NASKAPI CWAA (U+14A0)"
"U+14A1", "\xe1\x92\xa1", "CANADIAN SYLLABICS C (U+14A1)"
"U+14A2", "\xe1\x92\xa2", "CANADIAN SYLLABICS SAYISI TH (U+14A2)"
"U+14A3", "\xe1\x92\xa3", "CANADIAN SYLLABICS ME (U+14A3)"
"U+14A4", "\xe1\x92\xa4", "CANADIAN SYLLABICS MAAI (U+14A4)"
"U+14A5", "\xe1\x92\xa5", "CANADIAN SYLLABICS MI (U+14A5)"
"U+14A6", "\xe1\x92\xa6", "CANADIAN SYLLABICS MII (U+14A6)"
"U+14A7", "\xe1\x92\xa7", "CANADIAN SYLLABICS MO (U+14A7)"
"U+14A8", "\xe1\x92\xa8", "CANADIAN SYLLABICS MOO (U+14A8)"
"U+14A9", "\xe1\x92\xa9", "CANADIAN SYLLABICS Y-CREE MOO (U+14A9)"
"U+14AA", "\xe1\x92\xaa", "CANADIAN SYLLABICS MA (U+14AA)"
"U+14AB", "\xe1\x92\xab", "CANADIAN SYLLABICS MAA (U+14AB)"
"U+14AC", "\xe1\x92\xac", "CANADIAN SYLLABICS MWE (U+14AC)"
"U+14AD", "\xe1\x92\xad", "CANADIAN SYLLABICS WEST-CREE MWE (U+14AD)"
"U+14AE", "\xe1\x92\xae", "CANADIAN SYLLABICS MWI (U+14AE)"
"U+14AF", "\xe1\x92\xaf", "CANADIAN SYLLABICS WEST-CREE MWI (U+14AF)"
"U+14B0", "\xe1\x92\xb0", "CANADIAN SYLLABICS MWII (U+14B0)"
"U+14B1", "\xe1\x92\xb1", "CANADIAN SYLLABICS WEST-CREE MWII (U+14B1)"
"U+14B2", "\xe1\x92\xb2", "CANADIAN SYLLABICS MWO (U+14B2)"
"U+14B3", "\xe1\x92\xb3", "CANADIAN SYLLABICS WEST-CREE MWO (U+14B3)"
"U+14B4", "\xe1\x92\xb4", "CANADIAN SYLLABICS MWOO (U+14B4)"
"U+14B5", "\xe1\x92\xb5", "CANADIAN SYLLABICS WEST-CREE MWOO (U+14B5)"
"U+14B6", "\xe1\x92\xb6", "CANADIAN SYLLABICS MWA (U+14B6)"
"U+14B7", "\xe1\x92\xb7", "CANADIAN SYLLABICS WEST-CREE MWA (U+14B7)"
"U+14B8", "\xe1\x92\xb8", "CANADIAN SYLLABICS MWAA (U+14B8)"
"U+14B9", "\xe1\x92\xb9", "CANADIAN SYLLABICS WEST-CREE MWAA (U+14B9)"
"U+14BA", "\xe1\x92\xba", "CANADIAN SYLLABICS NASKAPI MWAA (U+14BA)"
"U+14BB", "\xe1\x92\xbb", "CANADIAN SYLLABICS M (U+14BB)"
"U+14BC", "\xe1\x92\xbc", "CANADIAN SYLLABICS WEST-CREE M (U+14BC)"
"U+14BD", "\xe1\x92\xbd", "CANADIAN SYLLABICS MH (U+14BD)"
"U+14BE", "\xe1\x92\xbe", "CANADIAN SYLLABICS ATHAPASCAN M (U+14BE)"
"U+14BF", "\xe1\x92\xbf", "CANADIAN SYLLABICS SAYISI M (U+14BF)"
"U+14C0", "\xe1\x93\x80", "CANADIAN SYLLABICS NE (U+14C0)"
"U+14C1", "\xe1\x93\x81", "CANADIAN SYLLABICS NAAI (U+14C1)"
"U+14C2", "\xe1\x93\x82", "CANADIAN SYLLABICS NI (U+14C2)"
"U+14C3", "\xe1\x93\x83", "CANADIAN SYLLABICS NII (U+14C3)"
"U+14C4", "\xe1\x93\x84", "CANADIAN SYLLABICS NO (U+14C4)"
"U+14C5", "\xe1\x93\x85", "CANADIAN SYLLABICS NOO (U+14C5)"
"U+14C6", "\xe1\x93\x86", "CANADIAN SYLLABICS Y-CREE NOO (U+14C6)"
"U+14C7", "\xe1\x93\x87", "CANADIAN SYLLABICS NA (U+14C7)"
"U+14C8", "\xe1\x93\x88", "CANADIAN SYLLABICS NAA (U+14C8)"
"U+14C9", "\xe1\x93\x89", "CANADIAN SYLLABICS NWE (U+14C9)"
"U+14CA", "\xe1\x93\x8a", "CANADIAN SYLLABICS WEST-CREE NWE (U+14CA)"
"U+14CB", "\xe1\x93\x8b", "CANADIAN SYLLABICS NWA (U+14CB)"
"U+14CC", "\xe1\x93\x8c", "CANADIAN SYLLABICS WEST-CREE NWA (U+14CC)"
"U+14CD", "\xe1\x93\x8d", "CANADIAN SYLLABICS NWAA (U+14CD)"
"U+14CE", "\xe1\x93\x8e", "CANADIAN SYLLABICS WEST-CREE NWAA (U+14CE)"
"U+14CF", "\xe1\x93\x8f", "CANADIAN SYLLABICS NASKAPI NWAA (U+14CF)"
"U+14D0", "\xe1\x93\x90", "CANADIAN SYLLABICS N (U+14D0)"
"U+14D1", "\xe1\x93\x91", "CANADIAN SYLLABICS CARRIER NG (U+14D1)"
"U+14D2", "\xe1\x93\x92", "CANADIAN SYLLABICS NH (U+14D2)"
"U+14D3", "\xe1\x93\x93", "CANADIAN SYLLABICS LE (U+14D3)"
"U+14D4", "\xe1\x93\x94", "CANADIAN SYLLABICS LAAI (U+14D4)"
"U+14D5", "\xe1\x93\x95", "CANADIAN SYLLABICS LI (U+14D5)"
"U+14D6", "\xe1\x93\x96", "CANADIAN SYLLABICS LII (U+14D6)"
"U+14D7", "\xe1\x93\x97", "CANADIAN SYLLABICS LO (U+14D7)"
"U+14D8", "\xe1\x93\x98", "CANADIAN SYLLABICS LOO (U+14D8)"
"U+14D9", "\xe1\x93\x99", "CANADIAN SYLLABICS Y-CREE LOO (U+14D9)"
"U+14DA", "\xe1\x93\x9a", "CANADIAN SYLLABICS LA (U+14DA)"
"U+14DB", "\xe1\x93\x9b", "CANADIAN SYLLABICS LAA (U+14DB)"
"U+14DC", "\xe1\x93\x9c", "CANADIAN SYLLABICS LWE (U+14DC)"
"U+14DD", "\xe1\x93\x9d", "CANADIAN SYLLABICS WEST-CREE LWE (U+14DD)"
"U+14DE", "\xe1\x93\x9e", "CANADIAN SYLLABICS LWI (U+14DE)"
"U+14DF", "\xe1\x93\x9f", "CANADIAN SYLLABICS WEST-CREE LWI (U+14DF)"
"U+14E0", "\xe1\x93\xa0", "CANADIAN SYLLABICS LWII (U+14E0)"
