# Ogham
U+1727, \xe1\x9c\xa7, HANUNOO LETTER DA
U+1728, \xe1\x9c\xa8, HANUNOO LETTER NA
U+1729, \xe1\x9c\xa9, HANUNOO LETTER PA
U+172A, \xe1\x9c\xaa, HANUNOO LETTER BA
U+172B, \xe1\x9c\xab, HANUNOO LETTER MA
U+172C, \xe1\x9c\xac, HANUNOO LETTER YA
U+172D, \xe1\x9c\xad, HANUNOO LETTER RA
U+172E, \xe1\x9c\xae, HANUNOO LETTER LA
U+172F, \xe1\x9c\xaf, HANUNOO LETTER WA
U+1730, \xe1\x9c\xb0, HANUNOO LETTER SA
U+1731, \xe1\x9c\xb1, HANUNOO LETTER HA
U+1732, \xe1\x9c\xb2, HANUNOO VOWEL SIGN I
U+1733, \xe1\x9c\xb3, HANUNOO VOWEL SIGN U
U+1734, \xe1\x9c\xb4, HANUNOO SIGN PAMUDPOD
U+1735, \xe1\x9c\xb5, PHILIPPINE SINGLE PUNCTUATION
U+1736, \xe1\x9c\xb6, PHILIPPINE DOUBLE PUNCTUATION
U+1740, \xe1\x9d\x80, BUHID LETTER A
U+1741, \xe1\x9d\x81, BUHID LETTER I
U+1742, \xe1\x9d\x82, BUHID LETTER U
U+1743, \xe1\x9d\x83, BUHID LETTER KA
U+1744, \xe1\x9d\x84, BUHID LETTER GA
U+1745, \xe1\x9d\x85, BUHID LETTER NGA
U+1746, \xe1\x9d\x86, BUHID LETTER TA
U+1747, \xe1\x9d\x87, BUHID LETTER DA
U+1748, \xe1\x9d\x88, BUHID LETTER NA
U+1749, \xe1\x9d\x89, BUHID LETTER PA
U+174A, \xe1\x9d\x8a, BUHID LETTER BA
U+174B, \xe1\x9d\x8b, BUHID LETTER MA
U+174C, \xe1\x9d\x8c, BUHID LETTER YA
U+174D, \xe1\x9d\x8d, BUHID LETTER RA
U+174E, \xe1\x9d\x8e, BUHID LETTER LA
U+174F, \xe1\x9d\x8f, BUHID LETTER WA
U+1750, \xe1\x9d\x90, BUHID LETTER SA
U+1751, \xe1\x9d\x91, BUHID LETTER HA
U+1752, \xe1\x9d\x92, BUHID VOWEL SIGN I
U+1753, \xe1\x9d\x93, BUHID VOWEL SIGN U
U+1760, \xe1\x9d\xa0, TAGBANWA LETTER A
U+1761, \xe1\x9d\xa1, TAGBANWA LETTER I
U+1762, \xe1\x9d\xa2, TAGBANWA LETTER U
U+1763, \xe1\x9d\xa3, TAGBANWA LETTER KA
U+1764, \xe1\x9d\xa4, TAGBANWA LETTER GA
U+1765, \xe1\x9d\xa5, TAGBANWA LETTER NGA
U+1766, \xe1\x9d\xa6, TAGBANWA LETTER TA
U+1767, \xe1\x9d\xa7, TAGBANWA LETTER DA
U+1768, \xe1\x9d\xa8, TAGBANWA LETTER NA
U+1769, \xe1\x9d\xa9, TAGBANWA LETTER PA
U+176A, \xe1\x9d\xaa, TAGBANWA LETTER BA
U+176B, \xe1\x9d\xab, TAGBANWA LETTER MA
U+176C, \xe1\x9d\xac, TAGBANWA LETTER YA
U+176E, \xe1\x9d\xae, TAGBANWA LETTER LA
U+176F, \xe1\x9d\xaf, TAGBANWA LETTER WA
U+1770, \xe1\x9d\xb0, TAGBANWA LETTER SA
U+1772, \xe1\x9d\xb2, TAGBANWA VOWEL SIGN I
U+1773, \xe1\x9d\xb3, TAGBANWA VOWEL SIGN U
