# Greek and Coptic
U+044C, \xd1\x8c, CYRILLIC SMALL LETTER SOFT SIGN
U+044D, \xd1\x8d, CYRILLIC SMALL LETTER E
U+044E, \xd1\x8e, CYRILLIC SMALL LETTER YU
U+044F, \xd1\x8f, CYRILLIC SMALL LETTER YA
U+0450, \xd1\x90, CYRILLIC SMALL LETTER IE WITH GRAVE
U+0451, \xd1\x91, CYRILLIC SMALL LETTER IO
U+0452, \xd1\x92, CYRILLIC SMALL LETTER DJE
U+0453, \xd1\x93, CYRILLIC SMALL LETTER GJE
U+0454, \xd1\x94, CYRILLIC SMALL LETTER UKRAINIAN IE
U+0455, \xd1\x95, CYRILLIC SMALL LETTER DZE
U+0456, \xd1\x96, CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
U+0457, \xd1\x97, CYRILLIC SMALL LETTER YI
U+0458, \xd1\x98, CYRILLIC SMALL LETTER JE
U+0459, \xd1\x99, CYRILLIC SMALL LETTER LJE
U+045A, \xd1\x9a, CYRILLIC SMALL LETTER NJE
U+045B, \xd1\x9b, CYRILLIC SMALL LETTER TSHE
U+045C, \xd1\x9c, CYRILLIC SMALL LETTER KJE
U+045D, \xd1\x9d, CYRILLIC SMALL LETTER I WITH GRAVE
U+045E, \xd1\x9e, CYRILLIC SMALL LETTER SHORT U
U+045F, \xd1\x9f, CYRILLIC SMALL LETTER DZHE
U+0460, \xd1\xa0, CYRILLIC CAPITAL LETTER OMEGA
U+0461, \xd1\xa1, CYRILLIC SMALL LETTER OMEGA
U+0462, \xd1\xa2, CYRILLIC CAPITAL LETTER YAT
U+0463, \xd1\xa3, CYRILLIC SMALL LETTER YAT
U+0464, \xd1\xa4, CYRILLIC CAPITAL LETTER IOTIFIED E
U+0465, \xd1\xa5, CYRILLIC SMALL LETTER IOTIFIED E
U+0466, \xd1\xa6, CYRILLIC CAPITAL LETTER LITTLE YUS
U+0467, \xd1\xa7, CYRILLIC SMALL LETTER LITTLE YUS
U+0468, \xd1\xa8, CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS
U+0469, \xd1\xa9, CYRILLIC SMALL LETTER IOTIFIED LITTLE YUS
U+046A, \xd1\xaa, CYRILLIC CAPITAL LETTER BIG YUS
U+046B, \xd1\xab, CYRILLIC SMALL LETTER BIG YUS
U+046C, \xd1\xac, CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS
U+046D, \xd1\xad, CYRILLIC SMALL LETTER IOTIFIED BIG YUS
U+046E, \xd1\xae, CYRILLIC CAPITAL LETTER KSI
U+046F, \xd1\xaf, CYRILLIC SMALL LETTER KSI
