# Unicode Characters in the Arrows Block
# Source: http://www.fileformat.info/info/unicode/block/arrows/list.htm
"U+2190", "\xe2\x86\x90", "LEFTWARDS ARROW (U+2190)"
"U+21E4", "\xe2\x87\xa4", "LEFTWARDS ARROW TO BAR (U+21E4)"
"U+21E5", "\xe2\x87\xa5", "RIGHTWARDS ARROW TO BAR (U+21E5)"
"U+21E6", "\xe2\x87\xa6", "LEFTWARDS WHITE ARROW (U+21E6)"
"U+21E7", "\xe2\x87\xa7", "UPWARDS WHITE ARROW (U+21E7)"
"U+21E8", "\xe2\x87\xa8", "RIGHTWARDS WHITE ARROW (U+21E8)"
"U+21E9", "\xe2\x87\xa9", "DOWNWARDS WHITE ARROW (U+21E9)"
"U+21EA", "\xe2\x87\xaa", "UPWARDS WHITE ARROW FROM BAR (U+21EA)"
"U+21EB", "\xe2\x87\xab", "UPWARDS WHITE ARROW ON PEDESTAL (U+21EB)"
"U+21EC", "\xe2\x87\xac", "UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR (U+21EC)"
"U+21ED", "\xe2\x87\xad", "UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR (U+21ED)"
"U+21EE", "\xe2\x87\xae", "UPWARDS WHITE DOUBLE ARROW (U+21EE)"
"U+21EF", "\xe2\x87\xaf", "UPWARDS WHITE DOUBLE ARROW ON PEDESTAL (U+21EF)"
"U+21F0", "\xe2\x87\xb0", "RIGHTWARDS WHITE ARROW FROM WALL (U+21F0)"
"U+21F1", "\xe2\x87\xb1", "NORTH WEST ARROW TO CORNER (U+21F1)"
"U+21F2", "\xe2\x87\xb2", "SOUTH EAST ARROW TO CORNER (U+21F2)"
"U+21F3", "\xe2\x87\xb3", "UP DOWN WHITE ARROW (U+21F3)"
"U+21F4", "\xe2\x87\xb4", "RIGHT ARROW WITH SMALL CIRCLE (U+21F4)"
"U+21F5", "\xe2\x87\xb5", "DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW (U+21F5)"
"U+21F6", "\xe2\x87\xb6", "THREE RIGHTWARDS ARROWS (U+21F6)"
"U+21F7", "\xe2\x87\xb7", "LEFTWARDS ARROW WITH VERTICAL STROKE (U+21F7)"
"U+21F8", "\xe2\x87\xb8", "RIGHTWARDS ARROW WITH VERTICAL STROKE (U+21F8)"
"U+21F9", "\xe2\x87\xb9", "LEFT RIGHT ARROW WITH VERTICAL STROKE (U+21F9)"
"U+21FA", "\xe2\x87\xba", "LEFTWARDS ARROW WITH DOUBLE VERTICAL STROKE (U+21FA)"
"U+21FB", "\xe2\x87\xbb", "RIGHTWARDS ARROW WITH DOUBLE VERTICAL STROKE (U+21FB)"
"U+21FC", "\xe2\x87\xbc", "LEFT RIGHT ARROW WITH DOUBLE VERTICAL STROKE (U+21FC)"
"U+21FD", "\xe2\x87\xbd", "LEFTWARDS OPEN-HEADED ARROW (U+21FD)"
"U+21FE", "\xe2\x87\xbe", "RIGHTWARDS OPEN-HEADED ARROW (U+21FE)"
"U+21FF", "\xe2\x87\xbf", "LEFT RIGHT OPEN-HEADED ARROW (U+21FF)"
