# Halfwidth and Fullwidth Forms
U+FF73, \xef\xbd\xb3, HALFWIDTH KATAKANA LETTER U
U+FF74, \xef\xbd\xb4, HALFWIDTH KATAKANA LETTER E
U+FF75, \xef\xbd\xb5, HALFWIDTH KATAKANA LETTER O
U+FF76, \xef\xbd\xb6, HALFWIDTH KATAKANA LETTER KA
U+FF77, \xef\xbd\xb7, HALFWIDTH KATAKANA LETTER KI
U+FF78, \xef\xbd\xb8, HALFWIDTH KATAKANA LETTER KU
U+FF79, \xef\xbd\xb9, HALFWIDTH KATAKANA LETTER KE
U+FF7A, \xef\xbd\xba, HALFWIDTH KATAKANA LETTER KO
U+FF7B, \xef\xbd\xbb, HALFWIDTH KATAKANA LETTER SA
U+FF7C, \xef\xbd\xbc, HALFWIDTH KATAKANA LETTER SI
U+FF7D, \xef\xbd\xbd, HALFWIDTH KATAKANA LETTER SU
U+FF7E, \xef\xbd\xbe, HALFWIDTH KATAKANA LETTER SE
U+FF7F, \xef\xbd\xbf, HALFWIDTH KATAKANA LETTER SO
U+FF80, \xef\xbe\x80, HALFWIDTH KATAKANA LETTER TA
U+FF81, \xef\xbe\x81, HALFWIDTH KATAKANA LETTER TI
U+FF82, \xef\xbe\x82, HALFWIDTH KATAKANA LETTER TU
U+FF83, \xef\xbe\x83, HALFWIDTH KATAKANA LETTER TE
U+FF84, \xef\xbe\x84, HALFWIDTH KATAKANA LETTER TO
U+FF85, \xef\xbe\x85, HALFWIDTH KATAKANA LETTER NA
U+FF86, \xef\xbe\x86, HALFWIDTH KATAKANA LETTER NI
U+FF87, \xef\xbe\x87, HALFWIDTH KATAKANA LETTER NU
U+FF88, \xef\xbe\x88, HALFWIDTH KATAKANA LETTER NE
U+FF89, \xef\xbe\x89, HALFWIDTH KATAKANA LETTER NO
U+FF8A, \xef\xbe\x8a, HALFWIDTH KATAKANA LETTER HA
U+FF8B, \xef\xbe\x8b, HALFWIDTH KATAKANA LETTER HI
U+FF8C, \xef\xbe\x8c, HALFWIDTH KATAKANA LETTER HU
U+FF8D, \xef\xbe\x8d, HALFWIDTH KATAKANA LETTER HE
U+FF8E, \xef\xbe\x8e, HALFWIDTH KATAKANA LETTER HO
U+FF8F, \xef\xbe\x8f, HALFWIDTH KATAKANA LETTER MA
U+FF90, \xef\xbe\x90, HALFWIDTH KATAKANA LETTER MI
U+FF91, \xef\xbe\x91, HALFWIDTH KATAKANA LETTER MU
U+FF92, \xef\xbe\x92, HALFWIDTH KATAKANA LETTER ME
U+FF93, \xef\xbe\x93, HALFWIDTH KATAKANA LETTER MO
U+FF94, \xef\xbe\x94, HALFWIDTH KATAKANA LETTER YA
U+FF95, \xef\xbe\x95, HALFWIDTH KATAKANA LETTER YU
U+FF96, \xef\xbe\x96, HALFWIDTH KATAKANA LETTER YO
U+FF97, \xef\xbe\x97, HALFWIDTH KATAKANA LETTER RA
U+FF98, \xef\xbe\x98, HALFWIDTH KATAKANA LETTER RI
U+FF99, \xef\xbe\x99, HALFWIDTH KATAKANA LETTER RU
U+FF9A, \xef\xbe\x9a, HALFWIDTH KATAKANA LETTER RE
U+FF9B, \xef\xbe\x9b, HALFWIDTH KATAKANA LETTER RO
U+FF9C, \xef\xbe\x9c, HALFWIDTH KATAKANA LETTER WA
U+FF9D, \xef\xbe\x9d, HALFWIDTH KATAKANA LETTER N
U+FF9E, \xef\xbe\x9e, HALFWIDTH KATAKANA VOICED SOUND MARK
U+FF9F, \xef\xbe\x9f, HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
U+FFA0, \xef\xbe\xa0, HALFWIDTH HANGUL FILLER
U+FFA1, \xef\xbe\xa1, HALFWIDTH HANGUL LETTER KIYEOK
U+FFA2, \xef\xbe\xa2, HALFWIDTH HANGUL LETTER SSANGKIYEOK
U+FFA3, \xef\xbe\xa3, HALFWIDTH HANGUL LETTER KIYEOK-SIOS
U+FFA4, \xef\xbe\xa4, HALFWIDTH HANGUL LETTER NIEUN
U+FFA5, \xef\xbe\xa5, HALFWIDTH HANGUL LETTER NIEUN-CIEUC
U+FFA6, \xef\xbe\xa6, HALFWIDTH HANGUL LETTER NIEUN-HIEUH
U+FFA7, \xef\xbe\xa7, HALFWIDTH HANGUL LETTER TIKEUT
U+FFA8, \xef\xbe\xa8, HALFWIDTH HANGUL LETTER SSANGTIKEUT
U+FFA9, \xef\xbe\xa9, HALFWIDTH HANGUL LETTER RIEUL
U+FFAA, \xef\xbe\xaa, HALFWIDTH HANGUL LETTER RIEUL-KIYEOK
U+FFAB, \xef\xbe\xab, HALFWIDTH HANGUL LETTER RIEUL-MIEUM
U+FFAC, \xef\xbe\xac, HALFWIDTH HANGUL LETTER RIEUL-PIEUP
U+FFAD, \xef\xbe\xad, HALFWIDTH HANGUL LETTER RIEUL-SIOS
U+FFAE, \xef\xbe\xae, HALFWIDTH HANGUL LETTER RIEUL-THIEUTH
U+FFAF, \xef\xbe\xaf, HALFWIDTH HANGUL LETTER RIEUL-PHIEUPH
U+FFB0, \xef\xbe\xb0, HALFWIDTH HANGUL LETTER RIEUL-HIEUH
U+FFB1, \xef\xbe\xb1, HALFWIDTH HANGUL LETTER MIEUM
U+FFB2, \xef\xbe\xb2, HALFWIDTH HANGUL LETTER PIEUP
U+FFB3, \xef\xbe\xb3, HALFWIDTH HANGUL LETTER SSANGPIEUP
U+FFB4, \xef\xbe\xb4, HALFWIDTH HANGUL LETTER PIEUP-SIOS
U+FFB5, \xef\xbe\xb5, HALFWIDTH HANGUL LETTER SIOS
U+FFB6, \xef\xbe\xb6, HALFWIDTH HANGUL LETTER SSANGSIOS
U+FFB7, \xef\xbe\xb7, HALFWIDTH HANGUL LETTER IEUNG
U+FFB8, \xef\xbe\xb8, HALFWIDTH HANGUL LETTER CIEUC
U+FFB9, \xef\xbe\xb9, HALFWIDTH HANGUL LETTER SSANGCIEUC
U+FFBA, \xef\xbe\xba, HALFWIDTH HANGUL LETTER CHIEUCH
U+FFBB, \xef\xbe\xbb, HALFWIDTH HANGUL LETTER KHIEUKH
U+FFBC, \xef\xbe\xbc, HALFWIDTH HANGUL LETTER THIEUTH
U+FFBD, \xef\xbe\xbd, HALFWIDTH HANGUL LETTER PHIEUPH
U+FFBE, \xef\xbe\xbe, HALFWIDTH HANGUL LETTER HIEUH
U+FFC2, \xef\xbf\x82, HALFWIDTH HANGUL LETTER A
U+FFC3, \xef\xbf\x83, HALFWIDTH HANGUL LETTER AE
U+FFC4, \xef\xbf\x84, HALFWIDTH HANGUL LETTER YA
U+FFC5, \xef\xbf\x85, HALFWIDTH HANGUL LETTER YAE
U+FFC6, \xef\xbf\x86, HALFWIDTH HANGUL LETTER EO
U+FFC7, \xef\xbf\x87, HALFWIDTH HANGUL LETTER E
U+FFCA, \xef\xbf\x8a, HALFWIDTH HANGUL LETTER YEO
U+FFCB, \xef\xbf\x8b, HALFWIDTH HANGUL LETTER YE
U+FFCC, \xef\xbf\x8c, HALFWIDTH HANGUL LETTER O
U+FFCD, \xef\xbf\x8d, HALFWIDTH HANGUL LETTER WA
U+FFCE, \xef\xbf\x8e, HALFWIDTH HANGUL LETTER WAE
U+FFCF, \xef\xbf\x8f, HALFWIDTH HANGUL LETTER OE
U+FFD2, \xef\xbf\x92, HALFWIDTH HANGUL LETTER YO
U+FFD3, \xef\xbf\x93, HALFWIDTH HANGUL LETTER U
U+FFD4, \xef\xbf\x94, HALFWIDTH HANGUL LETTER WEO
U+FFD5, \xef\xbf\x95, HALFWIDTH HANGUL LETTER WE
