# Unicode Characters in the Vai Block
# Source: http://www.fileformat.info/info/unicode/block/vai/list.htm
"U+A5FA", "\xea\x97\xba", "VAI SYLLABLE NDE (U+A5FA)"
"U+A5FB", "\xea\x97\xbb", "VAI SYLLABLE SE (U+A5FB)"
"U+A5FC", "\xea\x97\xbc", "VAI SYLLABLE SHE (U+A5FC)"
"U+A5FD", "\xea\x97\xbd", "VAI SYLLABLE ZE (U+A5FD)"
"U+A5FE", "\xea\x97\xbe", "VAI SYLLABLE ZHE (U+A5FE)"
"U+A5FF", "\xea\x97\xbf", "VAI SYLLABLE CE (U+A5FF)"
"U+A600", "\xea\x98\x80", "VAI SYLLABLE JE (U+A600)"
"U+A601", "\xea\x98\x81", "VAI SYLLABLE NJE (U+A601)"
"U+A602", "\xea\x98\x82", "VAI SYLLABLE YE (U+A602)"
"U+A603", "\xea\x98\x83", "VAI SYLLABLE KE (U+A603)"
"U+A604", "\xea\x98\x84", "VAI SYLLABLE NGGE (U+A604)"
"U+A605", "\xea\x98\x85", "VAI SYLLABLE NGGEN (U+A605)"
"U+A606", "\xea\x98\x86", "VAI SYLLABLE GE (U+A606)"
"U+A607", "\xea\x98\x87", "VAI SYLLABLE GEN (U+A607)"
"U+A608", "\xea\x98\x88", "VAI SYLLABLE ME (U+A608)"
"U+A609", "\xea\x98\x89", "VAI SYLLABLE NE (U+A609)"
"U+A60A", "\xea\x98\x8a", "VAI SYLLABLE NYE (U+A60A)"
"U+A60B", "\xea\x98\x8b", "VAI SYLLABLE NG (U+A60B)"
"U+A60C", "\xea\x98\x8c", "VAI SYLLABLE LENGTHENER (U+A60C)"
"U+A60D", "\xea\x98\x8d", "VAI COMMA (U+A60D)"
"U+A60E", "\xea\x98\x8e", "VAI FULL STOP (U+A60E)"
"U+A60F", "\xea\x98\x8f", "VAI QUESTION MARK (U+A60F)"
"U+A610", "\xea\x98\x90", "VAI SYLLABLE NDOLE FA (U+A610)"
"U+A611", "\xea\x98\x91", "VAI SYLLABLE NDOLE KA (U+A611)"
"U+A612", "\xea\x98\x92", "VAI SYLLABLE NDOLE SOO (U+A612)"
"U+A613", "\xea\x98\x93", "VAI SYMBOL FEENG (U+A613)"
"U+A614", "\xea\x98\x94", "VAI SYMBOL KEENG (U+A614)"
"U+A615", "\xea\x98\x95", "VAI SYMBOL TING (U+A615)"
