# Lao
U+0F54, \xe0\xbd\x94, TIBETAN LETTER PA
U+0F55, \xe0\xbd\x95, TIBETAN LETTER PHA
U+0F56, \xe0\xbd\x96, TIBETAN LETTER BA
U+0F57, \xe0\xbd\x97, TIBETAN LETTER BHA
U+0F58, \xe0\xbd\x98, TIBETAN LETTER MA
U+0F59, \xe0\xbd\x99, TIBETAN LETTER TSA
U+0F5A, \xe0\xbd\x9a, TIBETAN LETTER TSHA
U+0F5B, \xe0\xbd\x9b, TIBETAN LETTER DZA
U+0F5C, \xe0\xbd\x9c, TIBETAN LETTER DZHA
U+0F5D, \xe0\xbd\x9d, TIBETAN LETTER WA
U+0F5E, \xe0\xbd\x9e, TIBETAN LETTER ZHA
U+0F5F, \xe0\xbd\x9f, TIBETAN LETTER ZA
U+0F60, \xe0\xbd\xa0, TIBETAN LETTER -A
U+0F61, \xe0\xbd\xa1, TIBETAN LETTER YA
U+0F62, \xe0\xbd\xa2, TIBETAN LETTER RA
U+0F63, \xe0\xbd\xa3, TIBETAN LETTER LA
U+0F64, \xe0\xbd\xa4, TIBETAN LETTER SHA
U+0F65, \xe0\xbd\xa5, TIBETAN LETTER SSA
U+0F66, \xe0\xbd\xa6, TIBETAN LETTER SA
U+0F67, \xe0\xbd\xa7, TIBETAN LETTER HA
U+0F68, \xe0\xbd\xa8, TIBETAN LETTER A
U+0F69, \xe0\xbd\xa9, TIBETAN LETTER KSSA
U+0F6A, \xe0\xbd\xaa, TIBETAN LETTER FIXED-FORM RA
U+0F6B, \xe0\xbd\xab, TIBETAN LETTER KKA
U+0F6C, \xe0\xbd\xac, TIBETAN LETTER RRA
U+0F71, \xe0\xbd\xb1, TIBETAN VOWEL SIGN AA
U+0F72, \xe0\xbd\xb2, TIBETAN VOWEL SIGN I
U+0F73, \xe0\xbd\xb3, TIBETAN VOWEL SIGN II
U+0F74, \xe0\xbd\xb4, TIBETAN VOWEL SIGN U
U+0F75, \xe0\xbd\xb5, TIBETAN VOWEL SIGN UU
U+0F76, \xe0\xbd\xb6, TIBETAN VOWEL SIGN VOCALIC R
U+0F77, \xe0\xbd\xb7, TIBETAN VOWEL SIGN VOCALIC RR
U+0F78, \xe0\xbd\xb8, TIBETAN VOWEL SIGN VOCALIC L
U+0F79, \xe0\xbd\xb9, TIBETAN VOWEL SIGN VOCALIC LL
U+0F7A, \xe0\xbd\xba, TIBETAN VOWEL SIGN E
U+0F7B, \xe0\xbd\xbb, TIBETAN VOWEL SIGN EE
U+0F7C, \xe0\xbd\xbc, TIBETAN VOWEL SIGN O
U+0F7D, \xe0\xbd\xbd, TIBETAN VOWEL SIGN OO
U+0F7E, \xe0\xbd\xbe, TIBETAN SIGN RJES SU NGA RO
U+0F7F, \xe0\xbd\xbf, TIBETAN SIGN RNAM BCAD
