# Unified Canadian Aboriginal Syllabics
U+1400, \xe1\x90\x80, CANADIAN SYLLABICS HYPHEN
U+14E2, \xe1\x93\xa2, CANADIAN SYLLABICS LWO
U+14E3, \xe1\x93\xa3, CANADIAN SYLLABICS WEST-CREE LWO
U+14E4, \xe1\x93\xa4, CANADIAN SYLLABICS LWOO
U+14E5, \xe1\x93\xa5, CANADIAN SYLLABICS WEST-CREE LWOO
U+14E6, \xe1\x93\xa6, CANADIAN SYLLABICS LWA
U+14E7, \xe1\x93\xa7, CANADIAN SYLLABICS WEST-CREE LWA
U+14E8, \xe1\x93\xa8, CANADIAN SYLLABICS LWAA
U+14E9, \xe1\x93\xa9, CANADIAN SYLLABICS WEST-CREE LWAA
U+14EA, \xe1\x93\xaa, CANADIAN SYLLABICS L
U+14EB, \xe1\x93\xab, CANADIAN SYLLABICS WEST-CREE L
U+14EC, \xe1\x93\xac, CANADIAN SYLLABICS MEDIAL L
U+14ED, \xe1\x93\xad, CANADIAN SYLLABICS SE
U+14EE, \xe1\x93\xae, CANADIAN SYLLABICS SAAI
U+14EF, \xe1\x93\xaf, CANADIAN SYLLABICS SI
U+14F0, \xe1\x93\xb0, CANADIAN SYLLABICS SII
U+14F1, \xe1\x93\xb1, CANADIAN SYLLABICS SO
U+14F2, \xe1\x93\xb2, CANADIAN SYLLABICS SOO
U+14F3, \xe1\x93\xb3, CANADIAN SYLLABICS Y-CREE SOO
U+14F4, \xe1\x93\xb4, CANADIAN SYLLABICS SA
U+14F5, \xe1\x93\xb5, CANADIAN SYLLABICS SAA
U+14F6, \xe1\x93\xb6, CANADIAN SYLLABICS SWE
U+14F7, \xe1\x93\xb7, CANADIAN SYLLABICS WEST-CREE SWE
U+14F8, \xe1\x93\xb8, CANADIAN SYLLABICS SWI
U+14F9, \xe1\x93\xb9, CANADIAN SYLLABICS WEST-CREE SWI
U+14FA, \xe1\x93\xba, CANADIAN SYLLABICS SWII
U+14FB, \xe1\x93\xbb, CANADIAN SYLLABICS WEST-CREE SWII
U+14FC, \xe1\x93\xbc, CANADIAN SYLLABICS SWO
U+14FD, \xe1\x93\xbd, CANADIAN SYLLABICS WEST-CREE SWO
U+14FE, \xe1\x93\xbe, CANADIAN SYLLABICS SWOO
U+14FF, \xe1\x93\xbf, CANADIAN SYLLABICS WEST-CREE SWOO
