# Unicode Characters in the Mathematical Operators Block
# Source: http://www.fileformat.info/info/unicode/block/mathematical_operators/list.htm
"U+2261", "\xe2\x89\xa1", "IDENTICAL TO (U+2261)"
"U+2262", "\xe2\x89\xa2", "NOT IDENTICAL TO (U+2262)"
"U+2263", "\xe2\x89\xa3", "STRICTLY EQUIVALENT TO (U+2263)"
"U+2264", "\xe2\x89\xa4", "LESS-THAN OR EQUAL TO (U+2264)"
"U+2265", "\xe2\x89\xa5", "GREATER-THAN OR EQUAL TO (U+2265)"
"U+2266", "\xe2\x89\xa6", "LESS-THAN OVER EQUAL TO (U+2266)"
"U+2267", "\xe2\x89\xa7", "GREATER-THAN OVER EQUAL TO (U+2267)"
"U+2268", "\xe2\x89\xa8", "LESS-THAN BUT NOT EQUAL TO (U+2268)"
"U+2269", "\xe2\x89\xa9", "GREATER-THAN BUT NOT EQUAL TO (U+2269)"
"U+226A", "\xe2\x89\xaa", "MUCH LESS-THAN (U+226A)"
"U+226B", "\xe2\x89\xab", "MUCH GREATER-THAN (U+226B)"
"U+226C", "\xe2\x89\xac", "BETWEEN (U+226C)"
"U+226D", "\xe2\x89\xad", "NOT EQUIVALENT TO (U+226D)"
"U+226E", "\xe2\x89\xae", "NOT LESS-THAN (U+226E)"
"U+226F", "\xe2\x89\xaf", "NOT GREATER-THAN (U+226F)"
"U+2270", "\xe2\x89\xb0", "NEITHER LESS-THAN NOR EQUAL TO (U+2270)"
"U+2271", "\xe2\x89\xb1", "NEITHER GREATER-THAN NOR EQUAL TO (U+2271)"
"U+2272", "\xe2\x89\xb2", "LESS-THAN OR EQUIVALENT TO (U+2272)"
"U+2273", "\xe2\x89\xb3", "GREATER-THAN OR EQUIVALENT TO (U+2273)"
"U+2274", "\xe2\x89\xb4", "NEITHER LESS-THAN NOR EQUIVALENT TO (U+2274)"
"U+2275", "\xe2\x89\xb5", "NEITHER GREATER-THAN NOR EQUIVALENT TO (U+2275)"
"U+2276", "\xe2\x89\xb6", "LESS-THAN OR GREATER-THAN (U+2276)"
"U+2277", "\xe2\x89\xb7", "GREATER-THAN OR LESS-THAN (U+2277)"
"U+2278", "\xe2\x89\xb8", "NEITHER LESS-THAN NOR GREATER-THAN (U+2278)"
"U+2279", "\xe2\x89\xb9", "NEITHER GREATER-THAN NOR LESS-THAN (U+2279)"
"U+227A", "\xe2\x89\xba", "PRECEDES (U+227A)"
"U+227B", "\xe2\x89\xbb", "SUCCEEDS (U+227B)"
"U+227C", "\xe2\x89\xbc", "PRECEDES OR EQUAL TO (U+227C)"
"U+227D", "\xe2\x89\xbd", "SUCCEEDS OR EQUAL TO (U+227D)"
"U+227E", "\xe2\x89\xbe", "PRECEDES OR EQUIVALENT TO (U+227E)"
"U+227F", "\xe2\x89\xbf", "SUCCEEDS OR EQUIVALENT TO (U+227F)"
"U+2280", "\xe2\x8a\x80", "DOES NOT PRECEDE (U+2280)"
"U+2281", "\xe2\x8a\x81", "DOES NOT SUCCEED (U+2281)"
"U+2282", "\xe2\x8a\x82", "SUBSET OF (U+2282)"
"U+2283", "\xe2\x8a\x83", "SUPERSET OF (U+2283)"
"U+2284", "\xe2\x8a\x84", "NOT A SUBSET OF (U+2284)"
"U+2285", "\xe2\x8a\x85", "NOT A SUPERSET OF (U+2285)"
"U+2286", "\xe2\x8a\x86", "SUBSET OF OR EQUAL TO (U+2286)"
"U+2287", "\xe2\x8a\x87", "SUPERSET OF OR EQUAL TO (U+2287)"
"U+2288", "\xe2\x8a\x88", "NEITHER A SUBSET OF NOR EQUAL TO (U+2288)"
"U+2289", "\xe2\x8a\x89", "NEITHER A SUPERSET OF NOR EQUAL TO (U+2289)"
"U+228A", "\xe2\x8a\x8a", "SUBSET OF WITH NOT EQUAL TO (U+228A)"
"U+228B", "\xe2\x8a\x8b", "SUPERSET OF WITH NOT EQUAL TO (U+228B)"
"U+228C", "\xe2\x8a\x8c", "MULTISET (U+228C)"
"U+228D", "\xe2\x8a\x8d", "MULTISET MULTIPLICATION (U+228D)"
"U+228E", "\xe2\x8a\x8e", "MULTISET UNION (U+228E)"
"U+228F", "\xe2\x8a\x8f", "SQUARE IMAGE OF (U+228F)"
"U+2290", "\xe2\x8a\x90", "SQUARE ORIGINAL OF (U+2290)"
"U+2291", "\xe2\x8a\x91", "SQUARE IMAGE OF OR EQUAL TO (U+2291)"
"U+2292", "\xe2\x8a\x92", "SQUARE ORIGINAL OF OR EQUAL TO (U+2292)"
"U+2293", "\xe2\x8a\x93", "SQUARE CAP (U+2293)"
"U+2294", "\xe2\x8a\x94", "SQUARE CUP (U+2294)"
"U+2295", "\xe2\x8a\x95", "CIRCLED PLUS (U+2295)"
"U+2296", "\xe2\x8a\x96", "CIRCLED MINUS (U+2296)"
"U+2297", "\xe2\x8a\x97", "CIRCLED TIMES (U+2297)"
"U+2298", "\xe2\x8a\x98", "CIRCLED DIVISION SLASH (U+2298)"
"U+2299", "\xe2\x8a\x99", "CIRCLED DOT OPERATOR (U+2299)"
"U+229A", "\xe2\x8a\x9a", "CIRCLED RING OPERATOR (U+229A)"
"U+229B", "\xe2\x8a\x9b", "CIRCLED ASTERISK OPERATOR (U+229B)"
"U+229C", "\xe2\x8a\x9c", "CIRCLED EQUALS (U+229C)"
"U+229D", "\xe2\x8a\x9d", "CIRCLED DASH (U+229D)"
"U+229E", "\xe2\x8a\x9e", "SQUARED PLUS (U+229E)"
"U+229F", "\xe2\x8a\x9f", "SQUARED MINUS (U+229F)"
"U+22A0", "\xe2\x8a\xa0", "SQUARED TIMES (U+22A0)"
"U+22A1", "\xe2\x8a\xa1", "SQUARED DOT OPERATOR (U+22A1)"
"U+22A2", "\xe2\x8a\xa2", "RIGHT TACK (U+22A2)"
"U+22A3", "\xe2\x8a\xa3", "LEFT TACK (U+22A3)"
"U+22A4", "\xe2\x8a\xa4", "DOWN TACK (U+22A4)"
"U+22A5", "\xe2\x8a\xa5", "UP TACK (U+22A5)"
"U+22A6", "\xe2\x8a\xa6", "ASSERTION (U+22A6)"
"U+22A7", "\xe2\x8a\xa7", "MODELS (U+22A7)"
"U+22A8", "\xe2\x8a\xa8", "TRUE (U+22A8)"
"U+22A9", "\xe2\x8a\xa9", "FORCES (U+22A9)"
"U+22AA", "\xe2\x8a\xaa", "TRIPLE VERTICAL BAR RIGHT TURNSTILE (U+22AA)"
"U+22AB", "\xe2\x8a\xab", "DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE (U+22AB)"
"U+22AC", "\xe2\x8a\xac", "DOES NOT PROVE (U+22AC)"
"U+22AD", "\xe2\x8a\xad", "NOT TRUE (U+22AD)"
"U+22AE", "\xe2\x8a\xae", "DOES NOT FORCE (U+22AE)"
"U+22AF", "\xe2\x8a\xaf", "NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE (U+22AF)"
"U+22B0", "\xe2\x8a\xb0", "PRECEDES UNDER RELATION (U+22B0)"
"U+22B1", "\xe2\x8a\xb1", "SUCCEEDS UNDER RELATION (U+22B1)"
"U+22B2", "\xe2\x8a\xb2", "NORMAL SUBGROUP OF (U+22B2)"
"U+22B3", "\xe2\x8a\xb3", "CONTAINS AS NORMAL SUBGROUP (U+22B3)"
"U+22B4", "\xe2\x8a\xb4", "NORMAL SUBGROUP OF OR EQUAL TO (U+22B4)"
"U+22B5", "\xe2\x8a\xb5", "CONTAINS AS NORMAL SUBGROUP OR EQUAL TO (U+22B5)"
"U+22B6", "\xe2\x8a\xb6", "ORIGINAL OF (U+22B6)"
"U+22B7", "\xe2\x8a\xb7", "IMAGE OF (U+22B7)"
"U+22B8", "\xe2\x8a\xb8", "MULTIMAP (U+22B8)"
"U+22B9", "\xe2\x8a\xb9", "HERMITIAN CONJUGATE MATRIX (U+22B9)"
"U+22BA", "\xe2\x8a\xba", "INTERCALATE (U+22BA)"
"U+22BB", "\xe2\x8a\xbb", "XOR (U+22BB)"
"U+22BC", "\xe2\x8a\xbc", "NAND (U+22BC)"
"U+22BD", "\xe2\x8a\xbd", "NOR (U+22BD)"
"U+22BE", "\xe2\x8a\xbe", "RIGHT ANGLE WITH ARC (U+22BE)"
"U+22BF", "\xe2\x8a\xbf", "RIGHT TRIANGLE (U+22BF)"
"U+22C0", "\xe2\x8b\x80", "N-ARY LOGICAL AND (U+22C0)"
"U+22C1", "\xe2\x8b\x81", "N-ARY LOGICAL OR (U+22C1)"
"U+22C2", "\xe2\x8b\x82", "N-ARY INTERSECTION (U+22C2)"
"U+22C3", "\xe2\x8b\x83", "N-ARY UNION (U+22C3)"
"U+22C4", "\xe2\x8b\x84", "DIAMOND OPERATOR (U+22C4)"
"U+22C5", "\xe2\x8b\x85", "DOT OPERATOR (U+22C5)"
"U+22C6", "\xe2\x8b\x86", "STAR OPERATOR (U+22C6)"
"U+22C7", "\xe2\x8b\x87", "DIVISION TIMES (U+22C7)"
"U+22C8", "\xe2\x8b\x88", "BOWTIE (U+22C8)"
"U+22C9", "\xe2\x8b\x89", "LEFT NORMAL FACTOR SEMIDIRECT PRODUCT (U+22C9)"
"U+22CA", "\xe2\x8b\x8a", "RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT (U+22CA)"
"U+22CB", "\xe2\x8b\x8b", "LEFT SEMIDIRECT PRODUCT (U+22CB)"
"U+22CC", "\xe2\x8b\x8c", "RIGHT SEMIDIRECT PRODUCT (U+22CC)"
"U+22CD", "\xe2\x8b\x8d", "REVERSED TILDE EQUALS (U+22CD)"
"U+22CE", "\xe2\x8b\x8e", "CURLY LOGICAL OR (U+22CE)"
"U+22CF", "\xe2\x8b\x8f", "CURLY LOGICAL AND (U+22CF)"
"U+22D0", "\xe2\x8b\x90", "DOUBLE SUBSET (U+22D0)"
"U+22D1", "\xe2\x8b\x91", "DOUBLE SUPERSET (U+22D1)"
"U+22D2", "\xe2\x8b\x92", "DOUBLE INTERSECTION (U+22D2)"
"U+22D3", "\xe2\x8b\x93", "DOUBLE UNION (U+22D3)"
"U+22D4", "\xe2\x8b\x94", "PITCHFORK (U+22D4)"
"U+22D5", "\xe2\x8b\x95", "EQUAL AND PARALLEL TO (U+22D5)"
"U+22D6", "\xe2\x8b\x96", "LESS-THAN WITH DOT (U+22D6)"
"U+22D7", "\xe2\x8b\x97", "GREATER-THAN WITH DOT (U+22D7)"
"U+22D8", "\xe2\x8b\x98", "VERY MUCH LESS-THAN (U+22D8)"
"U+22D9", "\xe2\x8b\x99", "VERY MUCH GREATER-THAN (U+22D9)"
"U+22DA", "\xe2\x8b\x9a", "LESS-THAN EQUAL TO OR GREATER-THAN (U+22DA)"
"U+22DB", "\xe2\x8b\x9b", "GREATER-THAN EQUAL TO OR LESS-THAN (U+22DB)"
"U+22DC", "\xe2\x8b\x9c", "EQUAL TO OR LESS-THAN (U+22DC)"
"U+22DD", "\xe2\x8b\x9d", "EQUAL TO OR GREATER-THAN (U+22DD)"
"U+22DE", "\xe2\x8b\x9e", "EQUAL TO OR PRECEDES (U+22DE)"
"U+22DF", "\xe2\x8b\x9f", "EQUAL TO OR SUCCEEDS (U+22DF)"
"U+22E0", "\xe2\x8b\xa0", "DOES NOT PRECEDE OR EQUAL (U+22E0)"
"U+22E1", "\xe2\x8b\xa1", "DOES NOT SUCCEED OR EQUAL (U+22E1)"
"U+22E2", "\xe2\x8b\xa2", "NOT SQUARE IMAGE OF OR EQUAL TO (U+22E2)"
"U+22E3", "\xe2\x8b\xa3", "NOT SQUARE ORIGINAL OF OR EQUAL TO (U+22E3)"
"U+22E4", "\xe2\x8b\xa4", "SQUARE IMAGE OF OR NOT EQUAL TO (U+22E4)"
"U+22E5", "\xe2\x8b\xa5", "SQUARE ORIGINAL OF OR NOT EQUAL TO (U+22E5)"
"U+22E6", "\xe2\x8b\xa6", "LESS-THAN BUT NOT EQUIVALENT TO (U+22E6)"
"U+22E7", "\xe2\x8b\xa7", "GREATER-THAN BUT NOT EQUIVALENT TO (U+22E7)"
"U+22E8", "\xe2\x8b\xa8", "PRECEDES BUT NOT EQUIVALENT TO (U+22E8)"
"U+22E9", "\xe2\x8b\xa9", "SUCCEEDS BUT NOT EQUIVALENT TO (U+22E9)"
"U+22EA", "\xe2\x8b\xaa", "NOT NORMAL SUBGROUP OF (U+22EA)"
"U+22EB", "\xe2\x8b\xab", "DOES NOT CONTAIN AS NORMAL SUBGROUP (U+22EB)"
"U+22EC", "\xe2\x8b\xac", "NOT NORMAL SUBGROUP OF OR EQUAL TO (U+22EC)"
"U+22ED", "\xe2\x8b\xad", "DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL (U+22ED)"
"U+22EE", "\xe2\x8b\xae", "VERTICAL ELLIPSIS (U+22EE)"
"U+22EF", "\xe2\x8b\xaf", "MIDLINE HORIZONTAL ELLIPSIS (U+22EF)"
