# Unicode Characters in the Hangul Jamo Block
# Source: http://www.fileformat.info/info/unicode/block/hangul_jamo/list.htm
"U+1169", "\xe1\x85\xa9", "HANGUL JUNGSEONG O (U+1169)"
"U+116A", "\xe1\x85\xaa", "HANGUL JUNGSEONG WA (U+116A)"
"U+116B", "\xe1\x85\xab", "HANGUL JUNGSEONG WAE (U+116B)"
"U+116C", "\xe1\x85\xac", "HANGUL JUNGSEONG OE (U+116C)"
"U+116D", "\xe1\x85\xad", "HANGUL JUNGSEONG YO (U+116D)"
"U+116E", "\xe1\x85\xae", "HANGUL JUNGSEONG U (U+116E)"
"U+116F", "\xe1\x85\xaf", "HANGUL JUNGSEONG WEO (U+116F)"
"U+1170", "\xe1\x85\xb0", "HANGUL JUNGSEONG WE (U+1170)"
"U+1171", "\xe1\x85\xb1", "HANGUL JUNGSEONG WI (U+1171)"
"U+1172", "\xe1\x85\xb2", "HANGUL JUNGSEONG YU (U+1172)"
"U+1173", "\xe1\x85\xb3", "HANGUL JUNGSEONG EU (U+1173)"
"U+1174", "\xe1\x85\xb4", "HANGUL JUNGSEONG YI (U+1174)"
"U+1175", "\xe1\x85\xb5", "HANGUL JUNGSEONG I (U+1175)"
"U+1176", "\xe1\x85\xb6", "HANGUL JUNGSEONG A-O (U+1176)"
"U+1177", "\xe1\x85\xb7", "HANGUL JUNGSEONG A-U (U+1177)"
"U+1178", "\xe1\x85\xb8", "HANGUL JUNGSEONG YA-O (U+1178)"
"U+1179", "\xe1\x85\xb9", "HANGUL JUNGSEONG YA-YO (U+1179)"
"U+117A", "\xe1\x85\xba", "HANGUL JUNGSEONG EO-O (U+117A)"
"U+117B", "\xe1\x85\xbb", "HANGUL JUNGSEONG EO-U (U+117B)"
"U+117C", "\xe1\x85\xbc", "HANGUL JUNGSEONG EO-EU (U+117C)"
"U+117D", "\xe1\x85\xbd", "HANGUL JUNGSEONG YEO-O (U+117D)"
"U+117E", "\xe1\x85\xbe", "HANGUL JUNGSEONG YEO-U (U+117E)"
"U+117F", "\xe1\x85\xbf", "HANGUL JUNGSEONG O-EO (U+117F)"
"U+1180", "\xe1\x86\x80", "HANGUL JUNGSEONG O-E (U+1180)"
"U+1181", "\xe1\x86\x81", "HANGUL JUNGSEONG O-YE (U+1181)"
"U+1182", "\xe1\x86\x82", "HANGUL JUNGSEONG O-O (U+1182)"
"U+1183", "\xe1\x86\x83", "HANGUL JUNGSEONG O-U (U+1183)"
"U+1184", "\xe1\x86\x84", "HANGUL JUNGSEONG YO-YA (U+1184)"
"U+1185", "\xe1\x86\x85", "HANGUL JUNGSEONG YO-YAE (U+1185)"
"U+1186", "\xe1\x86\x86", "HANGUL JUNGSEONG YO-YEO (U+1186)"
"U+1187", "\xe1\x86\x87", "HANGUL JUNGSEONG YO-O (U+1187)"
"U+1188", "\xe1\x86\x88", "HANGUL JUNGSEONG YO-I (U+1188)"
"U+1189", "\xe1\x86\x89", "HANGUL JUNGSEONG U-A (U+1189)"
"U+118A", "\xe1\x86\x8a", "HANGUL JUNGSEONG U-AE (U+118A)"
"U+118B", "\xe1\x86\x8b", "HANGUL JUNGSEONG U-EO-EU (U+118B)"
"U+118C", "\xe1\x86\x8c", "HANGUL JUNGSEONG U-YE (U+118C)"
"U+118D", "\xe1\x86\x8d", "HANGUL JUNGSEONG U-U (U+118D)"
"U+118E", "\xe1\x86\x8e", "HANGUL JUNGSEONG YU-A (U+118E)"
"U+118F", "\xe1\x86\x8f", "HANGUL JUNGSEONG YU-EO (U+118F)"
"U+1190", "\xe1\x86\x90", "HANGUL JUNGSEONG YU-E (U+1190)"
"U+1191", "\xe1\x86\x91", "HANGUL JUNGSEONG YU-YEO (U+1191)"
"U+1192", "\xe1\x86\x92", "HANGUL JUNGSEONG YU-YE (U+1192)"
"U+1193", "\xe1\x86\x93", "HANGUL JUNGSEONG YU-U (U+1193)"
"U+1194", "\xe1\x86\x94", "HANGUL JUNGSEONG YU-I (U+1194)"
"U+1195", "\xe1\x86\x95", "HANGUL JUNGSEONG EU-U (U+1195)"
"U+1196", "\xe1\x86\x96", "HANGUL JUNGSEONG EU-EU (U+1196)"
"U+1197", "\xe1\x86\x97", "HANGUL JUNGSEONG YI-U (U+1197)"
"U+1198", "\xe1\x86\x98", "HANGUL JUNGSEONG I-A (U+1198)"
"U+1199", "\xe1\x86\x99", "HANGUL JUNGSEONG I-YA (U+1199)"
"U+119A", "\xe1\x86\x9a", "HANGUL JUNGSEONG I-O (U+119A)"
"U+119B", "\xe1\x86\x9b", "HANGUL JUNGSEONG I-U (U+119B)"
"U+119C", "\xe1\x86\x9c", "HANGUL JUNGSEONG I-EU (U+119C)"
