# Tifinagh
U+2DAA, \xe2\xb6\xaa, ETHIOPIC SYLLABLE CCI
U+2DAB, \xe2\xb6\xab, ETHIOPIC SYLLABLE CCAA
U+2DAC, \xe2\xb6\xac, ETHIOPIC SYLLABLE CCEE
U+2DAD, \xe2\xb6\xad, ETHIOPIC SYLLABLE CCE
U+2DAE, \xe2\xb6\xae, ETHIOPIC SYLLABLE CCO
U+2DB0, \xe2\xb6\xb0, ETHIOPIC SYLLABLE ZZA
U+2DB1, \xe2\xb6\xb1, ETHIOPIC SYLLABLE ZZU
U+2DB2, \xe2\xb6\xb2, ETHIOPIC SYLLABLE ZZI
U+2DB3, \xe2\xb6\xb3, ETHIOPIC SYLLABLE ZZAA
U+2DB4, \xe2\xb6\xb4, ETHIOPIC SYLLABLE ZZEE
U+2DB5, \xe2\xb6\xb5, ETHIOPIC SYLLABLE ZZE
U+2DB6, \xe2\xb6\xb6, ETHIOPIC SYLLABLE ZZO
U+2DB8, \xe2\xb6\xb8, ETHIOPIC SYLLABLE CCHA
U+2DB9, \xe2\xb6\xb9, ETHIOPIC SYLLABLE CCHU
U+2DBA, \xe2\xb6\xba, ETHIOPIC SYLLABLE CCHI
U+2DBB, \xe2\xb6\xbb, ETHIOPIC SYLLABLE CCHAA
U+2DBC, \xe2\xb6\xbc, ETHIOPIC SYLLABLE CCHEE
U+2DBD, \xe2\xb6\xbd, ETHIOPIC SYLLABLE CCHE
U+2DBE, \xe2\xb6\xbe, ETHIOPIC SYLLABLE CCHO
U+2DC0, \xe2\xb7\x80, ETHIOPIC SYLLABLE QYA
U+2DC1, \xe2\xb7\x81, ETHIOPIC SYLLABLE QYU
U+2DC2, \xe2\xb7\x82, ETHIOPIC SYLLABLE QYI
U+2DC3, \xe2\xb7\x83, ETHIOPIC SYLLABLE QYAA
U+2DC4, \xe2\xb7\x84, ETHIOPIC SYLLABLE QYEE
U+2DC5, \xe2\xb7\x85, ETHIOPIC SYLLABLE QYE
U+2DC6, \xe2\xb7\x86, ETHIOPIC SYLLABLE QYO
U+2DC8, \xe2\xb7\x88, ETHIOPIC SYLLABLE KYA
U+2DC9, \xe2\xb7\x89, ETHIOPIC SYLLABLE KYU
U+2DCA, \xe2\xb7\x8a, ETHIOPIC SYLLABLE KYI
U+2DCB, \xe2\xb7\x8b, ETHIOPIC SYLLABLE KYAA
U+2DCC, \xe2\xb7\x8c, ETHIOPIC SYLLABLE KYEE
U+2DCD, \xe2\xb7\x8d, ETHIOPIC SYLLABLE KYE
U+2DCE, \xe2\xb7\x8e, ETHIOPIC SYLLABLE KYO
U+2DD0, \xe2\xb7\x90, ETHIOPIC SYLLABLE XYA
U+2DD1, \xe2\xb7\x91, ETHIOPIC SYLLABLE XYU
U+2DD2, \xe2\xb7\x92, ETHIOPIC SYLLABLE XYI
U+2DD3, \xe2\xb7\x93, ETHIOPIC SYLLABLE XYAA
U+2DD4, \xe2\xb7\x94, ETHIOPIC SYLLABLE XYEE
U+2DD5, \xe2\xb7\x95, ETHIOPIC SYLLABLE XYE
U+2DD6, \xe2\xb7\x96, ETHIOPIC SYLLABLE XYO
U+2DD8, \xe2\xb7\x98, ETHIOPIC SYLLABLE GYA
U+2DD9, \xe2\xb7\x99, ETHIOPIC SYLLABLE GYU
U+2DDA, \xe2\xb7\x9a, ETHIOPIC SYLLABLE GYI
U+2DDB, \xe2\xb7\x9b, ETHIOPIC SYLLABLE GYAA
U+2DDC, \xe2\xb7\x9c, ETHIOPIC SYLLABLE GYEE
U+2DDD, \xe2\xb7\x9d, ETHIOPIC SYLLABLE GYE
U+2DDE, \xe2\xb7\x9e, ETHIOPIC SYLLABLE GYO
U+2DE0, \xe2\xb7\xa0, COMBINING CYRILLIC LETTER BE
U+2DE1, \xe2\xb7\xa1, COMBINING CYRILLIC LETTER VE
U+2DE2, \xe2\xb7\xa2, COMBINING CYRILLIC LETTER GHE
U+2DE3, \xe2\xb7\xa3, COMBINING CYRILLIC LETTER DE
U+2DE4, \xe2\xb7\xa4, COMBINING CYRILLIC LETTER ZHE
U+2DE5, \xe2\xb7\xa5, COMBINING CYRILLIC LETTER ZE
U+2DE6, \xe2\xb7\xa6, COMBINING CYRILLIC LETTER KA
U+2DE7, \xe2\xb7\xa7, COMBINING CYRILLIC LETTER EL
U+2DE8, \xe2\xb7\xa8, COMBINING CYRILLIC LETTER EM
U+2DE9, \xe2\xb7\xa9, COMBINING CYRILLIC LETTER EN
U+2DEA, \xe2\xb7\xaa, COMBINING CYRILLIC LETTER O
U+2DEB, \xe2\xb7\xab, COMBINING CYRILLIC LETTER PE
U+2DEC, \xe2\xb7\xac, COMBINING CYRILLIC LETTER ER
U+2DED, \xe2\xb7\xad, COMBINING CYRILLIC LETTER ES
U+2DEE, \xe2\xb7\xae, COMBINING CYRILLIC LETTER TE
U+2DEF, \xe2\xb7\xaf, COMBINING CYRILLIC LETTER HA
U+2DF0, \xe2\xb7\xb0, COMBINING CYRILLIC LETTER TSE
U+2DF1, \xe2\xb7\xb1, COMBINING CYRILLIC LETTER CHE
U+2DF2, \xe2\xb7\xb2, COMBINING CYRILLIC LETTER SHA
U+2DF3, \xe2\xb7\xb3, COMBINING CYRILLIC LETTER SHCHA
U+2DF4, \xe2\xb7\xb4, COMBINING CYRILLIC LETTER FITA
U+2DF5, \xe2\xb7\xb5, COMBINING CYRILLIC LETTER ES-TE
U+2DF6, \xe2\xb7\xb6, COMBINING CYRILLIC LETTER A
U+2DF7, \xe2\xb7\xb7, COMBINING CYRILLIC LETTER IE
U+2DF8, \xe2\xb7\xb8, COMBINING CYRILLIC LETTER DJERV
U+2DF9, \xe2\xb7\xb9, COMBINING CYRILLIC LETTER MONOGRAPH UK
