# Playing Cards
U+1F17A, \xf0\x9f\x85\xba, NEGATIVE SQUARED LATIN CAPITAL LETTER K
U+1F17B, \xf0\x9f\x85\xbb, NEGATIVE SQUARED LATIN CAPITAL LETTER L
U+1F17C, \xf0\x9f\x85\xbc, NEGATIVE SQUARED LATIN CAPITAL LETTER M
U+1F17D, \xf0\x9f\x85\xbd, NEGATIVE SQUARED LATIN CAPITAL LETTER N
U+1F17E, \xf0\x9f\x85\xbe, NEGATIVE SQUARED LATIN CAPITAL LETTER O
U+1F17F, \xf0\x9f\x85\xbf, NEGATIVE SQUARED LATIN CAPITAL LETTER P
U+1F180, \xf0\x9f\x86\x80, NEGATIVE SQUARED LATIN CAPITAL LETTER Q
U+1F181, \xf0\x9f\x86\x81, NEGATIVE SQUARED LATIN CAPITAL LETTER R
U+1F182, \xf0\x9f\x86\x82, NEGATIVE SQUARED LATIN CAPITAL LETTER S
U+1F183, \xf0\x9f\x86\x83, NEGATIVE SQUARED LATIN CAPITAL LETTER T
U+1F184, \xf0\x9f\x86\x84, NEGATIVE SQUARED LATIN CAPITAL LETTER U
U+1F185, \xf0\x9f\x86\x85, NEGATIVE SQUARED LATIN CAPITAL LETTER V
U+1F186, \xf0\x9f\x86\x86, NEGATIVE SQUARED LATIN CAPITAL LETTER W
U+1F187, \xf0\x9f\x86\x87, NEGATIVE SQUARED LATIN CAPITAL LETTER X
U+1F188, \xf0\x9f\x86\x88, NEGATIVE SQUARED LATIN CAPITAL LETTER Y
U+1F189, \xf0\x9f\x86\x89, NEGATIVE SQUARED LATIN CAPITAL LETTER Z
U+1F18A, \xf0\x9f\x86\x8a, CROSSED NEGATIVE SQUARED LATIN CAPITAL LETTER P
U+1F18B, \xf0\x9f\x86\x8b, NEGATIVE SQUARED IC
U+1F18C, \xf0\x9f\x86\x8c, NEGATIVE SQUARED PA
U+1F18D, \xf0\x9f\x86\x8d, NEGATIVE SQUARED SA
U+1F18E, \xf0\x9f\x86\x8e, NEGATIVE SQUARED AB
U+1F18F, \xf0\x9f\x86\x8f, NEGATIVE SQUARED WC
U+1F190, \xf0\x9f\x86\x90, SQUARE DJ
U+1F191, \xf0\x9f\x86\x91, SQUARED CL
U+1F192, \xf0\x9f\x86\x92, SQUARED COOL
U+1F193, \xf0\x9f\x86\x93, SQUARED FREE
U+1F194, \xf0\x9f\x86\x94, SQUARED ID
U+1F195, \xf0\x9f\x86\x95, SQUARED NEW
U+1F196, \xf0\x9f\x86\x96, SQUARED NG
U+1F197, \xf0\x9f\x86\x97, SQUARED OK
U+1F198, \xf0\x9f\x86\x98, SQUARED SOS
U+1F199, \xf0\x9f\x86\x99, SQUARED UP WITH EXCLAMATION MARK
U+1F19A, \xf0\x9f\x86\x9a, SQUARED VS
