# Miscellaneous Mathematical Symbols-B
U+2A49, \xe2\xa9\x89, INTERSECTION ABOVE BAR ABOVE UNION
U+2A4A, \xe2\xa9\x8a, UNION BESIDE AND JOINED WITH UNION
U+2A4B, \xe2\xa9\x8b, INTERSECTION BESIDE AND JOINED WITH INTERSECTION
U+2A4C, \xe2\xa9\x8c, CLOSED UNION WITH SERIFS
U+2A4D, \xe2\xa9\x8d, CLOSED INTERSECTION WITH SERIFS
U+2A4E, \xe2\xa9\x8e, DOUBLE SQUARE INTERSECTION
U+2A4F, \xe2\xa9\x8f, DOUBLE SQUARE UNION
U+2A50, \xe2\xa9\x90, CLOSED UNION WITH SERIFS AND SMASH PRODUCT
U+2A51, \xe2\xa9\x91, LOGICAL AND WITH DOT ABOVE
U+2A52, \xe2\xa9\x92, LOGICAL OR WITH DOT ABOVE
U+2A53, \xe2\xa9\x93, DOUBLE LOGICAL AND
U+2A54, \xe2\xa9\x94, DOUBLE LOGICAL OR
U+2A55, \xe2\xa9\x95, TWO INTERSECTING LOGICAL AND
U+2A56, \xe2\xa9\x96, TWO INTERSECTING LOGICAL OR
U+2A57, \xe2\xa9\x97, SLOPING LARGE OR
U+2A58, \xe2\xa9\x98, SLOPING LARGE AND
U+2A59, \xe2\xa9\x99, LOGICAL OR OVERLAPPING LOGICAL AND
U+2A5A, \xe2\xa9\x9a, LOGICAL AND WITH MIDDLE STEM
U+2A5B, \xe2\xa9\x9b, LOGICAL OR WITH MIDDLE STEM
U+2A5C, \xe2\xa9\x9c, LOGICAL AND WITH HORIZONTAL DASH
U+2A5D, \xe2\xa9\x9d, LOGICAL OR WITH HORIZONTAL DASH
U+2A5E, \xe2\xa9\x9e, LOGICAL AND WITH DOUBLE OVERBAR
U+2A5F, \xe2\xa9\x9f, LOGICAL AND WITH UNDERBAR
U+2A60, \xe2\xa9\xa0, LOGICAL AND WITH DOUBLE UNDERBAR
U+2A61, \xe2\xa9\xa1, SMALL VEE WITH UNDERBAR
U+2A62, \xe2\xa9\xa2, LOGICAL OR WITH DOUBLE OVERBAR
U+2A63, \xe2\xa9\xa3, LOGICAL OR WITH DOUBLE UNDERBAR
U+2A64, \xe2\xa9\xa4, Z NOTATION DOMAIN ANTIRESTRICTION
U+2A65, \xe2\xa9\xa5, Z NOTATION RANGE ANTIRESTRICTION
U+2A66, \xe2\xa9\xa6, EQUALS SIGN WITH DOT BELOW
U+2A67, \xe2\xa9\xa7, IDENTICAL WITH DOT ABOVE
U+2A68, \xe2\xa9\xa8, TRIPLE HORIZONTAL BAR WITH DOUBLE VERTICAL STROKE
U+2A69, \xe2\xa9\xa9, TRIPLE HORIZONTAL BAR WITH TRIPLE VERTICAL STROKE
U+2A6A, \xe2\xa9\xaa, TILDE OPERATOR WITH DOT ABOVE
U+2A6B, \xe2\xa9\xab, TILDE OPERATOR WITH RISING DOTS
U+2A6C, \xe2\xa9\xac, SIMILAR MINUS SIMILAR
U+2A6D, \xe2\xa9\xad, CONGRUENT WITH DOT ABOVE
U+2A6E, \xe2\xa9\xae, EQUALS WITH ASTERISK
U+2A6F, \xe2\xa9\xaf, ALMOST EQUAL TO WITH CIRCUMFLEX ACCENT
U+2A70, \xe2\xa9\xb0, APPROXIMATELY EQUAL OR EQUAL TO
U+2A71, \xe2\xa9\xb1, EQUALS SIGN ABOVE PLUS SIGN
U+2A72, \xe2\xa9\xb2, PLUS SIGN ABOVE EQUALS SIGN
U+2A73, \xe2\xa9\xb3, EQUALS SIGN ABOVE TILDE OPERATOR
U+2A74, \xe2\xa9\xb4, DOUBLE COLON EQUAL
U+2A75, \xe2\xa9\xb5, TWO CONSECUTIVE EQUALS SIGNS
U+2A76, \xe2\xa9\xb6, THREE CONSECUTIVE EQUALS SIGNS
U+2A77, \xe2\xa9\xb7, EQUALS SIGN WITH TWO DOTS ABOVE AND TWO DOTS BELOW
U+2A78, \xe2\xa9\xb8, EQUIVALENT WITH FOUR DOTS ABOVE
U+2A79, \xe2\xa9\xb9, LESS-THAN WITH CIRCLE INSIDE
U+2A7A, \xe2\xa9\xba, GREATER-THAN WITH CIRCLE INSIDE
U+2A7B, \xe2\xa9\xbb, LESS-THAN WITH QUESTION MARK ABOVE
U+2A7C, \xe2\xa9\xbc, GREATER-THAN WITH QUESTION MARK ABOVE
U+2A7D, \xe2\xa9\xbd, LESS-THAN OR SLANTED EQUAL TO
U+2A7E, \xe2\xa9\xbe, GREATER-THAN OR SLANTED EQUAL TO
U+2A7F, \xe2\xa9\xbf, LESS-THAN OR SLANTED EQUAL TO WITH DOT INSIDE
