# Specials
U+FFF9, \xef\xbf\xb9, INTERLINEAR ANNOTATION ANCHOR
U+FFFA, \xef\xbf\xba, INTERLINEAR ANNOTATION SEPARATOR
U+FFFB, \xef\xbf\xbb, INTERLINEAR ANNOTATION TERMINATOR
U+FFFC, \xef\xbf\xbc, OBJECT REPLACEMENT CHARACTER
U+100B5, \xf0\x90\x82\xb5, LINEAR B IDEOGRAM B173 MONTH
U+100B6, \xf0\x90\x82\xb6, LINEAR B IDEOGRAM B174
U+100B7, \xf0\x90\x82\xb7, LINEAR B IDEOGRAM B176 TREE
U+100B8, \xf0\x90\x82\xb8, LINEAR B IDEOGRAM B177
U+100B9, \xf0\x90\x82\xb9, LINEAR B IDEOGRAM B178
U+100BA, \xf0\x90\x82\xba, LINEAR B IDEOGRAM B179
U+100BB, \xf0\x90\x82\xbb, LINEAR B IDEOGRAM B180
U+100BC, \xf0\x90\x82\xbc, LINEAR B IDEOGRAM B181
U+100BD, \xf0\x90\x82\xbd, LINEAR B IDEOGRAM B182
U+100BE, \xf0\x90\x82\xbe, LINEAR B IDEOGRAM B183
U+100BF, \xf0\x90\x82\xbf, LINEAR B IDEOGRAM B184
U+100C0, \xf0\x90\x83\x80, LINEAR B IDEOGRAM B185
U+100C1, \xf0\x90\x83\x81, LINEAR B IDEOGRAM B189
U+100C2, \xf0\x90\x83\x82, LINEAR B IDEOGRAM B190
U+100C3, \xf0\x90\x83\x83, LINEAR B IDEOGRAM B191 HELMET
U+100C4, \xf0\x90\x83\x84, LINEAR B IDEOGRAM B220 FOOTSTOOL
U+100C5, \xf0\x90\x83\x85, LINEAR B IDEOGRAM B225 BATHTUB
U+100C6, \xf0\x90\x83\x86, LINEAR B IDEOGRAM B230 SPEAR
U+100C7, \xf0\x90\x83\x87, LINEAR B IDEOGRAM B231 ARROW
U+100C8, \xf0\x90\x83\x88, LINEAR B IDEOGRAM B232
U+100C9, \xf0\x90\x83\x89, LINEAR B IDEOGRAM B233 SWORD
U+100CA, \xf0\x90\x83\x8a, LINEAR B IDEOGRAM B234
U+100CB, \xf0\x90\x83\x8b, LINEAR B IDEOGRAM B236
U+100CC, \xf0\x90\x83\x8c, LINEAR B IDEOGRAM B240 WHEELED CHARIOT
U+100CD, \xf0\x90\x83\x8d, LINEAR B IDEOGRAM B241 CHARIOT
U+100CE, \xf0\x90\x83\x8e, LINEAR B IDEOGRAM B242 CHARIOT FRAME
U+100CF, \xf0\x90\x83\x8f, LINEAR B IDEOGRAM B243 WHEEL
U+100D0, \xf0\x90\x83\x90, LINEAR B IDEOGRAM B245
U+100D1, \xf0\x90\x83\x91, LINEAR B IDEOGRAM B246
U+100D2, \xf0\x90\x83\x92, LINEAR B MONOGRAM B247 DIPTE
U+100D3, \xf0\x90\x83\x93, LINEAR B IDEOGRAM B248
U+100D4, \xf0\x90\x83\x94, LINEAR B IDEOGRAM B249
U+100D5, \xf0\x90\x83\x95, LINEAR B IDEOGRAM B251
U+100D6, \xf0\x90\x83\x96, LINEAR B IDEOGRAM B252
U+100D7, \xf0\x90\x83\x97, LINEAR B IDEOGRAM B253
U+100D8, \xf0\x90\x83\x98, LINEAR B IDEOGRAM B254 DART
U+100D9, \xf0\x90\x83\x99, LINEAR B IDEOGRAM B255
U+100DA, \xf0\x90\x83\x9a, LINEAR B IDEOGRAM B256
U+100DB, \xf0\x90\x83\x9b, LINEAR B IDEOGRAM B257
U+100DC, \xf0\x90\x83\x9c, LINEAR B IDEOGRAM B258
