# Unicode Characters in the Egyptian Hieroglyphs Block
# Source: http://www.fileformat.info/info/unicode/block/egyptian_hieroglyphs/list.htm
"U+13063", "\xe1\x8c\x86\x33", "EGYPTIAN HIEROGLYPH C007 (U+13063)"
"U+13064", "\xe1\x8c\x86\x34", "EGYPTIAN HIEROGLYPH C008 (U+13064)"
"U+13065", "\xe1\x8c\x86\x35", "EGYPTIAN HIEROGLYPH C009 (U+13065)"
"U+13066", "\xe1\x8c\x86\x36", "EGYPTIAN HIEROGLYPH C010 (U+13066)"
"U+13067", "\xe1\x8c\x86\x37", "EGYPTIAN HIEROGLYPH C010A (U+13067)"
"U+13068", "\xe1\x8c\x86\x38", "EGYPTIAN HIEROGLYPH C011 (U+13068)"
"U+13069", "\xe1\x8c\x86\x39", "EGYPTIAN HIEROGLYPH C012 (U+13069)"
"U+1306A", "\xe1\x8c\x86\x41", "EGYPTIAN HIEROGLYPH C013 (U+1306A)"
"U+1306B", "\xe1\x8c\x86\x42", "EGYPTIAN HIEROGLYPH C014 (U+1306B)"
"U+1306C", "\xe1\x8c\x86\x43", "EGYPTIAN HIEROGLYPH C015 (U+1306C)"
"U+1306D", "\xe1\x8c\x86\x44", "EGYPTIAN HIEROGLYPH C016 (U+1306D)"
"U+1306E", "\xe1\x8c\x86\x45", "EGYPTIAN HIEROGLYPH C017 (U+1306E)"
"U+1306F", "\xe1\x8c\x86\x46", "EGYPTIAN HIEROGLYPH C018 (U+1306F)"
"U+13070", "\xe1\x8c\x87\x30", "EGYPTIAN HIEROGLYPH C019 (U+13070)"
"U+13071", "\xe1\x8c\x87\x31", "EGYPTIAN HIEROGLYPH C020 (U+13071)"
"U+13072", "\xe1\x8c\x87\x32", "EGYPTIAN HIEROGLYPH C021 (U+13072)"
"U+13073", "\xe1\x8c\x87\x33", "EGYPTIAN HIEROGLYPH C022 (U+13073)"
"U+13074", "\xe1\x8c\x87\x34", "EGYPTIAN HIEROGLYPH C023 (U+13074)"
"U+13075", "\xe1\x8c\x87\x35", "EGYPTIAN HIEROGLYPH C024 (U+13075)"
"U+13076", "\xe1\x8c\x87\x36", "EGYPTIAN HIEROGLYPH D001 (U+13076)"
"U+13077", "\xe1\x8c\x87\x37", "EGYPTIAN HIEROGLYPH D002 (U+13077)"
"U+13078", "\xe1\x8c\x87\x38", "EGYPTIAN HIEROGLYPH D003 (U+13078)"
"U+13079", "\xe1\x8c\x87\x39", "EGYPTIAN HIEROGLYPH D004 (U+13079)"
"U+1307A", "\xe1\x8c\x87\x41", "EGYPTIAN HIEROGLYPH D005 (U+1307A)"
"U+1307B", "\xe1\x8c\x87\x42", "EGYPTIAN HIEROGLYPH D006 (U+1307B)"
"U+1307C", "\xe1\x8c\x87\x43", "EGYPTIAN HIEROGLYPH D007 (U+1307C)"
"U+1307D", "\xe1\x8c\x87\x44", "EGYPTIAN HIEROGLYPH D008 (U+1307D)"
"U+1307E", "\xe1\x8c\x87\x45", "EGYPTIAN HIEROGLYPH D008A (U+1307E)"
"U+1307F", "\xe1\x8c\x87\x46", "EGYPTIAN HIEROGLYPH D009 (U+1307F)"
"U+13080", "\xe1\x8c\x88\x30", "EGYPTIAN HIEROGLYPH D010 (U+13080)"
"U+13081", "\xe1\x8c\x88\x31", "EGYPTIAN HIEROGLYPH D011 (U+13081)"
"U+13082", "\xe1\x8c\x88\x32", "EGYPTIAN HIEROGLYPH D012 (U+13082)"
"U+13083", "\xe1\x8c\x88\x33", "EGYPTIAN HIEROGLYPH D013 (U+13083)"
"U+13084", "\xe1\x8c\x88\x34", "EGYPTIAN HIEROGLYPH D014 (U+13084)"
"U+13085", "\xe1\x8c\x88\x35", "EGYPTIAN HIEROGLYPH D015 (U+13085)"
"U+13086", "\xe1\x8c\x88\x36", "EGYPTIAN HIEROGLYPH D016 (U+13086)"
"U+13087", "\xe1\x8c\x88\x37", "EGYPTIAN HIEROGLYPH D017 (U+13087)"
"U+13088", "\xe1\x8c\x88\x38", "EGYPTIAN HIEROGLYPH D018 (U+13088)"
"U+13089", "\xe1\x8c\x88\x39", "EGYPTIAN HIEROGLYPH D019 (U+13089)"
"U+1308A", "\xe1\x8c\x88\x41", "EGYPTIAN HIEROGLYPH D020 (U+1308A)"
"U+1308B", "\xe1\x8c\x88\x42", "EGYPTIAN HIEROGLYPH D021 (U+1308B)"
"U+1308C", "\xe1\x8c\x88\x43", "EGYPTIAN HIEROGLYPH D022 (U+1308C)"
"U+1308D", "\xe1\x8c\x88\x44", "EGYPTIAN HIEROGLYPH D023 (U+1308D)"
"U+1308E", "\xe1\x8c\x88\x45", "EGYPTIAN HIEROGLYPH D024 (U+1308E)"
"U+1308F", "\xe1\x8c\x88\x46", "EGYPTIAN HIEROGLYPH D025 (U+1308F)"
"U+13090", "\xe1\x8c\x89\x30", "EGYPTIAN HIEROGLYPH D026 (U+13090)"
"U+13091", "\xe1\x8c\x89\x31", "EGYPTIAN HIEROGLYPH D027 (U+13091)"
"U+13092", "\xe1\x8c\x89\x32", "EGYPTIAN HIEROGLYPH D027A (U+13092)"
"U+13093", "\xe1\x8c\x89\x33", "EGYPTIAN HIEROGLYPH D028 (U+13093)"
"U+13094", "\xe1\x8c\x89\x34", "EGYPTIAN HIEROGLYPH D029 (U+13094)"
"U+13095", "\xe1\x8c\x89\x35", "EGYPTIAN HIEROGLYPH D030 (U+13095)"
"U+13096", "\xe1\x8c\x89\x36", "EGYPTIAN HIEROGLYPH D031 (U+13096)"
"U+13097", "\xe1\x8c\x89\x37", "EGYPTIAN HIEROGLYPH D031A (U+13097)"
"U+13098", "\xe1\x8c\x89\x38", "EGYPTIAN HIEROGLYPH D032 (U+13098)"
"U+13099", "\xe1\x8c\x89\x39", "EGYPTIAN HIEROGLYPH D033 (U+13099)"
"U+1309A", "\xe1\x8c\x89\x41", "EGYPTIAN HIEROGLYPH D034 (U+1309A)"
"U+1309B", "\xe1\x8c\x89\x42", "EGYPTIAN HIEROGLYPH D034A (U+1309B)"
"U+1309C", "\xe1\x8c\x89\x43", "EGYPTIAN HIEROGLYPH D035 (U+1309C)"
"U+1309D", "\xe1\x8c\x89\x44", "EGYPTIAN HIEROGLYPH D036 (U+1309D)"
"U+1309E", "\xe1\x8c\x89\x45", "EGYPTIAN HIEROGLYPH D037 (U+1309E)"
"U+1309F", "\xe1\x8c\x89\x46", "EGYPTIAN HIEROGLYPH D038 (U+1309F)"
"U+130A0", "\xe1\x8c\x8a\x30", "EGYPTIAN HIEROGLYPH D039 (U+130A0)"
"U+130A1", "\xe1\x8c\x8a\x31", "EGYPTIAN HIEROGLYPH D040 (U+130A1)"
"U+130A2", "\xe1\x8c\x8a\x32", "EGYPTIAN HIEROGLYPH D041 (U+130A2)"
"U+130A3", "\xe1\x8c\x8a\x33", "EGYPTIAN HIEROGLYPH D042 (U+130A3)"
"U+130A4", "\xe1\x8c\x8a\x34", "EGYPTIAN HIEROGLYPH D043 (U+130A4)"
