# Kanbun
U+3222, \xe3\x88\xa2, PARENTHESIZED IDEOGRAPH THREE
U+3223, \xe3\x88\xa3, PARENTHESIZED IDEOGRAPH FOUR
U+3224, \xe3\x88\xa4, PARENTHESIZED IDEOGRAPH FIVE
U+3225, \xe3\x88\xa5, PARENTHESIZED IDEOGRAPH SIX
U+3226, \xe3\x88\xa6, PARENTHESIZED IDEOGRAPH SEVEN
U+3227, \xe3\x88\xa7, PARENTHESIZED IDEOGRAPH EIGHT
U+3228, \xe3\x88\xa8, PARENTHESIZED IDEOGRAPH NINE
U+3229, \xe3\x88\xa9, PARENTHESIZED IDEOGRAPH TEN
U+322A, \xe3\x88\xaa, PARENTHESIZED IDEOGRAPH MOON
U+322B, \xe3\x88\xab, PARENTHESIZED IDEOGRAPH FIRE
U+322C, \xe3\x88\xac, PARENTHESIZED IDEOGRAPH WATER
U+322D, \xe3\x88\xad, PARENTHESIZED IDEOGRAPH WOOD
U+322E, \xe3\x88\xae, PARENTHESIZED IDEOGRAPH METAL
U+322F, \xe3\x88\xaf, PARENTHESIZED IDEOGRAPH EARTH
U+3230, \xe3\x88\xb0, PARENTHESIZED IDEOGRAPH SUN
U+3231, \xe3\x88\xb1, PARENTHESIZED IDEOGRAPH STOCK
U+3232, \xe3\x88\xb2, PARENTHESIZED IDEOGRAPH HAVE
U+3233, \xe3\x88\xb3, PARENTHESIZED IDEOGRAPH SOCIETY
U+3234, \xe3\x88\xb4, PARENTHESIZED IDEOGRAPH NAME
U+3235, \xe3\x88\xb5, PARENTHESIZED IDEOGRAPH SPECIAL
U+3236, \xe3\x88\xb6, PARENTHESIZED IDEOGRAPH FINANCIAL
U+3237, \xe3\x88\xb7, PARENTHESIZED IDEOGRAPH CONGRATULATION
U+3238, \xe3\x88\xb8, PARENTHESIZED IDEOGRAPH LABOR
U+3239, \xe3\x88\xb9, PARENTHESIZED IDEOGRAPH REPRESENT
U+323A, \xe3\x88\xba, PARENTHESIZED IDEOGRAPH CALL
U+323B, \xe3\x88\xbb, PARENTHESIZED IDEOGRAPH STUDY
U+323C, \xe3\x88\xbc, PARENTHESIZED IDEOGRAPH SUPERVISE
U+323D, \xe3\x88\xbd, PARENTHESIZED IDEOGRAPH ENTERPRISE
U+323E, \xe3\x88\xbe, PARENTHESIZED IDEOGRAPH RESOURCE
