# Unicode Characters in the Miscellaneous Technical Block
# Source: http://www.fileformat.info/info/unicode/block/miscellaneous_technical/list.htm
"U+235A", "\xe2\x8d\x9a", "APL FUNCTIONAL SYMBOL DIAMOND UNDERBAR (U+235A)"
"U+235B", "\xe2\x8d\x9b", "APL FUNCTIONAL SYMBOL JOT UNDERBAR (U+235B)"
"U+235C", "\xe2\x8d\x9c", "APL FUNCTIONAL SYMBOL CIRCLE UNDERBAR (U+235C)"
"U+235D", "\xe2\x8d\x9d", "APL FUNCTIONAL SYMBOL UP SHOE JOT (U+235D)"
"U+235E", "\xe2\x8d\x9e", "APL FUNCTIONAL SYMBOL QUOTE QUAD (U+235E)"
"U+235F", "\xe2\x8d\x9f", "APL FUNCTIONAL SYMBOL CIRCLE STAR (U+235F)"
"U+2360", "\xe2\x8d\xa0", "APL FUNCTIONAL SYMBOL QUAD COLON (U+2360)"
"U+2361", "\xe2\x8d\xa1", "APL FUNCTIONAL SYMBOL UP TACK DIAERESIS (U+2361)"
"U+2362", "\xe2\x8d\xa2", "APL FUNCTIONAL SYMBOL DEL DIAERESIS (U+2362)"
"U+2363", "\xe2\x8d\xa3", "APL FUNCTIONAL SYMBOL STAR DIAERESIS (U+2363)"
"U+2364", "\xe2\x8d\xa4", "APL FUNCTIONAL SYMBOL JOT DIAERESIS (U+2364)"
"U+2365", "\xe2\x8d\xa5", "APL FUNCTIONAL SYMBOL CIRCLE DIAERESIS (U+2365)"
"U+2366", "\xe2\x8d\xa6", "APL FUNCTIONAL SYMBOL DOWN SHOE STILE (U+2366)"
"U+2367", "\xe2\x8d\xa7", "APL FUNCTIONAL SYMBOL LEFT SHOE STILE (U+2367)"
"U+2368", "\xe2\x8d\xa8", "APL FUNCTIONAL SYMBOL TILDE DIAERESIS (U+2368)"
"U+2369", "\xe2\x8d\xa9", "APL FUNCTIONAL SYMBOL GREATER-THAN DIAERESIS (U+2369)"
"U+236A", "\xe2\x8d\xaa", "APL FUNCTIONAL SYMBOL COMMA BAR (U+236A)"
"U+236B", "\xe2\x8d\xab", "APL FUNCTIONAL SYMBOL DEL TILDE (U+236B)"
"U+236C", "\xe2\x8d\xac", "APL FUNCTIONAL SYMBOL ZILDE (U+236C)"
"U+236D", "\xe2\x8d\xad", "APL FUNCTIONAL SYMBOL STILE TILDE (U+236D)"
"U+236E", "\xe2\x8d\xae", "APL FUNCTIONAL SYMBOL SEMICOLON UNDERBAR (U+236E)"
"U+236F", "\xe2\x8d\xaf", "APL FUNCTIONAL SYMBOL QUAD NOT EQUAL (U+236F)"
"U+2370", "\xe2\x8d\xb0", "APL FUNCTIONAL SYMBOL QUAD QUESTION (U+2370)"
"U+2371", "\xe2\x8d\xb1", "APL FUNCTIONAL SYMBOL DOWN CARET TILDE (U+2371)"
"U+2372", "\xe2\x8d\xb2", "APL FUNCTIONAL SYMBOL UP CARET TILDE (U+2372)"
"U+2373", "\xe2\x8d\xb3", "APL FUNCTIONAL SYMBOL IOTA (U+2373)"
"U+2374", "\xe2\x8d\xb4", "APL FUNCTIONAL SYMBOL RHO (U+2374)"
"U+2375", "\xe2\x8d\xb5", "APL FUNCTIONAL SYMBOL OMEGA (U+2375)"
"U+2376", "\xe2\x8d\xb6", "APL FUNCTIONAL SYMBOL ALPHA UNDERBAR (U+2376)"
"U+2377", "\xe2\x8d\xb7", "APL FUNCTIONAL SYMBOL EPSILON UNDERBAR (U+2377)"
"U+2378", "\xe2\x8d\xb8", "APL FUNCTIONAL SYMBOL IOTA UNDERBAR (U+2378)"
"U+2379", "\xe2\x8d\xb9", "APL FUNCTIONAL SYMBOL OMEGA UNDERBAR (U+2379)"
"U+237A", "\xe2\x8d\xba", "APL FUNCTIONAL SYMBOL ALPHA (U+237A)"
"U+237B", "\xe2\x8d\xbb", "NOT CHECK MARK (U+237B)"
"U+237C", "\xe2\x8d\xbc", "RIGHT ANGLE WITH DOWNWARDS ZIGZAG ARROW (U+237C)"
"U+237D", "\xe2\x8d\xbd", "SHOULDERED OPEN BOX (U+237D)"
"U+237E", "\xe2\x8d\xbe", "BELL SYMBOL (U+237E)"
"U+237F", "\xe2\x8d\xbf", "VERTICAL LINE WITH MIDDLE DOT (U+237F)"
"U+2380", "\xe2\x8e\x80", "INSERTION SYMBOL (U+2380)"
"U+2381", "\xe2\x8e\x81", "CONTINUOUS UNDERLINE SYMBOL (U+2381)"
"U+2382", "\xe2\x8e\x82", "DISCONTINUOUS UNDERLINE SYMBOL (U+2382)"
