# Hangul Compatibility Jamo
U+31C4, \xe3\x87\x84, CJK STROKE SW
U+31C5, \xe3\x87\x85, CJK STROKE HZZ
U+31C6, \xe3\x87\x86, CJK STROKE HZG
U+31C7, \xe3\x87\x87, CJK STROKE HP
U+31C8, \xe3\x87\x88, CJK STROKE HZWG
U+31C9, \xe3\x87\x89, CJK STROKE SZWG
U+31CA, \xe3\x87\x8a, CJK STROKE HZT
U+31CB, \xe3\x87\x8b, CJK STROKE HZZP
U+31CC, \xe3\x87\x8c, CJK STROKE HPWG
U+31CD, \xe3\x87\x8d, CJK STROKE HZW
U+31CE, \xe3\x87\x8e, CJK STROKE HZZZ
U+31CF, \xe3\x87\x8f, CJK STROKE N
U+31D0, \xe3\x87\x90, CJK STROKE H
U+31D1, \xe3\x87\x91, CJK STROKE S
U+31D2, \xe3\x87\x92, CJK STROKE P
U+31D3, \xe3\x87\x93, CJK STROKE SP
U+31D4, \xe3\x87\x94, CJK STROKE D
U+31D5, \xe3\x87\x95, CJK STROKE HZ
U+31D6, \xe3\x87\x96, CJK STROKE HG
U+31D7, \xe3\x87\x97, CJK STROKE SZ
U+31D8, \xe3\x87\x98, CJK STROKE SWZ
U+31D9, \xe3\x87\x99, CJK STROKE ST
U+31DA, \xe3\x87\x9a, CJK STROKE SG
U+31DB, \xe3\x87\x9b, CJK STROKE PD
U+31DC, \xe3\x87\x9c, CJK STROKE PZ
U+31DD, \xe3\x87\x9d, CJK STROKE TN
U+31DE, \xe3\x87\x9e, CJK STROKE SZZ
U+31DF, \xe3\x87\x9f, CJK STROKE SWG
U+31E0, \xe3\x87\xa0, CJK STROKE HXWG
U+31E1, \xe3\x87\xa1, CJK STROKE HZZZG
U+31E2, \xe3\x87\xa2, CJK STROKE PG
U+31E3, \xe3\x87\xa3, CJK STROKE Q
U+31F0, \xe3\x87\xb0, KATAKANA LETTER SMALL KU
U+31F1, \xe3\x87\xb1, KATAKANA LETTER SMALL SI
U+31F2, \xe3\x87\xb2, KATAKANA LETTER SMALL SU
U+31F3, \xe3\x87\xb3, KATAKANA LETTER SMALL TO
U+31F4, \xe3\x87\xb4, KATAKANA LETTER SMALL NU
U+31F5, \xe3\x87\xb5, KATAKANA LETTER SMALL HA
U+31F6, \xe3\x87\xb6, KATAKANA LETTER SMALL HI
U+31F7, \xe3\x87\xb7, KATAKANA LETTER SMALL HU
U+31F8, \xe3\x87\xb8, KATAKANA LETTER SMALL HE
U+31F9, \xe3\x87\xb9, KATAKANA LETTER SMALL HO
U+31FA, \xe3\x87\xba, KATAKANA LETTER SMALL MU
U+31FB, \xe3\x87\xbb, KATAKANA LETTER SMALL RA
U+31FC, \xe3\x87\xbc, KATAKANA LETTER SMALL RI
U+31FD, \xe3\x87\xbd, KATAKANA LETTER SMALL RU
U+31FE, \xe3\x87\xbe, KATAKANA LETTER SMALL RE
U+31FF, \xe3\x87\xbf, KATAKANA LETTER SMALL RO
U+3200, \xe3\x88\x80, PARENTHESIZED HANGUL KIYEOK
U+3201, \xe3\x88\x81, PARENTHESIZED HANGUL NIEUN
U+3202, \xe3\x88\x82, PARENTHESIZED HANGUL TIKEUT
U+3203, \xe3\x88\x83, PARENTHESIZED HANGUL RIEUL
U+3204, \xe3\x88\x84, PARENTHESIZED HANGUL MIEUM
U+3205, \xe3\x88\x85, PARENTHESIZED HANGUL PIEUP
U+3206, \xe3\x88\x86, PARENTHESIZED HANGUL SIOS
U+3207, \xe3\x88\x87, PARENTHESIZED HANGUL IEUNG
U+3208, \xe3\x88\x88, PARENTHESIZED HANGUL CIEUC
U+3209, \xe3\x88\x89, PARENTHESIZED HANGUL CHIEUCH
U+320A, \xe3\x88\x8a, PARENTHESIZED HANGUL KHIEUKH
U+320B, \xe3\x88\x8b, PARENTHESIZED HANGUL THIEUTH
U+320C, \xe3\x88\x8c, PARENTHESIZED HANGUL PHIEUPH
U+320D, \xe3\x88\x8d, PARENTHESIZED HANGUL HIEUH
U+320E, \xe3\x88\x8e, PARENTHESIZED HANGUL KIYEOK A
U+320F, \xe3\x88\x8f, PARENTHESIZED HANGUL NIEUN A
U+3210, \xe3\x88\x90, PARENTHESIZED HANGUL TIKEUT A
U+3211, \xe3\x88\x91, PARENTHESIZED HANGUL RIEUL A
U+3212, \xe3\x88\x92, PARENTHESIZED HANGUL MIEUM A
U+3213, \xe3\x88\x93, PARENTHESIZED HANGUL PIEUP A
U+3214, \xe3\x88\x94, PARENTHESIZED HANGUL SIOS A
U+3215, \xe3\x88\x95, PARENTHESIZED HANGUL IEUNG A
U+3216, \xe3\x88\x96, PARENTHESIZED HANGUL CIEUC A
U+3217, \xe3\x88\x97, PARENTHESIZED HANGUL CHIEUCH A
U+3218, \xe3\x88\x98, PARENTHESIZED HANGUL KHIEUKH A
U+3219, \xe3\x88\x99, PARENTHESIZED HANGUL THIEUTH A
U+321A, \xe3\x88\x9a, PARENTHESIZED HANGUL PHIEUPH A
U+321B, \xe3\x88\x9b, PARENTHESIZED HANGUL HIEUH A
U+321C, \xe3\x88\x9c, PARENTHESIZED HANGUL CIEUC U
U+321D, \xe3\x88\x9d, PARENTHESIZED KOREAN CHARACTER OJEON
U+321E, \xe3\x88\x9e, PARENTHESIZED KOREAN CHARACTER O HU
U+3220, \xe3\x88\xa0, PARENTHESIZED IDEOGRAPH ONE
U+3221, \xe3\x88\xa1, PARENTHESIZED IDEOGRAPH TWO
U+3222, \xe3\x88\xa2, PARENTHESIZED IDEOGRAPH THREE
U+3223, \xe3\x88\xa3, PARENTHESIZED IDEOGRAPH FOUR
U+3224, \xe3\x88\xa4, PARENTHESIZED IDEOGRAPH FIVE
U+3225, \xe3\x88\xa5, PARENTHESIZED IDEOGRAPH SIX
U+3226, \xe3\x88\xa6, PARENTHESIZED IDEOGRAPH SEVEN
U+3227, \xe3\x88\xa7, PARENTHESIZED IDEOGRAPH EIGHT
U+3228, \xe3\x88\xa8, PARENTHESIZED IDEOGRAPH NINE
U+3229, \xe3\x88\xa9, PARENTHESIZED IDEOGRAPH TEN
U+322A, \xe3\x88\xaa, PARENTHESIZED IDEOGRAPH MOON
U+322B, \xe3\x88\xab, PARENTHESIZED IDEOGRAPH FIRE
U+322C, \xe3\x88\xac, PARENTHESIZED IDEOGRAPH WATER
U+322D, \xe3\x88\xad, PARENTHESIZED IDEOGRAPH WOOD
U+322E, \xe3\x88\xae, PARENTHESIZED IDEOGRAPH METAL
U+322F, \xe3\x88\xaf, PARENTHESIZED IDEOGRAPH EARTH
