# Unicode Characters in the Yi Syllables Block
# Source: http://www.fileformat.info/info/unicode/block/yi_syllables/list.htm
"U+A07F", "\xea\x81\xbf", "YI SYLLABLE NBA (U+A07F)"
"U+A080", "\xea\x82\x80", "YI SYLLABLE NBAP (U+A080)"
"U+A081", "\xea\x82\x81", "YI SYLLABLE NBOT (U+A081)"
"U+A082", "\xea\x82\x82", "YI SYLLABLE NBOX (U+A082)"
"U+A083", "\xea\x82\x83", "YI SYLLABLE NBO (U+A083)"
"U+A084", "\xea\x82\x84", "YI SYLLABLE NBOP (U+A084)"
"U+A085", "\xea\x82\x85", "YI SYLLABLE NBUT (U+A085)"
"U+A086", "\xea\x82\x86", "YI SYLLABLE NBUX (U+A086)"
"U+A087", "\xea\x82\x87", "YI SYLLABLE NBU (U+A087)"
"U+A088", "\xea\x82\x88", "YI SYLLABLE NBUP (U+A088)"
"U+A089", "\xea\x82\x89", "YI SYLLABLE NBURX (U+A089)"
"U+A08A", "\xea\x82\x8a", "YI SYLLABLE NBUR (U+A08A)"
"U+A08B", "\xea\x82\x8b", "YI SYLLABLE NBYT (U+A08B)"
"U+A08C", "\xea\x82\x8c", "YI SYLLABLE NBYX (U+A08C)"
"U+A08D", "\xea\x82\x8d", "YI SYLLABLE NBY (U+A08D)"
"U+A08E", "\xea\x82\x8e", "YI SYLLABLE NBYP (U+A08E)"
"U+A08F", "\xea\x82\x8f", "YI SYLLABLE NBYRX (U+A08F)"
"U+A090", "\xea\x82\x90", "YI SYLLABLE NBYR (U+A090)"
"U+A091", "\xea\x82\x91", "YI SYLLABLE HMIT (U+A091)"
"U+A092", "\xea\x82\x92", "YI SYLLABLE HMIX (U+A092)"
"U+A093", "\xea\x82\x93", "YI SYLLABLE HMI (U+A093)"
"U+A094", "\xea\x82\x94", "YI SYLLABLE HMIP (U+A094)"
"U+A095", "\xea\x82\x95", "YI SYLLABLE HMIEX (U+A095)"
"U+A096", "\xea\x82\x96", "YI SYLLABLE HMIE (U+A096)"
"U+A097", "\xea\x82\x97", "YI SYLLABLE HMIEP (U+A097)"
"U+A098", "\xea\x82\x98", "YI SYLLABLE HMAT (U+A098)"
"U+A099", "\xea\x82\x99", "YI SYLLABLE HMAX (U+A099)"
"U+A09A", "\xea\x82\x9a", "YI SYLLABLE HMA (U+A09A)"
"U+A09B", "\xea\x82\x9b", "YI SYLLABLE HMAP (U+A09B)"
"U+A09C", "\xea\x82\x9c", "YI SYLLABLE HMUOX (U+A09C)"
"U+A09D", "\xea\x82\x9d", "YI SYLLABLE HMUO (U+A09D)"
"U+A09E", "\xea\x82\x9e", "YI SYLLABLE HMUOP (U+A09E)"
"U+A09F", "\xea\x82\x9f", "YI SYLLABLE HMOT (U+A09F)"
"U+A0A0", "\xea\x82\xa0", "YI SYLLABLE HMOX (U+A0A0)"
"U+A0A1", "\xea\x82\xa1", "YI SYLLABLE HMO (U+A0A1)"
"U+A0A2", "\xea\x82\xa2", "YI SYLLABLE HMOP (U+A0A2)"
"U+A0A3", "\xea\x82\xa3", "YI SYLLABLE HMUT (U+A0A3)"
"U+A0A4", "\xea\x82\xa4", "YI SYLLABLE HMUX (U+A0A4)"
"U+A0A5", "\xea\x82\xa5", "YI SYLLABLE HMU (U+A0A5)"
"U+A0A6", "\xea\x82\xa6", "YI SYLLABLE HMUP (U+A0A6)"
"U+A0A7", "\xea\x82\xa7", "YI SYLLABLE HMURX (U+A0A7)"
"U+A0A8", "\xea\x82\xa8", "YI SYLLABLE HMUR (U+A0A8)"
"U+A0A9", "\xea\x82\xa9", "YI SYLLABLE HMYX (U+A0A9)"
"U+A0AA", "\xea\x82\xaa", "YI SYLLABLE HMY (U+A0AA)"
"U+A0AB", "\xea\x82\xab", "YI SYLLABLE HMYP (U+A0AB)"
"U+A0AC", "\xea\x82\xac", "YI SYLLABLE HMYRX (U+A0AC)"
"U+A0AD", "\xea\x82\xad", "YI SYLLABLE HMYR (U+A0AD)"
"U+A0AE", "\xea\x82\xae", "YI SYLLABLE MIT (U+A0AE)"
"U+A0AF", "\xea\x82\xaf", "YI SYLLABLE MIX (U+A0AF)"
