# Unicode Characters in the Ethiopic Block
# Source: http://www.fileformat.info/info/unicode/block/ethiopic/list.htm
"U+1263", "\xe1\x89\xa3", "ETHIOPIC SYLLABLE BAA (U+1263)"
"U+1264", "\xe1\x89\xa4", "ETHIOPIC SYLLABLE BEE (U+1264)"
"U+1265", "\xe1\x89\xa5", "ETHIOPIC SYLLABLE BE (U+1265)"
"U+1266", "\xe1\x89\xa6", "ETHIOPIC SYLLABLE BO (U+1266)"
"U+1267", "\xe1\x89\xa7", "ETHIOPIC SYLLABLE BWA (U+1267)"
"U+1268", "\xe1\x89\xa8", "ETHIOPIC SYLLABLE VA (U+1268)"
"U+1269", "\xe1\x89\xa9", "ETHIOPIC SYLLABLE VU (U+1269)"
"U+126A", "\xe1\x89\xaa", "ETHIOPIC SYLLABLE VI (U+126A)"
"U+126B", "\xe1\x89\xab", "ETHIOPIC SYLLABLE VAA (U+126B)"
"U+126C", "\xe1\x89\xac", "ETHIOPIC SYLLABLE VEE (U+126C)"
"U+126D", "\xe1\x89\xad", "ETHIOPIC SYLLABLE VE (U+126D)"
"U+126E", "\xe1\x89\xae", "ETHIOPIC SYLLABLE VO (U+126E)"
"U+126F", "\xe1\x89\xaf", "ETHIOPIC SYLLABLE VWA (U+126F)"
"U+1270", "\xe1\x89\xb0", "ETHIOPIC SYLLABLE TA (U+1270)"
"U+1271", "\xe1\x89\xb1", "ETHIOPIC SYLLABLE TU (U+1271)"
"U+1272", "\xe1\x89\xb2", "ETHIOPIC SYLLABLE TI (U+1272)"
"U+1273", "\xe1\x89\xb3", "ETHIOPIC SYLLABLE TAA (U+1273)"
"U+1274", "\xe1\x89\xb4", "ETHIOPIC SYLLABLE TEE (U+1274)"
"U+1275", "\xe1\x89\xb5", "ETHIOPIC SYLLABLE TE (U+1275)"
"U+1276", "\xe1\x89\xb6", "ETHIOPIC SYLLABLE TO (U+1276)"
"U+1277", "\xe1\x89\xb7", "ETHIOPIC SYLLABLE TWA (U+1277)"
"U+1278", "\xe1\x89\xb8", "ETHIOPIC SYLLABLE CA (U+1278)"
"U+1279", "\xe1\x89\xb9", "ETHIOPIC SYLLABLE CU (U+1279)"
"U+127A", "\xe1\x89\xba", "ETHIOPIC SYLLABLE CI (U+127A)"
"U+127B", "\xe1\x89\xbb", "ETHIOPIC SYLLABLE CAA (U+127B)"
"U+127C", "\xe1\x89\xbc", "ETHIOPIC SYLLABLE CEE (U+127C)"
"U+127D", "\xe1\x89\xbd", "ETHIOPIC SYLLABLE CE (U+127D)"
"U+127E", "\xe1\x89\xbe", "ETHIOPIC SYLLABLE CO (U+127E)"
"U+127F", "\xe1\x89\xbf", "ETHIOPIC SYLLABLE CWA (U+127F)"
