# Balinese
U+1B3D, \xe1\xac\xbd, BALINESE VOWEL SIGN LA LENGA TEDUNG
U+1B3E, \xe1\xac\xbe, BALINESE VOWEL SIGN TALING
U+1B3F, \xe1\xac\xbf, BALINESE VOWEL SIGN TALING REPA
U+1B40, \xe1\xad\x80, BALINESE VOWEL SIGN TALING TEDUNG
U+1B41, \xe1\xad\x81, BALINESE VOWEL SIGN TALING REPA TEDUNG
U+1B42, \xe1\xad\x82, BALINESE VOWEL SIGN PEPET
U+1B43, \xe1\xad\x83, BALINESE VOWEL SIGN PEPET TEDUNG
U+1B44, \xe1\xad\x84, BALINESE ADEG ADEG
U+1B45, \xe1\xad\x85, BALINESE LETTER KAF SASAK
U+1B46, \xe1\xad\x86, BALINESE LETTER KHOT SASAK
U+1B47, \xe1\xad\x87, BALINESE LETTER TZIR SASAK
U+1B48, \xe1\xad\x88, BALINESE LETTER EF SASAK
U+1B49, \xe1\xad\x89, BALINESE LETTER VE SASAK
U+1B4A, \xe1\xad\x8a, BALINESE LETTER ZAL SASAK
U+1B4B, \xe1\xad\x8b, BALINESE LETTER ASYURA SASAK
U+1B50, \xe1\xad\x90, BALINESE DIGIT ZERO
U+1B51, \xe1\xad\x91, BALINESE DIGIT ONE
U+1B52, \xe1\xad\x92, BALINESE DIGIT TWO
U+1B53, \xe1\xad\x93, BALINESE DIGIT THREE
U+1B54, \xe1\xad\x94, BALINESE DIGIT FOUR
U+1B55, \xe1\xad\x95, BALINESE DIGIT FIVE
U+1B56, \xe1\xad\x96, BALINESE DIGIT SIX
U+1B57, \xe1\xad\x97, BALINESE DIGIT SEVEN
U+1B58, \xe1\xad\x98, BALINESE DIGIT EIGHT
U+1B59, \xe1\xad\x99, BALINESE DIGIT NINE
U+1B5A, \xe1\xad\x9a, BALINESE PANTI
U+1B5B, \xe1\xad\x9b, BALINESE PAMADA
U+1B5C, \xe1\xad\x9c, BALINESE WINDU
U+1B5D, \xe1\xad\x9d, BALINESE CARIK PAMUNGKAH
