# Unicode Characters in the Myanmar Block
# Source: http://www.fileformat.info/info/unicode/block/myanmar/list.htm
"U+1000", "\xe1\x80\x80", "MYANMAR LETTER KA (U+1000)"
"U+103E", "\xe1\x80\xbe", "MYANMAR CONSONANT SIGN MEDIAL HA (U+103E)"
"U+103F", "\xe1\x80\xbf", "MYANMAR LETTER GREAT SA (U+103F)"
"U+1040", "\xe1\x81\x80", "MYANMAR DIGIT ZERO (U+1040)"
"U+1041", "\xe1\x81\x81", "MYANMAR DIGIT ONE (U+1041)"
"U+1042", "\xe1\x81\x82", "MYANMAR DIGIT TWO (U+1042)"
"U+1043", "\xe1\x81\x83", "MYANMAR DIGIT THREE (U+1043)"
"U+1044", "\xe1\x81\x84", "MYANMAR DIGIT FOUR (U+1044)"
"U+1045", "\xe1\x81\x85", "MYANMAR DIGIT FIVE (U+1045)"
"U+1046", "\xe1\x81\x86", "MYANMAR DIGIT SIX (U+1046)"
"U+1047", "\xe1\x81\x87", "MYANMAR DIGIT SEVEN (U+1047)"
"U+1048", "\xe1\x81\x88", "MYANMAR DIGIT EIGHT (U+1048)"
"U+1049", "\xe1\x81\x89", "MYANMAR DIGIT NINE (U+1049)"
"U+104A", "\xe1\x81\x8a", "MYANMAR SIGN LITTLE SECTION (U+104A)"
"U+104B", "\xe1\x81\x8b", "MYANMAR SIGN SECTION (U+104B)"
"U+104C", "\xe1\x81\x8c", "MYANMAR SYMBOL LOCATIVE (U+104C)"
"U+104D", "\xe1\x81\x8d", "MYANMAR SYMBOL COMPLETED (U+104D)"
"U+104E", "\xe1\x81\x8e", "MYANMAR SYMBOL AFOREMENTIONED (U+104E)"
"U+104F", "\xe1\x81\x8f", "MYANMAR SYMBOL GENITIVE (U+104F)"
"U+1050", "\xe1\x81\x90", "MYANMAR LETTER SHA (U+1050)"
"U+1051", "\xe1\x81\x91", "MYANMAR LETTER SSA (U+1051)"
"U+1052", "\xe1\x81\x92", "MYANMAR LETTER VOCALIC R (U+1052)"
"U+1053", "\xe1\x81\x93", "MYANMAR LETTER VOCALIC RR (U+1053)"
"U+1054", "\xe1\x81\x94", "MYANMAR LETTER VOCALIC L (U+1054)"
"U+1055", "\xe1\x81\x95", "MYANMAR LETTER VOCALIC LL (U+1055)"
"U+1056", "\xe1\x81\x96", "MYANMAR VOWEL SIGN VOCALIC R (U+1056)"
"U+1057", "\xe1\x81\x97", "MYANMAR VOWEL SIGN VOCALIC RR (U+1057)"
"U+1058", "\xe1\x81\x98", "MYANMAR VOWEL SIGN VOCALIC L (U+1058)"
"U+1059", "\xe1\x81\x99", "MYANMAR VOWEL SIGN VOCALIC LL (U+1059)"
"U+105A", "\xe1\x81\x9a", "MYANMAR LETTER MON NGA (U+105A)"
"U+105B", "\xe1\x81\x9b", "MYANMAR LETTER MON JHA (U+105B)"
"U+105C", "\xe1\x81\x9c", "MYANMAR LETTER MON BBA (U+105C)"
"U+105D", "\xe1\x81\x9d", "MYANMAR LETTER MON BBE (U+105D)"
"U+105E", "\xe1\x81\x9e", "MYANMAR CONSONANT SIGN MON MEDIAL NA (U+105E)"
"U+105F", "\xe1\x81\x9f", "MYANMAR CONSONANT SIGN MON MEDIAL MA (U+105F)"
"U+1060", "\xe1\x81\xa0", "MYANMAR CONSONANT SIGN MON MEDIAL LA (U+1060)"
"U+1061", "\xe1\x81\xa1", "MYANMAR LETTER SGAW KAREN SHA (U+1061)"
"U+1062", "\xe1\x81\xa2", "MYANMAR VOWEL SIGN SGAW KAREN EU (U+1062)"
"U+1063", "\xe1\x81\xa3", "MYANMAR TONE MARK SGAW KAREN HATHI (U+1063)"
"U+1064", "\xe1\x81\xa4", "MYANMAR TONE MARK SGAW KAREN KE PHO (U+1064)"
"U+1065", "\xe1\x81\xa5", "MYANMAR LETTER WESTERN PWO KAREN THA (U+1065)"
"U+1066", "\xe1\x81\xa6", "MYANMAR LETTER WESTERN PWO KAREN PWA (U+1066)"
"U+1067", "\xe1\x81\xa7", "MYANMAR VOWEL SIGN WESTERN PWO KAREN EU (U+1067)"
"U+1068", "\xe1\x81\xa8", "MYANMAR VOWEL SIGN WESTERN PWO KAREN UE (U+1068)"
"U+1069", "\xe1\x81\xa9", "MYANMAR SIGN WESTERN PWO KAREN TONE-1 (U+1069)"
"U+106A", "\xe1\x81\xaa", "MYANMAR SIGN WESTERN PWO KAREN TONE-2 (U+106A)"
"U+106B", "\xe1\x81\xab", "MYANMAR SIGN WESTERN PWO KAREN TONE-3 (U+106B)"
"U+106C", "\xe1\x81\xac", "MYANMAR SIGN WESTERN PWO KAREN TONE-4 (U+106C)"
"U+106D", "\xe1\x81\xad", "MYANMAR SIGN WESTERN PWO KAREN TONE-5 (U+106D)"
"U+106E", "\xe1\x81\xae", "MYANMAR LETTER EASTERN PWO KAREN NNA (U+106E)"
"U+106F", "\xe1\x81\xaf", "MYANMAR LETTER EASTERN PWO KAREN YWA (U+106F)"
"U+1070", "\xe1\x81\xb0", "MYANMAR LETTER EASTERN PWO KAREN GHWA (U+1070)"
"U+1071", "\xe1\x81\xb1", "MYANMAR VOWEL SIGN GEBA KAREN I (U+1071)"
"U+1072", "\xe1\x81\xb2", "MYANMAR VOWEL SIGN KAYAH OE (U+1072)"
"U+1073", "\xe1\x81\xb3", "MYANMAR VOWEL SIGN KAYAH U (U+1073)"
"U+1074", "\xe1\x81\xb4", "MYANMAR VOWEL SIGN KAYAH EE (U+1074)"
"U+1075", "\xe1\x81\xb5", "MYANMAR LETTER SHAN KA (U+1075)"
"U+1076", "\xe1\x81\xb6", "MYANMAR LETTER SHAN KHA (U+1076)"
"U+1077", "\xe1\x81\xb7", "MYANMAR LETTER SHAN GA (U+1077)"
"U+1078", "\xe1\x81\xb8", "MYANMAR LETTER SHAN CA (U+1078)"
"U+1079", "\xe1\x81\xb9", "MYANMAR LETTER SHAN ZA (U+1079)"
"U+107A", "\xe1\x81\xba", "MYANMAR LETTER SHAN NYA (U+107A)"
"U+107B", "\xe1\x81\xbb", "MYANMAR LETTER SHAN DA (U+107B)"
"U+107C", "\xe1\x81\xbc", "MYANMAR LETTER SHAN NA (U+107C)"
"U+107D", "\xe1\x81\xbd", "MYANMAR LETTER SHAN PHA (U+107D)"
"U+107E", "\xe1\x81\xbe", "MYANMAR LETTER SHAN FA (U+107E)"
"U+107F", "\xe1\x81\xbf", "MYANMAR LETTER SHAN BA (U+107F)"
"U+1080", "\xe1\x82\x80", "MYANMAR LETTER SHAN THA (U+1080)"
"U+1081", "\xe1\x82\x81", "MYANMAR LETTER SHAN HA (U+1081)"
"U+1082", "\xe1\x82\x82", "MYANMAR CONSONANT SIGN SHAN MEDIAL WA (U+1082)"
"U+1083", "\xe1\x82\x83", "MYANMAR VOWEL SIGN SHAN AA (U+1083)"
"U+1084", "\xe1\x82\x84", "MYANMAR VOWEL SIGN SHAN E (U+1084)"
"U+1085", "\xe1\x82\x85", "MYANMAR VOWEL SIGN SHAN E ABOVE (U+1085)"
"U+1086", "\xe1\x82\x86", "MYANMAR VOWEL SIGN SHAN FINAL Y (U+1086)"
"U+1087", "\xe1\x82\x87", "MYANMAR SIGN SHAN TONE-2 (U+1087)"
"U+1088", "\xe1\x82\x88", "MYANMAR SIGN SHAN TONE-3 (U+1088)"
"U+1089", "\xe1\x82\x89", "MYANMAR SIGN SHAN TONE-5 (U+1089)"
"U+108A", "\xe1\x82\x8a", "MYANMAR SIGN SHAN TONE-6 (U+108A)"
"U+108B", "\xe1\x82\x8b", "MYANMAR SIGN SHAN COUNCIL TONE-2 (U+108B)"
"U+108C", "\xe1\x82\x8c", "MYANMAR SIGN SHAN COUNCIL TONE-3 (U+108C)"
"U+108D", "\xe1\x82\x8d", "MYANMAR SIGN SHAN COUNCIL EMPHATIC TONE (U+108D)"
"U+108E", "\xe1\x82\x8e", "MYANMAR LETTER RUMAI PALAUNG FA (U+108E)"
"U+108F", "\xe1\x82\x8f", "MYANMAR SIGN RUMAI PALAUNG TONE-5 (U+108F)"
"U+1090", "\xe1\x82\x90", "MYANMAR SHAN DIGIT ZERO (U+1090)"
"U+1091", "\xe1\x82\x91", "MYANMAR SHAN DIGIT ONE (U+1091)"
"U+1092", "\xe1\x82\x92", "MYANMAR SHAN DIGIT TWO (U+1092)"
"U+1093", "\xe1\x82\x93", "MYANMAR SHAN DIGIT THREE (U+1093)"
"U+1094", "\xe1\x82\x94", "MYANMAR SHAN DIGIT FOUR (U+1094)"
"U+1095", "\xe1\x82\x95", "MYANMAR SHAN DIGIT FIVE (U+1095)"
"U+1096", "\xe1\x82\x96", "MYANMAR SHAN DIGIT SIX (U+1096)"
"U+1097", "\xe1\x82\x97", "MYANMAR SHAN DIGIT SEVEN (U+1097)"
"U+1098", "\xe1\x82\x98", "MYANMAR SHAN DIGIT EIGHT (U+1098)"
"U+1099", "\xe1\x82\x99", "MYANMAR SHAN DIGIT NINE (U+1099)"
"U+109A", "\xe1\x82\x9a", "MYANMAR SIGN KHAMTI TONE-1 (U+109A)"
"U+109B", "\xe1\x82\x9b", "MYANMAR SIGN KHAMTI TONE-3 (U+109B)"
"U+109C", "\xe1\x82\x9c", "MYANMAR VOWEL SIGN AITON A (U+109C)"
"U+109D", "\xe1\x82\x9d", "MYANMAR VOWEL SIGN AITON AI (U+109D)"
"U+109E", "\xe1\x82\x9e", "MYANMAR SYMBOL SHAN ONE (U+109E)"
"U+109F", "\xe1\x82\x9f", "MYANMAR SYMBOL SHAN EXCLAMATION (U+109F)"
