# Unicode Characters in the Halfwidth and Fullwidth Forms Block
# Source: http://www.fileformat.info/info/unicode/block/halfwidth_and_fullwidth_forms/list.htm
"U+FF68", "\xef\xbd\xa8", "HALFWIDTH KATAKANA LETTER SMALL I (U+FF68)"
"U+FF69", "\xef\xbd\xa9", "HALFWIDTH KATAKANA LETTER SMALL U (U+FF69)"
"U+FF6A", "\xef\xbd\xaa", "HALFWIDTH KATAKANA LETTER SMALL E (U+FF6A)"
"U+FF6B", "\xef\xbd\xab", "HALFWIDTH KATAKANA LETTER SMALL O (U+FF6B)"
"U+FF6C", "\xef\xbd\xac", "HALFWIDTH KATAKANA LETTER SMALL YA (U+FF6C)"
"U+FF6D", "\xef\xbd\xad", "HALFWIDTH KATAKANA LETTER SMALL YU (U+FF6D)"
"U+FF6E", "\xef\xbd\xae", "HALFWIDTH KATAKANA LETTER SMALL YO (U+FF6E)"
"U+FF6F", "\xef\xbd\xaf", "HALFWIDTH KATAKANA LETTER SMALL TU (U+FF6F)"
"U+FF70", "\xef\xbd\xb0", "HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK (U+FF70)"
"U+FF71", "\xef\xbd\xb1", "HALFWIDTH KATAKANA LETTER A (U+FF71)"
"U+FF72", "\xef\xbd\xb2", "HALFWIDTH KATAKANA LETTER I (U+FF72)"
"U+FF73", "\xef\xbd\xb3", "HALFWIDTH KATAKANA LETTER U (U+FF73)"
"U+FF74", "\xef\xbd\xb4", "HALFWIDTH KATAKANA LETTER E (U+FF74)"
"U+FF75", "\xef\xbd\xb5", "HALFWIDTH KATAKANA LETTER O (U+FF75)"
"U+FF76", "\xef\xbd\xb6", "HALFWIDTH KATAKANA LETTER KA (U+FF76)"
"U+FF77", "\xef\xbd\xb7", "HALFWIDTH KATAKANA LETTER KI (U+FF77)"
"U+FF78", "\xef\xbd\xb8", "HALFWIDTH KATAKANA LETTER KU (U+FF78)"
"U+FF79", "\xef\xbd\xb9", "HALFWIDTH KATAKANA LETTER KE (U+FF79)"
"U+FF7A", "\xef\xbd\xba", "HALFWIDTH KATAKANA LETTER KO (U+FF7A)"
"U+FF7B", "\xef\xbd\xbb", "HALFWIDTH KATAKANA LETTER SA (U+FF7B)"
"U+FF7C", "\xef\xbd\xbc", "HALFWIDTH KATAKANA LETTER SI (U+FF7C)"
"U+FF7D", "\xef\xbd\xbd", "HALFWIDTH KATAKANA LETTER SU (U+FF7D)"
"U+FF7E", "\xef\xbd\xbe", "HALFWIDTH KATAKANA LETTER SE (U+FF7E)"
"U+FF7F", "\xef\xbd\xbf", "HALFWIDTH KATAKANA LETTER SO (U+FF7F)"
"U+FF80", "\xef\xbe\x80", "HALFWIDTH KATAKANA LETTER TA (U+FF80)"
"U+FF81", "\xef\xbe\x81", "HALFWIDTH KATAKANA LETTER TI (U+FF81)"
"U+FF82", "\xef\xbe\x82", "HALFWIDTH KATAKANA LETTER TU (U+FF82)"
"U+FF83", "\xef\xbe\x83", "HALFWIDTH KATAKANA LETTER TE (U+FF83)"
"U+FF84", "\xef\xbe\x84", "HALFWIDTH KATAKANA LETTER TO (U+FF84)"
"U+FF85", "\xef\xbe\x85", "HALFWIDTH KATAKANA LETTER NA (U+FF85)"
"U+FF86", "\xef\xbe\x86", "HALFWIDTH KATAKANA LETTER NI (U+FF86)"
"U+FF87", "\xef\xbe\x87", "HALFWIDTH KATAKANA LETTER NU (U+FF87)"
"U+FF88", "\xef\xbe\x88", "HALFWIDTH KATAKANA LETTER NE (U+FF88)"
"U+FF89", "\xef\xbe\x89", "HALFWIDTH KATAKANA LETTER NO (U+FF89)"
"U+FF8A", "\xef\xbe\x8a", "HALFWIDTH KATAKANA LETTER HA (U+FF8A)"
"U+FF8B", "\xef\xbe\x8b", "HALFWIDTH KATAKANA LETTER HI (U+FF8B)"
"U+FF8C", "\xef\xbe\x8c", "HALFWIDTH KATAKANA LETTER HU (U+FF8C)"
"U+FF8D", "\xef\xbe\x8d", "HALFWIDTH KATAKANA LETTER HE (U+FF8D)"
"U+FF8E", "\xef\xbe\x8e", "HALFWIDTH KATAKANA LETTER HO (U+FF8E)"
"U+FF8F", "\xef\xbe\x8f", "HALFWIDTH KATAKANA LETTER MA (U+FF8F)"
"U+FF90", "\xef\xbe\x90", "HALFWIDTH KATAKANA LETTER MI (U+FF90)"
"U+FF91", "\xef\xbe\x91", "HALFWIDTH KATAKANA LETTER MU (U+FF91)"
"U+FF92", "\xef\xbe\x92", "HALFWIDTH KATAKANA LETTER ME (U+FF92)"
"U+FF93", "\xef\xbe\x93", "HALFWIDTH KATAKANA LETTER MO (U+FF93)"
"U+FF94", "\xef\xbe\x94", "HALFWIDTH KATAKANA LETTER YA (U+FF94)"
"U+FF95", "\xef\xbe\x95", "HALFWIDTH KATAKANA LETTER YU (U+FF95)"
"U+FF96", "\xef\xbe\x96", "HALFWIDTH KATAKANA LETTER YO (U+FF96)"
"U+FF97", "\xef\xbe\x97", "HALFWIDTH KATAKANA LETTER RA (U+FF97)"
"U+FF98", "\xef\xbe\x98", "HALFWIDTH KATAKANA LETTER RI (U+FF98)"
"U+FF99", "\xef\xbe\x99", "HALFWIDTH KATAKANA LETTER RU (U+FF99)"
"U+FF9A", "\xef\xbe\x9a", "HALFWIDTH KATAKANA LETTER RE (U+FF9A)"
"U+FF9B", "\xef\xbe\x9b", "HALFWIDTH KATAKANA LETTER RO (U+FF9B)"
"U+FF9C", "\xef\xbe\x9c", "HALFWIDTH KATAKANA LETTER WA (U+FF9C)"
"U+FF9D", "\xef\xbe\x9d", "HALFWIDTH KATAKANA LETTER N (U+FF9D)"
"U+FF9E", "\xef\xbe\x9e", "HALFWIDTH KATAKANA VOICED SOUND MARK (U+FF9E)"
"U+FF9F", "\xef\xbe\x9f", "HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK (U+FF9F)"
"U+FFA0", "\xef\xbe\xa0", "HALFWIDTH HANGUL FILLER (U+FFA0)"
"U+FFA1", "\xef\xbe\xa1", "HALFWIDTH HANGUL LETTER KIYEOK (U+FFA1)"
"U+FFA2", "\xef\xbe\xa2", "HALFWIDTH HANGUL LETTER SSANGKIYEOK (U+FFA2)"
"U+FFA3", "\xef\xbe\xa3", "HALFWIDTH HANGUL LETTER KIYEOK-SIOS (U+FFA3)"
"U+FFA4", "\xef\xbe\xa4", "HALFWIDTH HANGUL LETTER NIEUN (U+FFA4)"
"U+FFA5", "\xef\xbe\xa5", "HALFWIDTH HANGUL LETTER NIEUN-CIEUC (U+FFA5)"
