# Unicode Characters in the Dingbats Block
# Source: http://www.fileformat.info/info/unicode/block/dingbats/list.htm
"U+27A1", "\xe2\x9e\xa1", "BLACK RIGHTWARDS ARROW (U+27A1)"
"U+27A2", "\xe2\x9e\xa2", "THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD (U+27A2)"
"U+27A3", "\xe2\x9e\xa3", "THREE-D BOTTOM-LIGHTED RIGHTWARDS ARROWHEAD (U+27A3)"
"U+27A4", "\xe2\x9e\xa4", "BLACK RIGHTWARDS ARROWHEAD (U+27A4)"
"U+27A5", "\xe2\x9e\xa5", "HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW (U+27A5)"
"U+27A6", "\xe2\x9e\xa6", "HEAVY BLACK CURVED UPWARDS AND RIGHTWARDS ARROW (U+27A6)"
"U+27A7", "\xe2\x9e\xa7", "SQUAT BLACK RIGHTWARDS ARROW (U+27A7)"
"U+27A8", "\xe2\x9e\xa8", "HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW (U+27A8)"
"U+27A9", "\xe2\x9e\xa9", "RIGHT-SHADED WHITE RIGHTWARDS ARROW (U+27A9)"
"U+27AA", "\xe2\x9e\xaa", "LEFT-SHADED WHITE RIGHTWARDS ARROW (U+27AA)"
"U+27AB", "\xe2\x9e\xab", "BACK-TILTED SHADOWED WHITE RIGHTWARDS ARROW (U+27AB)"
"U+27AC", "\xe2\x9e\xac", "FRONT-TILTED SHADOWED WHITE RIGHTWARDS ARROW (U+27AC)"
"U+27AD", "\xe2\x9e\xad", "HEAVY LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW (U+27AD)"
"U+27AE", "\xe2\x9e\xae", "HEAVY UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW (U+27AE)"
"U+27AF", "\xe2\x9e\xaf", "NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW (U+27AF)"
"U+27B0", "\xe2\x9e\xb0", "CURLY LOOP (U+27B0)"
"U+27B1", "\xe2\x9e\xb1", "NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW (U+27B1)"
"U+27B2", "\xe2\x9e\xb2", "CIRCLED HEAVY WHITE RIGHTWARDS ARROW (U+27B2)"
"U+27B3", "\xe2\x9e\xb3", "WHITE-FEATHERED RIGHTWARDS ARROW (U+27B3)"
"U+27B4", "\xe2\x9e\xb4", "BLACK-FEATHERED SOUTH EAST ARROW (U+27B4)"
"U+27B5", "\xe2\x9e\xb5", "BLACK-FEATHERED RIGHTWARDS ARROW (U+27B5)"
"U+27B6", "\xe2\x9e\xb6", "BLACK-FEATHERED NORTH EAST ARROW (U+27B6)"
"U+27B7", "\xe2\x9e\xb7", "HEAVY BLACK-FEATHERED SOUTH EAST ARROW (U+27B7)"
"U+27B8", "\xe2\x9e\xb8", "HEAVY BLACK-FEATHERED RIGHTWARDS ARROW (U+27B8)"
"U+27B9", "\xe2\x9e\xb9", "HEAVY BLACK-FEATHERED NORTH EAST ARROW (U+27B9)"
"U+27BA", "\xe2\x9e\xba", "TEARDROP-BARBED RIGHTWARDS ARROW (U+27BA)"
"U+27BB", "\xe2\x9e\xbb", "HEAVY TEARDROP-SHANKED RIGHTWARDS ARROW (U+27BB)"
"U+27BC", "\xe2\x9e\xbc", "WEDGE-TAILED RIGHTWARDS ARROW (U+27BC)"
"U+27BD", "\xe2\x9e\xbd", "HEAVY WEDGE-TAILED RIGHTWARDS ARROW (U+27BD)"
"U+27BE", "\xe2\x9e\xbe", "OPEN-OUTLINED RIGHTWARDS ARROW (U+27BE)"
"U+27BF", "\xe2\x9e\xbf", "DOUBLE CURLY LOOP (U+27BF)"
