# Unicode Characters in the Tai Xuan Jing Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/tai_xuan_jing_symbols/list.htm
"U+1D34C", "\xe1\xb4\xb4\x43", "TETRAGRAM FOR STOPPAGE (U+1D34C)"
"U+1D34D", "\xe1\xb4\xb4\x44", "TETRAGRAM FOR HARDNESS (U+1D34D)"
"U+1D34E", "\xe1\xb4\xb4\x45", "TETRAGRAM FOR COMPLETION (U+1D34E)"
"U+1D34F", "\xe1\xb4\xb4\x46", "TETRAGRAM FOR CLOSURE (U+1D34F)"
"U+1D350", "\xe1\xb4\xb5\x30", "TETRAGRAM FOR FAILURE (U+1D350)"
"U+1D351", "\xe1\xb4\xb5\x31", "TETRAGRAM FOR AGGRAVATION (U+1D351)"
"U+1D352", "\xe1\xb4\xb5\x32", "TETRAGRAM FOR COMPLIANCE (U+1D352)"
"U+1D353", "\xe1\xb4\xb5\x33", "TETRAGRAM FOR ON THE VERGE (U+1D353)"
"U+1D354", "\xe1\xb4\xb5\x34", "TETRAGRAM FOR DIFFICULTIES (U+1D354)"
"U+1D355", "\xe1\xb4\xb5\x35", "TETRAGRAM FOR LABOURING (U+1D355)"
"U+1D356", "\xe1\xb4\xb5\x36", "TETRAGRAM FOR FOSTERING (U+1D356)"
