# Unicode Characters in the Arabic Mathematical Alphabetic Symbols Block
# Source: http://www.fileformat.info/info/unicode/block/arabic_mathematical_alphabetic_symbols/list.htm
"U+1EE6E", "\xe1\xbb\xa6\x45", "ARABIC MATHEMATICAL STRETCHED SEEN (U+1EE6E)"
"U+1EE6F", "\xe1\xbb\xa6\x46", "ARABIC MATHEMATICAL STRETCHED AIN (U+1EE6F)"
"U+1EE70", "\xe1\xbb\xa7\x30", "ARABIC MATHEMATICAL STRETCHED FEH (U+1EE70)"
"U+1EE71", "\xe1\xbb\xa7\x31", "ARABIC MATHEMATICAL STRETCHED SAD (U+1EE71)"
"U+1EE72", "\xe1\xbb\xa7\x32", "ARABIC MATHEMATICAL STRETCHED QAF (U+1EE72)"
"U+1EE74", "\xe1\xbb\xa7\x34", "ARABIC MATHEMATICAL STRETCHED SHEEN (U+1EE74)"
"U+1EE75", "\xe1\xbb\xa7\x35", "ARABIC MATHEMATICAL STRETCHED TEH (U+1EE75)"
"U+1EE76", "\xe1\xbb\xa7\x36", "ARABIC MATHEMATICAL STRETCHED THEH (U+1EE76)"
"U+1EE77", "\xe1\xbb\xa7\x37", "ARABIC MATHEMATICAL STRETCHED KHAH (U+1EE77)"
"U+1EE79", "\xe1\xbb\xa7\x39", "ARABIC MATHEMATICAL STRETCHED DAD (U+1EE79)"
"U+1EE7A", "\xe1\xbb\xa7\x41", "ARABIC MATHEMATICAL STRETCHED ZAH (U+1EE7A)"
"U+1EE7B", "\xe1\xbb\xa7\x42", "ARABIC MATHEMATICAL STRETCHED GHAIN (U+1EE7B)"
"U+1EE7C", "\xe1\xbb\xa7\x43", "ARABIC MATHEMATICAL STRETCHED DOTLESS BEH (U+1EE7C)"
"U+1EE7E", "\xe1\xbb\xa7\x45", "ARABIC MATHEMATICAL STRETCHED DOTLESS FEH (U+1EE7E)"
"U+1EE80", "\xe1\xbb\xa8\x30", "ARABIC MATHEMATICAL LOOPED ALEF (U+1EE80)"
"U+1EE81", "\xe1\xbb\xa8\x31", "ARABIC MATHEMATICAL LOOPED BEH (U+1EE81)"
"U+1EE82", "\xe1\xbb\xa8\x32", "ARABIC MATHEMATICAL LOOPED JEEM (U+1EE82)"
"U+1EE83", "\xe1\xbb\xa8\x33", "ARABIC MATHEMATICAL LOOPED DAL (U+1EE83)"
"U+1EE84", "\xe1\xbb\xa8\x34", "ARABIC MATHEMATICAL LOOPED HEH (U+1EE84)"
"U+1EE85", "\xe1\xbb\xa8\x35", "ARABIC MATHEMATICAL LOOPED WAW (U+1EE85)"
"U+1EE86", "\xe1\xbb\xa8\x36", "ARABIC MATHEMATICAL LOOPED ZAIN (U+1EE86)"
"U+1EE87", "\xe1\xbb\xa8\x37", "ARABIC MATHEMATICAL LOOPED HAH (U+1EE87)"
"U+1EE88", "\xe1\xbb\xa8\x38", "ARABIC MATHEMATICAL LOOPED TAH (U+1EE88)"
"U+1EE89", "\xe1\xbb\xa8\x39", "ARABIC MATHEMATICAL LOOPED YEH (U+1EE89)"
"U+1EE8B", "\xe1\xbb\xa8\x42", "ARABIC MATHEMATICAL LOOPED LAM (U+1EE8B)"
"U+1EE8C", "\xe1\xbb\xa8\x43", "ARABIC MATHEMATICAL LOOPED MEEM (U+1EE8C)"
"U+1EE8D", "\xe1\xbb\xa8\x44", "ARABIC MATHEMATICAL LOOPED NOON (U+1EE8D)"
"U+1EE8E", "\xe1\xbb\xa8\x45", "ARABIC MATHEMATICAL LOOPED SEEN (U+1EE8E)"
"U+1EE8F", "\xe1\xbb\xa8\x46", "ARABIC MATHEMATICAL LOOPED AIN (U+1EE8F)"
"U+1EE90", "\xe1\xbb\xa9\x30", "ARABIC MATHEMATICAL LOOPED FEH (U+1EE90)"
"U+1EE91", "\xe1\xbb\xa9\x31", "ARABIC MATHEMATICAL LOOPED SAD (U+1EE91)"
"U+1EE92", "\xe1\xbb\xa9\x32", "ARABIC MATHEMATICAL LOOPED QAF (U+1EE92)"
"U+1EE93", "\xe1\xbb\xa9\x33", "ARABIC MATHEMATICAL LOOPED REH (U+1EE93)"
"U+1EE94", "\xe1\xbb\xa9\x34", "ARABIC MATHEMATICAL LOOPED SHEEN (U+1EE94)"
"U+1EE95", "\xe1\xbb\xa9\x35", "ARABIC MATHEMATICAL LOOPED TEH (U+1EE95)"
"U+1EE96", "\xe1\xbb\xa9\x36", "ARABIC MATHEMATICAL LOOPED THEH (U+1EE96)"
"U+1EE97", "\xe1\xbb\xa9\x37", "ARABIC MATHEMATICAL LOOPED KHAH (U+1EE97)"
"U+1EE98", "\xe1\xbb\xa9\x38", "ARABIC MATHEMATICAL LOOPED THAL (U+1EE98)"
"U+1EE99", "\xe1\xbb\xa9\x39", "ARABIC MATHEMATICAL LOOPED DAD (U+1EE99)"
"U+1EE9A", "\xe1\xbb\xa9\x41", "ARABIC MATHEMATICAL LOOPED ZAH (U+1EE9A)"
"U+1EE9B", "\xe1\xbb\xa9\x42", "ARABIC MATHEMATICAL LOOPED GHAIN (U+1EE9B)"
"U+1EEA1", "\xe1\xbb\xaa\x31", "ARABIC MATHEMATICAL DOUBLE-STRUCK BEH (U+1EEA1)"
"U+1EEA2", "\xe1\xbb\xaa\x32", "ARABIC MATHEMATICAL DOUBLE-STRUCK JEEM (U+1EEA2)"
"U+1EEA3", "\xe1\xbb\xaa\x33", "ARABIC MATHEMATICAL DOUBLE-STRUCK DAL (U+1EEA3)"
"U+1EEA5", "\xe1\xbb\xaa\x35", "ARABIC MATHEMATICAL DOUBLE-STRUCK WAW (U+1EEA5)"
"U+1EEA6", "\xe1\xbb\xaa\x36", "ARABIC MATHEMATICAL DOUBLE-STRUCK ZAIN (U+1EEA6)"
"U+1EEA7", "\xe1\xbb\xaa\x37", "ARABIC MATHEMATICAL DOUBLE-STRUCK HAH (U+1EEA7)"
"U+1EEA8", "\xe1\xbb\xaa\x38", "ARABIC MATHEMATICAL DOUBLE-STRUCK TAH (U+1EEA8)"
"U+1EEA9", "\xe1\xbb\xaa\x39", "ARABIC MATHEMATICAL DOUBLE-STRUCK YEH (U+1EEA9)"
"U+1EEAB", "\xe1\xbb\xaa\x42", "ARABIC MATHEMATICAL DOUBLE-STRUCK LAM (U+1EEAB)"
"U+1EEAC", "\xe1\xbb\xaa\x43", "ARABIC MATHEMATICAL DOUBLE-STRUCK MEEM (U+1EEAC)"
"U+1EEAD", "\xe1\xbb\xaa\x44", "ARABIC MATHEMATICAL DOUBLE-STRUCK NOON (U+1EEAD)"
"U+1EEAE", "\xe1\xbb\xaa\x45", "ARABIC MATHEMATICAL DOUBLE-STRUCK SEEN (U+1EEAE)"
"U+1EEAF", "\xe1\xbb\xaa\x46", "ARABIC MATHEMATICAL DOUBLE-STRUCK AIN (U+1EEAF)"
"U+1EEB0", "\xe1\xbb\xab\x30", "ARABIC MATHEMATICAL DOUBLE-STRUCK FEH (U+1EEB0)"
"U+1EEB1", "\xe1\xbb\xab\x31", "ARABIC MATHEMATICAL DOUBLE-STRUCK SAD (U+1EEB1)"
"U+1EEB2", "\xe1\xbb\xab\x32", "ARABIC MATHEMATICAL DOUBLE-STRUCK QAF (U+1EEB2)"
"U+1EEB3", "\xe1\xbb\xab\x33", "ARABIC MATHEMATICAL DOUBLE-STRUCK REH (U+1EEB3)"
"U+1EEB4", "\xe1\xbb\xab\x34", "ARABIC MATHEMATICAL DOUBLE-STRUCK SHEEN (U+1EEB4)"
"U+1EEB5", "\xe1\xbb\xab\x35", "ARABIC MATHEMATICAL DOUBLE-STRUCK TEH (U+1EEB5)"
"U+1EEB6", "\xe1\xbb\xab\x36", "ARABIC MATHEMATICAL DOUBLE-STRUCK THEH (U+1EEB6)"
"U+1EEB7", "\xe1\xbb\xab\x37", "ARABIC MATHEMATICAL DOUBLE-STRUCK KHAH (U+1EEB7)"
"U+1EEB8", "\xe1\xbb\xab\x38", "ARABIC MATHEMATICAL DOUBLE-STRUCK THAL (U+1EEB8)"
"U+1EEB9", "\xe1\xbb\xab\x39", "ARABIC MATHEMATICAL DOUBLE-STRUCK DAD (U+1EEB9)"
"U+1EEBA", "\xe1\xbb\xab\x41", "ARABIC MATHEMATICAL DOUBLE-STRUCK ZAH (U+1EEBA)"
"U+1EEBB", "\xe1\xbb\xab\x42", "ARABIC MATHEMATICAL DOUBLE-STRUCK GHAIN (U+1EEBB)"
"U+1EEF0", "\xe1\xbb\xaf\x30", "ARABIC MATHEMATICAL OPERATOR MEEM WITH HAH WITH TATWEEL (U+1EEF0)"
"U+1EEF1", "\xe1\xbb\xaf\x31", "ARABIC MATHEMATICAL OPERATOR HAH WITH DAL (U+1EEF1)"
