# Unicode Characters in the Enclosed CJK Letters and Months Block
# Source: http://www.fileformat.info/info/unicode/block/enclosed_cjk_letters_and_months/list.htm
"U+329C", "\xe3\x8a\x9c", "CIRCLED IDEOGRAPH SUITABLE (U+329C)"
"U+329D", "\xe3\x8a\x9d", "CIRCLED IDEOGRAPH EXCELLENT (U+329D)"
"U+329E", "\xe3\x8a\x9e", "CIRCLED IDEOGRAPH PRINT (U+329E)"
"U+329F", "\xe3\x8a\x9f", "CIRCLED IDEOGRAPH ATTENTION (U+329F)"
"U+32A0", "\xe3\x8a\xa0", "CIRCLED IDEOGRAPH ITEM (U+32A0)"
"U+32A1", "\xe3\x8a\xa1", "CIRCLED IDEOGRAPH REST (U+32A1)"
"U+32A2", "\xe3\x8a\xa2", "CIRCLED IDEOGRAPH COPY (U+32A2)"
"U+32A3", "\xe3\x8a\xa3", "CIRCLED IDEOGRAPH CORRECT (U+32A3)"
"U+32A4", "\xe3\x8a\xa4", "CIRCLED IDEOGRAPH HIGH (U+32A4)"
"U+32A5", "\xe3\x8a\xa5", "CIRCLED IDEOGRAPH CENTRE (U+32A5)"
"U+32A6", "\xe3\x8a\xa6", "CIRCLED IDEOGRAPH LOW (U+32A6)"
"U+32A7", "\xe3\x8a\xa7", "CIRCLED IDEOGRAPH LEFT (U+32A7)"
"U+32A8", "\xe3\x8a\xa8", "CIRCLED IDEOGRAPH RIGHT (U+32A8)"
"U+32A9", "\xe3\x8a\xa9", "CIRCLED IDEOGRAPH MEDICINE (U+32A9)"
"U+32AA", "\xe3\x8a\xaa", "CIRCLED IDEOGRAPH RELIGION (U+32AA)"
"U+32AB", "\xe3\x8a\xab", "CIRCLED IDEOGRAPH STUDY (U+32AB)"
"U+32AC", "\xe3\x8a\xac", "CIRCLED IDEOGRAPH SUPERVISE (U+32AC)"
"U+32AD", "\xe3\x8a\xad", "CIRCLED IDEOGRAPH ENTERPRISE (U+32AD)"
"U+32AE", "\xe3\x8a\xae", "CIRCLED IDEOGRAPH RESOURCE (U+32AE)"
"U+32AF", "\xe3\x8a\xaf", "CIRCLED IDEOGRAPH ALLIANCE (U+32AF)"
"U+32B0", "\xe3\x8a\xb0", "CIRCLED IDEOGRAPH NIGHT (U+32B0)"
"U+32B1", "\xe3\x8a\xb1", "CIRCLED NUMBER THIRTY SIX (U+32B1)"
