# CJK Compatibility
U+33E6, \xe3\x8f\xa6, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVEN
U+33E7, \xe3\x8f\xa7, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHT
U+33E8, \xe3\x8f\xa8, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINE
U+33E9, \xe3\x8f\xa9, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TEN
U+33EA, \xe3\x8f\xaa, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ELEVEN
U+33EB, \xe3\x8f\xab, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWELVE
U+33EC, \xe3\x8f\xac, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTEEN
U+33ED, \xe3\x8f\xad, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOURTEEN
U+33EE, \xe3\x8f\xae, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIFTEEN
U+33EF, \xe3\x8f\xaf, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIXTEEN
U+33F0, \xe3\x8f\xb0, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVENTEEN
U+33F1, \xe3\x8f\xb1, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHTEEN
U+33F2, \xe3\x8f\xb2, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINETEEN
U+33F3, \xe3\x8f\xb3, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY
U+33F4, \xe3\x8f\xb4, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-ONE
U+33F5, \xe3\x8f\xb5, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-TWO
U+33F6, \xe3\x8f\xb6, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-THREE
U+33F7, \xe3\x8f\xb7, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FOUR
U+33F8, \xe3\x8f\xb8, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FIVE
U+33F9, \xe3\x8f\xb9, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SIX
U+33FA, \xe3\x8f\xba, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SEVEN
U+33FB, \xe3\x8f\xbb, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-EIGHT
U+33FC, \xe3\x8f\xbc, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-NINE
U+33FD, \xe3\x8f\xbd, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY
U+33FE, \xe3\x8f\xbe, IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY-ONE
U+33FF, \xe3\x8f\xbf, SQUARE GAL
