# Unicode Characters in the Samaritan Block
# Source: http://www.fileformat.info/info/unicode/block/samaritan/list.htm
"U+082D", "\xe0\xa0\xad", "SAMARITAN MARK NEQUDAA (U+082D)"
"U+0830", "\xe0\xa0\xb0", "SAMARITAN PUNCTUATION NEQUDAA (U+0830)"
"U+0831", "\xe0\xa0\xb1", "SAMARITAN PUNCTUATION AFSAAQ (U+0831)"
"U+0832", "\xe0\xa0\xb2", "SAMARITAN PUNCTUATION ANGED (U+0832)"
"U+0833", "\xe0\xa0\xb3", "SAMARITAN PUNCTUATION BAU (U+0833)"
"U+0834", "\xe0\xa0\xb4", "SAMARITAN PUNCTUATION ATMAAU (U+0834)"
"U+0835", "\xe0\xa0\xb5", "SAMARITAN PUNCTUATION SHIYYAALAA (U+0835)"
"U+0836", "\xe0\xa0\xb6", "SAMARITAN ABBREVIATION MARK (U+0836)"
"U+0837", "\xe0\xa0\xb7", "SAMARITAN PUNCTUATION MELODIC QITSA (U+0837)"
"U+0838", "\xe0\xa0\xb8", "SAMARITAN PUNCTUATION ZIQAA (U+0838)"
"U+0839", "\xe0\xa0\xb9", "SAMARITAN PUNCTUATION QITSA (U+0839)"
"U+083A", "\xe0\xa0\xba", "SAMARITAN PUNCTUATION ZAEF (U+083A)"
"U+083B", "\xe0\xa0\xbb", "SAMARITAN PUNCTUATION TURU (U+083B)"
"U+083C", "\xe0\xa0\xbc", "SAMARITAN PUNCTUATION ARKAANU (U+083C)"
"U+083D", "\xe0\xa0\xbd", "SAMARITAN PUNCTUATION SOF MASHFAAT (U+083D)"
"U+083E", "\xe0\xa0\xbe", "SAMARITAN PUNCTUATION ANNAAU (U+083E)"
