# CJK Compatibility Ideographs
U+F9B0, \xef\xa6\xb0, CJK COMPATIBILITY IDEOGRAPH-F9B0
U+F9B1, \xef\xa6\xb1, CJK COMPATIBILITY IDEOGRAPH-F9B1
U+F9B2, \xef\xa6\xb2, CJK COMPATIBILITY IDEOGRAPH-F9B2
U+F9B3, \xef\xa6\xb3, CJK COMPATIBILITY IDEOGRAPH-F9B3
U+F9B4, \xef\xa6\xb4, CJK COMPATIBILITY IDEOGRAPH-F9B4
U+F9B5, \xef\xa6\xb5, CJK COMPATIBILITY IDEOGRAPH-F9B5
U+F9B6, \xef\xa6\xb6, CJK COMPATIBILITY IDEOGRAPH-F9B6
U+F9B7, \xef\xa6\xb7, CJK COMPATIBILITY IDEOGRAPH-F9B7
U+F9B8, \xef\xa6\xb8, CJK COMPATIBILITY IDEOGRAPH-F9B8
U+F9B9, \xef\xa6\xb9, CJK COMPATIBILITY IDEOGRAPH-F9B9
U+F9BA, \xef\xa6\xba, CJK COMPATIBILITY IDEOGRAPH-F9BA
U+F9BB, \xef\xa6\xbb, CJK COMPATIBILITY IDEOGRAPH-F9BB
U+F9BC, \xef\xa6\xbc, CJK COMPATIBILITY IDEOGRAPH-F9BC
U+F9BD, \xef\xa6\xbd, CJK COMPATIBILITY IDEOGRAPH-F9BD
U+F9BE, \xef\xa6\xbe, CJK COMPATIBILITY IDEOGRAPH-F9BE
U+F9BF, \xef\xa6\xbf, CJK COMPATIBILITY IDEOGRAPH-F9BF
U+F9C0, \xef\xa7\x80, CJK COMPATIBILITY IDEOGRAPH-F9C0
U+F9C1, \xef\xa7\x81, CJK COMPATIBILITY IDEOGRAPH-F9C1
U+F9C2, \xef\xa7\x82, CJK COMPATIBILITY IDEOGRAPH-F9C2
U+F9C3, \xef\xa7\x83, CJK COMPATIBILITY IDEOGRAPH-F9C3
U+F9C4, \xef\xa7\x84, CJK COMPATIBILITY IDEOGRAPH-F9C4
U+F9C5, \xef\xa7\x85, CJK COMPATIBILITY IDEOGRAPH-F9C5
U+F9C6, \xef\xa7\x86, CJK COMPATIBILITY IDEOGRAPH-F9C6
U+F9C7, \xef\xa7\x87, CJK COMPATIBILITY IDEOGRAPH-F9C7
U+F9C8, \xef\xa7\x88, CJK COMPATIBILITY IDEOGRAPH-F9C8
U+F9C9, \xef\xa7\x89, CJK COMPATIBILITY IDEOGRAPH-F9C9
U+F9CA, \xef\xa7\x8a, CJK COMPATIBILITY IDEOGRAPH-F9CA
U+F9CB, \xef\xa7\x8b, CJK COMPATIBILITY IDEOGRAPH-F9CB
U+F9CC, \xef\xa7\x8c, CJK COMPATIBILITY IDEOGRAPH-F9CC
U+F9CD, \xef\xa7\x8d, CJK COMPATIBILITY IDEOGRAPH-F9CD
U+F9CE, \xef\xa7\x8e, CJK COMPATIBILITY IDEOGRAPH-F9CE
U+F9CF, \xef\xa7\x8f, CJK COMPATIBILITY IDEOGRAPH-F9CF
U+F9D0, \xef\xa7\x90, CJK COMPATIBILITY IDEOGRAPH-F9D0
U+F9D1, \xef\xa7\x91, CJK COMPATIBILITY IDEOGRAPH-F9D1
U+F9D2, \xef\xa7\x92, CJK COMPATIBILITY IDEOGRAPH-F9D2
U+F9D3, \xef\xa7\x93, CJK COMPATIBILITY IDEOGRAPH-F9D3
U+F9D4, \xef\xa7\x94, CJK COMPATIBILITY IDEOGRAPH-F9D4
U+F9D5, \xef\xa7\x95, CJK COMPATIBILITY IDEOGRAPH-F9D5
U+F9D6, \xef\xa7\x96, CJK COMPATIBILITY IDEOGRAPH-F9D6
U+F9D7, \xef\xa7\x97, CJK COMPATIBILITY IDEOGRAPH-F9D7
U+F9D8, \xef\xa7\x98, CJK COMPATIBILITY IDEOGRAPH-F9D8
U+F9D9, \xef\xa7\x99, CJK COMPATIBILITY IDEOGRAPH-F9D9
U+F9DA, \xef\xa7\x9a, CJK COMPATIBILITY IDEOGRAPH-F9DA
U+F9DB, \xef\xa7\x9b, CJK COMPATIBILITY IDEOGRAPH-F9DB
U+F9DC, \xef\xa7\x9c, CJK COMPATIBILITY IDEOGRAPH-F9DC
U+F9DD, \xef\xa7\x9d, CJK COMPATIBILITY IDEOGRAPH-F9DD
U+F9DE, \xef\xa7\x9e, CJK COMPATIBILITY IDEOGRAPH-F9DE
U+F9DF, \xef\xa7\x9f, CJK COMPATIBILITY IDEOGRAPH-F9DF
U+F9E0, \xef\xa7\xa0, CJK COMPATIBILITY IDEOGRAPH-F9E0
U+F9E1, \xef\xa7\xa1, CJK COMPATIBILITY IDEOGRAPH-F9E1
U+F9E2, \xef\xa7\xa2, CJK COMPATIBILITY IDEOGRAPH-F9E2
U+F9E3, \xef\xa7\xa3, CJK COMPATIBILITY IDEOGRAPH-F9E3
U+F9E4, \xef\xa7\xa4, CJK COMPATIBILITY IDEOGRAPH-F9E4
U+F9E5, \xef\xa7\xa5, CJK COMPATIBILITY IDEOGRAPH-F9E5
U+F9E6, \xef\xa7\xa6, CJK COMPATIBILITY IDEOGRAPH-F9E6
U+F9E7, \xef\xa7\xa7, CJK COMPATIBILITY IDEOGRAPH-F9E7
U+F9E8, \xef\xa7\xa8, CJK COMPATIBILITY IDEOGRAPH-F9E8
U+F9E9, \xef\xa7\xa9, CJK COMPATIBILITY IDEOGRAPH-F9E9
U+F9EA, \xef\xa7\xaa, CJK COMPATIBILITY IDEOGRAPH-F9EA
U+F9EB, \xef\xa7\xab, CJK COMPATIBILITY IDEOGRAPH-F9EB
U+F9EC, \xef\xa7\xac, CJK COMPATIBILITY IDEOGRAPH-F9EC
U+F9ED, \xef\xa7\xad, CJK COMPATIBILITY IDEOGRAPH-F9ED
U+F9EE, \xef\xa7\xae, CJK COMPATIBILITY IDEOGRAPH-F9EE
U+F9EF, \xef\xa7\xaf, CJK COMPATIBILITY IDEOGRAPH-F9EF
U+F9F0, \xef\xa7\xb0, CJK COMPATIBILITY IDEOGRAPH-F9F0
U+F9F1, \xef\xa7\xb1, CJK COMPATIBILITY IDEOGRAPH-F9F1
U+F9F2, \xef\xa7\xb2, CJK COMPATIBILITY IDEOGRAPH-F9F2
U+F9F3, \xef\xa7\xb3, CJK COMPATIBILITY IDEOGRAPH-F9F3
U+F9F4, \xef\xa7\xb4, CJK COMPATIBILITY IDEOGRAPH-F9F4
U+F9F5, \xef\xa7\xb5, CJK COMPATIBILITY IDEOGRAPH-F9F5
U+F9F6, \xef\xa7\xb6, CJK COMPATIBILITY IDEOGRAPH-F9F6
U+F9F7, \xef\xa7\xb7, CJK COMPATIBILITY IDEOGRAPH-F9F7
U+F9F8, \xef\xa7\xb8, CJK COMPATIBILITY IDEOGRAPH-F9F8
U+F9F9, \xef\xa7\xb9, CJK COMPATIBILITY IDEOGRAPH-F9F9
U+F9FA, \xef\xa7\xba, CJK COMPATIBILITY IDEOGRAPH-F9FA
U+F9FB, \xef\xa7\xbb, CJK COMPATIBILITY IDEOGRAPH-F9FB
U+F9FC, \xef\xa7\xbc, CJK COMPATIBILITY IDEOGRAPH-F9FC
U+F9FD, \xef\xa7\xbd, CJK COMPATIBILITY IDEOGRAPH-F9FD
U+F9FE, \xef\xa7\xbe, CJK COMPATIBILITY IDEOGRAPH-F9FE
U+F9FF, \xef\xa7\xbf, CJK COMPATIBILITY IDEOGRAPH-F9FF
