# Georgian
U+1122, \xe1\x84\xa2, HANGUL CHOSEONG PIEUP-SIOS-KIYEOK
U+1123, \xe1\x84\xa3, HANGUL CHOSEONG PIEUP-SIOS-TIKEUT
U+1124, \xe1\x84\xa4, HANGUL CHOSEONG PIEUP-SIOS-PIEUP
U+1125, \xe1\x84\xa5, HANGUL CHOSEONG PIEUP-SSANGSIOS
U+1126, \xe1\x84\xa6, HANGUL CHOSEONG PIEUP-SIOS-CIEUC
U+1127, \xe1\x84\xa7, HANGUL CHOSEONG PIEUP-CIEUC
U+1128, \xe1\x84\xa8, HANGUL CHOSEONG PIEUP-CHIEUCH
U+1129, \xe1\x84\xa9, HANGUL CHOSEONG PIEUP-THIEUTH
U+112A, \xe1\x84\xaa, HANGUL CHOSEONG PIEUP-PHIEUPH
U+112B, \xe1\x84\xab, HANGUL CHOSEONG KAPYEOUNPIEUP
U+112C, \xe1\x84\xac, HANGUL CHOSEONG KAPYEOUNSSANGPIEUP
U+112D, \xe1\x84\xad, HANGUL CHOSEONG SIOS-KIYEOK
U+112E, \xe1\x84\xae, HANGUL CHOSEONG SIOS-NIEUN
U+112F, \xe1\x84\xaf, HANGUL CHOSEONG SIOS-TIKEUT
U+1130, \xe1\x84\xb0, HANGUL CHOSEONG SIOS-RIEUL
U+1131, \xe1\x84\xb1, HANGUL CHOSEONG SIOS-MIEUM
U+1132, \xe1\x84\xb2, HANGUL CHOSEONG SIOS-PIEUP
U+1133, \xe1\x84\xb3, HANGUL CHOSEONG SIOS-PIEUP-KIYEOK
U+1134, \xe1\x84\xb4, HANGUL CHOSEONG SIOS-SSANGSIOS
U+1135, \xe1\x84\xb5, HANGUL CHOSEONG SIOS-IEUNG
U+1136, \xe1\x84\xb6, HANGUL CHOSEONG SIOS-CIEUC
U+1137, \xe1\x84\xb7, HANGUL CHOSEONG SIOS-CHIEUCH
U+1138, \xe1\x84\xb8, HANGUL CHOSEONG SIOS-KHIEUKH
U+1139, \xe1\x84\xb9, HANGUL CHOSEONG SIOS-THIEUTH
U+113A, \xe1\x84\xba, HANGUL CHOSEONG SIOS-PHIEUPH
U+113B, \xe1\x84\xbb, HANGUL CHOSEONG SIOS-HIEUH
U+113C, \xe1\x84\xbc, HANGUL CHOSEONG CHITUEUMSIOS
U+113D, \xe1\x84\xbd, HANGUL CHOSEONG CHITUEUMSSANGSIOS
U+113E, \xe1\x84\xbe, HANGUL CHOSEONG CEONGCHIEUMSIOS
U+113F, \xe1\x84\xbf, HANGUL CHOSEONG CEONGCHIEUMSSANGSIOS
U+1140, \xe1\x85\x80, HANGUL CHOSEONG PANSIOS
U+1141, \xe1\x85\x81, HANGUL CHOSEONG IEUNG-KIYEOK
U+1142, \xe1\x85\x82, HANGUL CHOSEONG IEUNG-TIKEUT
U+1143, \xe1\x85\x83, HANGUL CHOSEONG IEUNG-MIEUM
U+1144, \xe1\x85\x84, HANGUL CHOSEONG IEUNG-PIEUP
U+1145, \xe1\x85\x85, HANGUL CHOSEONG IEUNG-SIOS
U+1146, \xe1\x85\x86, HANGUL CHOSEONG IEUNG-PANSIOS
U+1147, \xe1\x85\x87, HANGUL CHOSEONG SSANGIEUNG
U+1148, \xe1\x85\x88, HANGUL CHOSEONG IEUNG-CIEUC
U+1149, \xe1\x85\x89, HANGUL CHOSEONG IEUNG-CHIEUCH
U+114A, \xe1\x85\x8a, HANGUL CHOSEONG IEUNG-THIEUTH
U+114B, \xe1\x85\x8b, HANGUL CHOSEONG IEUNG-PHIEUPH
U+114C, \xe1\x85\x8c, HANGUL CHOSEONG YESIEUNG
U+114D, \xe1\x85\x8d, HANGUL CHOSEONG CIEUC-IEUNG
U+114E, \xe1\x85\x8e, HANGUL CHOSEONG CHITUEUMCIEUC
U+114F, \xe1\x85\x8f, HANGUL CHOSEONG CHITUEUMSSANGCIEUC
U+1150, \xe1\x85\x90, HANGUL CHOSEONG CEONGCHIEUMCIEUC
U+1151, \xe1\x85\x91, HANGUL CHOSEONG CEONGCHIEUMSSANGCIEUC
U+1152, \xe1\x85\x92, HANGUL CHOSEONG CHIEUCH-KHIEUKH
U+1153, \xe1\x85\x93, HANGUL CHOSEONG CHIEUCH-HIEUH
U+1154, \xe1\x85\x94, HANGUL CHOSEONG CHITUEUMCHIEUCH
U+1155, \xe1\x85\x95, HANGUL CHOSEONG CEONGCHIEUMCHIEUCH
U+1156, \xe1\x85\x96, HANGUL CHOSEONG PHIEUPH-PIEUP
U+1157, \xe1\x85\x97, HANGUL CHOSEONG KAPYEOUNPHIEUPH
U+1158, \xe1\x85\x98, HANGUL CHOSEONG SSANGHIEUH
U+1159, \xe1\x85\x99, HANGUL CHOSEONG YEORINHIEUH
U+115A, \xe1\x85\x9a, HANGUL CHOSEONG KIYEOK-TIKEUT
U+115B, \xe1\x85\x9b, HANGUL CHOSEONG NIEUN-SIOS
U+115C, \xe1\x85\x9c, HANGUL CHOSEONG NIEUN-CIEUC
U+115D, \xe1\x85\x9d, HANGUL CHOSEONG NIEUN-HIEUH
U+115E, \xe1\x85\x9e, HANGUL CHOSEONG TIKEUT-RIEUL
U+115F, \xe1\x85\x9f, HANGUL CHOSEONG FILLER
U+1160, \xe1\x85\xa0, HANGUL JUNGSEONG FILLER
U+1161, \xe1\x85\xa1, HANGUL JUNGSEONG A
U+1162, \xe1\x85\xa2, HANGUL JUNGSEONG AE
U+1163, \xe1\x85\xa3, HANGUL JUNGSEONG YA
U+1164, \xe1\x85\xa4, HANGUL JUNGSEONG YAE
U+1165, \xe1\x85\xa5, HANGUL JUNGSEONG EO
U+1166, \xe1\x85\xa6, HANGUL JUNGSEONG E
U+1167, \xe1\x85\xa7, HANGUL JUNGSEONG YEO
U+1168, \xe1\x85\xa8, HANGUL JUNGSEONG YE
U+1169, \xe1\x85\xa9, HANGUL JUNGSEONG O
U+116A, \xe1\x85\xaa, HANGUL JUNGSEONG WA
U+116B, \xe1\x85\xab, HANGUL JUNGSEONG WAE
U+116C, \xe1\x85\xac, HANGUL JUNGSEONG OE
U+116D, \xe1\x85\xad, HANGUL JUNGSEONG YO
U+116E, \xe1\x85\xae, HANGUL JUNGSEONG U
U+116F, \xe1\x85\xaf, HANGUL JUNGSEONG WEO
U+1170, \xe1\x85\xb0, HANGUL JUNGSEONG WE
U+1171, \xe1\x85\xb1, HANGUL JUNGSEONG WI
U+1172, \xe1\x85\xb2, HANGUL JUNGSEONG YU
U+1173, \xe1\x85\xb3, HANGUL JUNGSEONG EU
U+1174, \xe1\x85\xb4, HANGUL JUNGSEONG YI
U+1175, \xe1\x85\xb5, HANGUL JUNGSEONG I
U+1176, \xe1\x85\xb6, HANGUL JUNGSEONG A-O
U+1177, \xe1\x85\xb7, HANGUL JUNGSEONG A-U
U+1178, \xe1\x85\xb8, HANGUL JUNGSEONG YA-O
U+1179, \xe1\x85\xb9, HANGUL JUNGSEONG YA-YO
U+117A, \xe1\x85\xba, HANGUL JUNGSEONG EO-O
U+117B, \xe1\x85\xbb, HANGUL JUNGSEONG EO-U
U+117C, \xe1\x85\xbc, HANGUL JUNGSEONG EO-EU
U+117D, \xe1\x85\xbd, HANGUL JUNGSEONG YEO-O
U+117E, \xe1\x85\xbe, HANGUL JUNGSEONG YEO-U
U+117F, \xe1\x85\xbf, HANGUL JUNGSEONG O-EO
U+1180, \xe1\x86\x80, HANGUL JUNGSEONG O-E
U+1181, \xe1\x86\x81, HANGUL JUNGSEONG O-YE
U+1182, \xe1\x86\x82, HANGUL JUNGSEONG O-O
U+1183, \xe1\x86\x83, HANGUL JUNGSEONG O-U
U+1184, \xe1\x86\x84, HANGUL JUNGSEONG YO-YA
U+1185, \xe1\x86\x85, HANGUL JUNGSEONG YO-YAE
U+1186, \xe1\x86\x86, HANGUL JUNGSEONG YO-YEO
U+1187, \xe1\x86\x87, HANGUL JUNGSEONG YO-O
U+1188, \xe1\x86\x88, HANGUL JUNGSEONG YO-I
U+1189, \xe1\x86\x89, HANGUL JUNGSEONG U-A
U+118A, \xe1\x86\x8a, HANGUL JUNGSEONG U-AE
U+118B, \xe1\x86\x8b, HANGUL JUNGSEONG U-EO-EU
U+118C, \xe1\x86\x8c, HANGUL JUNGSEONG U-YE
U+118D, \xe1\x86\x8d, HANGUL JUNGSEONG U-U
U+118E, \xe1\x86\x8e, HANGUL JUNGSEONG YU-A
U+118F, \xe1\x86\x8f, HANGUL JUNGSEONG YU-EO
U+1190, \xe1\x86\x90, HANGUL JUNGSEONG YU-E
U+1191, \xe1\x86\x91, HANGUL JUNGSEONG YU-YEO
U+1192, \xe1\x86\x92, HANGUL JUNGSEONG YU-YE
U+1193, \xe1\x86\x93, HANGUL JUNGSEONG YU-U
U+1194, \xe1\x86\x94, HANGUL JUNGSEONG YU-I
U+1195, \xe1\x86\x95, HANGUL JUNGSEONG EU-U
U+1196, \xe1\x86\x96, HANGUL JUNGSEONG EU-EU
U+1197, \xe1\x86\x97, HANGUL JUNGSEONG YI-U
U+1198, \xe1\x86\x98, HANGUL JUNGSEONG I-A
U+1199, \xe1\x86\x99, HANGUL JUNGSEONG I-YA
U+119A, \xe1\x86\x9a, HANGUL JUNGSEONG I-O
U+119B, \xe1\x86\x9b, HANGUL JUNGSEONG I-U
U+119C, \xe1\x86\x9c, HANGUL JUNGSEONG I-EU
U+119D, \xe1\x86\x9d, HANGUL JUNGSEONG I-ARAEA
U+119E, \xe1\x86\x9e, HANGUL JUNGSEONG ARAEA
U+119F, \xe1\x86\x9f, HANGUL JUNGSEONG ARAEA-EO
