# Unicode Characters in the Tibetan Block
# Source: http://www.fileformat.info/info/unicode/block/tibetan/list.htm
"U+0F8F", "\xe0\xbe\x8f", "TIBETAN SUBJOINED SIGN INVERTED MCHU CAN (U+0F8F)"
"U+0F90", "\xe0\xbe\x90", "TIBETAN SUBJOINED LETTER KA (U+0F90)"
"U+0F91", "\xe0\xbe\x91", "TIBETAN SUBJOINED LETTER KHA (U+0F91)"
"U+0F92", "\xe0\xbe\x92", "TIBETAN SUBJOINED LETTER GA (U+0F92)"
"U+0F93", "\xe0\xbe\x93", "TIBETAN SUBJOINED LETTER GHA (U+0F93)"
"U+0F94", "\xe0\xbe\x94", "TIBETAN SUBJOINED LETTER NGA (U+0F94)"
"U+0F95", "\xe0\xbe\x95", "TIBETAN SUBJOINED LETTER CA (U+0F95)"
"U+0F96", "\xe0\xbe\x96", "TIBETAN SUBJOINED LETTER CHA (U+0F96)"
"U+0F97", "\xe0\xbe\x97", "TIBETAN SUBJOINED LETTER JA (U+0F97)"
"U+0F99", "\xe0\xbe\x99", "TIBETAN SUBJOINED LETTER NYA (U+0F99)"
"U+0F9A", "\xe0\xbe\x9a", "TIBETAN SUBJOINED LETTER TTA (U+0F9A)"
"U+0F9B", "\xe0\xbe\x9b", "TIBETAN SUBJOINED LETTER TTHA (U+0F9B)"
"U+0F9C", "\xe0\xbe\x9c", "TIBETAN SUBJOINED LETTER DDA (U+0F9C)"
"U+0F9D", "\xe0\xbe\x9d", "TIBETAN SUBJOINED LETTER DDHA (U+0F9D)"
"U+0F9E", "\xe0\xbe\x9e", "TIBETAN SUBJOINED LETTER NNA (U+0F9E)"
"U+0F9F", "\xe0\xbe\x9f", "TIBETAN SUBJOINED LETTER TA (U+0F9F)"
"U+0FA0", "\xe0\xbe\xa0", "TIBETAN SUBJOINED LETTER THA (U+0FA0)"
"U+0FA1", "\xe0\xbe\xa1", "TIBETAN SUBJOINED LETTER DA (U+0FA1)"
"U+0FA2", "\xe0\xbe\xa2", "TIBETAN SUBJOINED LETTER DHA (U+0FA2)"
"U+0FA3", "\xe0\xbe\xa3", "TIBETAN SUBJOINED LETTER NA (U+0FA3)"
"U+0FA4", "\xe0\xbe\xa4", "TIBETAN SUBJOINED LETTER PA (U+0FA4)"
"U+0FA5", "\xe0\xbe\xa5", "TIBETAN SUBJOINED LETTER PHA (U+0FA5)"
"U+0FA6", "\xe0\xbe\xa6", "TIBETAN SUBJOINED LETTER BA (U+0FA6)"
"U+0FA7", "\xe0\xbe\xa7", "TIBETAN SUBJOINED LETTER BHA (U+0FA7)"
"U+0FA8", "\xe0\xbe\xa8", "TIBETAN SUBJOINED LETTER MA (U+0FA8)"
"U+0FA9", "\xe0\xbe\xa9", "TIBETAN SUBJOINED LETTER TSA (U+0FA9)"
"U+0FAA", "\xe0\xbe\xaa", "TIBETAN SUBJOINED LETTER TSHA (U+0FAA)"
"U+0FAB", "\xe0\xbe\xab", "TIBETAN SUBJOINED LETTER DZA (U+0FAB)"
"U+0FAC", "\xe0\xbe\xac", "TIBETAN SUBJOINED LETTER DZHA (U+0FAC)"
"U+0FAD", "\xe0\xbe\xad", "TIBETAN SUBJOINED LETTER WA (U+0FAD)"
"U+0FAE", "\xe0\xbe\xae", "TIBETAN SUBJOINED LETTER ZHA (U+0FAE)"
"U+0FAF", "\xe0\xbe\xaf", "TIBETAN SUBJOINED LETTER ZA (U+0FAF)"
"U+0FB0", "\xe0\xbe\xb0", "TIBETAN SUBJOINED LETTER -A (U+0FB0)"
"U+0FB1", "\xe0\xbe\xb1", "TIBETAN SUBJOINED LETTER YA (U+0FB1)"
"U+0FB2", "\xe0\xbe\xb2", "TIBETAN SUBJOINED LETTER RA (U+0FB2)"
"U+0FB3", "\xe0\xbe\xb3", "TIBETAN SUBJOINED LETTER LA (U+0FB3)"
"U+0FB4", "\xe0\xbe\xb4", "TIBETAN SUBJOINED LETTER SHA (U+0FB4)"
"U+0FB5", "\xe0\xbe\xb5", "TIBETAN SUBJOINED LETTER SSA (U+0FB5)"
"U+0FB6", "\xe0\xbe\xb6", "TIBETAN SUBJOINED LETTER SA (U+0FB6)"
"U+0FB7", "\xe0\xbe\xb7", "TIBETAN SUBJOINED LETTER HA (U+0FB7)"
"U+0FB8", "\xe0\xbe\xb8", "TIBETAN SUBJOINED LETTER A (U+0FB8)"
"U+0FB9", "\xe0\xbe\xb9", "TIBETAN SUBJOINED LETTER KSSA (U+0FB9)"
"U+0FBA", "\xe0\xbe\xba", "TIBETAN SUBJOINED LETTER FIXED-FORM WA (U+0FBA)"
"U+0FBB", "\xe0\xbe\xbb", "TIBETAN SUBJOINED LETTER FIXED-FORM YA (U+0FBB)"
"U+0FBC", "\xe0\xbe\xbc", "TIBETAN SUBJOINED LETTER FIXED-FORM RA (U+0FBC)"
"U+0FBE", "\xe0\xbe\xbe", "TIBETAN KU RU KHA (U+0FBE)"
"U+0FBF", "\xe0\xbe\xbf", "TIBETAN KU RU KHA BZHI MIG CAN (U+0FBF)"
"U+0FC0", "\xe0\xbf\x80", "TIBETAN CANTILLATION SIGN HEAVY BEAT (U+0FC0)"
"U+0FC1", "\xe0\xbf\x81", "TIBETAN CANTILLATION SIGN LIGHT BEAT (U+0FC1)"
"U+0FC2", "\xe0\xbf\x82", "TIBETAN CANTILLATION SIGN CANG TE-U (U+0FC2)"
"U+0FC3", "\xe0\xbf\x83", "TIBETAN CANTILLATION SIGN SBUB -CHAL (U+0FC3)"
"U+0FC4", "\xe0\xbf\x84", "TIBETAN SYMBOL DRIL BU (U+0FC4)"
"U+0FC5", "\xe0\xbf\x85", "TIBETAN SYMBOL RDO RJE (U+0FC5)"
"U+0FC6", "\xe0\xbf\x86", "TIBETAN SYMBOL PADMA GDAN (U+0FC6)"
"U+0FC7", "\xe0\xbf\x87", "TIBETAN SYMBOL RDO RJE RGYA GRAM (U+0FC7)"
"U+0FC8", "\xe0\xbf\x88", "TIBETAN SYMBOL PHUR PA (U+0FC8)"
"U+0FC9", "\xe0\xbf\x89", "TIBETAN SYMBOL NOR BU (U+0FC9)"
"U+0FCA", "\xe0\xbf\x8a", "TIBETAN SYMBOL NOR BU NYIS -KHYIL (U+0FCA)"
"U+0FCB", "\xe0\xbf\x8b", "TIBETAN SYMBOL NOR BU GSUM -KHYIL (U+0FCB)"
"U+0FCC", "\xe0\xbf\x8c", "TIBETAN SYMBOL NOR BU BZHI -KHYIL (U+0FCC)"
"U+0FCE", "\xe0\xbf\x8e", "TIBETAN SIGN RDEL NAG RDEL DKAR (U+0FCE)"
"U+0FCF", "\xe0\xbf\x8f", "TIBETAN SIGN RDEL NAG GSUM (U+0FCF)"
"U+0FD0", "\xe0\xbf\x90", "TIBETAN MARK BSKA- SHOG GI MGO RGYAN (U+0FD0)"
"U+0FD1", "\xe0\xbf\x91", "TIBETAN MARK MNYAM YIG GI MGO RGYAN (U+0FD1)"
"U+0FD2", "\xe0\xbf\x92", "TIBETAN MARK NYIS TSHEG (U+0FD2)"
"U+0FD3", "\xe0\xbf\x93", "TIBETAN MARK INITIAL BRDA RNYING YIG MGO MDUN MA (U+0FD3)"
"U+0FD4", "\xe0\xbf\x94", "TIBETAN MARK CLOSING BRDA RNYING YIG MGO SGAB MA (U+0FD4)"
"U+0FD5", "\xe0\xbf\x95", "RIGHT-FACING SVASTI SIGN (U+0FD5)"
"U+0FD6", "\xe0\xbf\x96", "LEFT-FACING SVASTI SIGN (U+0FD6)"
"U+0FD7", "\xe0\xbf\x97", "RIGHT-FACING SVASTI SIGN WITH DOTS (U+0FD7)"
"U+0FD8", "\xe0\xbf\x98", "LEFT-FACING SVASTI SIGN WITH DOTS (U+0FD8)"
"U+0FD9", "\xe0\xbf\x99", "TIBETAN MARK LEADING MCHAN RTAGS (U+0FD9)"
"U+0FDA", "\xe0\xbf\x9a", "TIBETAN MARK TRAILING MCHAN RTAGS (U+0FDA)"
