# Cuneiform
U+1206B, \xf0\x92\x81\xab, CUNEIFORM SIGN DAG KISIM5 TIMES TAK4
U+1206C, \xf0\x92\x81\xac, CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2
U+1206D, \xf0\x92\x81\xad, CUNEIFORM SIGN DAG KISIM5 TIMES USH
U+1206E, \xf0\x92\x81\xae, CUNEIFORM SIGN DAM
U+1206F, \xf0\x92\x81\xaf, CUNEIFORM SIGN DAR
U+12070, \xf0\x92\x81\xb0, CUNEIFORM SIGN DARA3
U+12071, \xf0\x92\x81\xb1, CUNEIFORM SIGN DARA4
U+12072, \xf0\x92\x81\xb2, CUNEIFORM SIGN DI
U+12073, \xf0\x92\x81\xb3, CUNEIFORM SIGN DIB
U+12074, \xf0\x92\x81\xb4, CUNEIFORM SIGN DIM
U+12075, \xf0\x92\x81\xb5, CUNEIFORM SIGN DIM TIMES SHE
U+12076, \xf0\x92\x81\xb6, CUNEIFORM SIGN DIM2
U+12077, \xf0\x92\x81\xb7, CUNEIFORM SIGN DIN
U+12078, \xf0\x92\x81\xb8, CUNEIFORM SIGN DIN KASKAL U GUNU DISH
U+12079, \xf0\x92\x81\xb9, CUNEIFORM SIGN DISH
U+1207A, \xf0\x92\x81\xba, CUNEIFORM SIGN DU
U+1207B, \xf0\x92\x81\xbb, CUNEIFORM SIGN DU OVER DU
U+1207C, \xf0\x92\x81\xbc, CUNEIFORM SIGN DU GUNU
U+1207D, \xf0\x92\x81\xbd, CUNEIFORM SIGN DU SHESHIG
U+1207E, \xf0\x92\x81\xbe, CUNEIFORM SIGN DUB
U+1207F, \xf0\x92\x81\xbf, CUNEIFORM SIGN DUB TIMES ESH2
U+12080, \xf0\x92\x82\x80, CUNEIFORM SIGN DUB2
U+12081, \xf0\x92\x82\x81, CUNEIFORM SIGN DUG
U+12082, \xf0\x92\x82\x82, CUNEIFORM SIGN DUGUD
U+12083, \xf0\x92\x82\x83, CUNEIFORM SIGN DUH
U+12084, \xf0\x92\x82\x84, CUNEIFORM SIGN DUN
U+12085, \xf0\x92\x82\x85, CUNEIFORM SIGN DUN3
U+12086, \xf0\x92\x82\x86, CUNEIFORM SIGN DUN3 GUNU
U+12087, \xf0\x92\x82\x87, CUNEIFORM SIGN DUN3 GUNU GUNU
U+12088, \xf0\x92\x82\x88, CUNEIFORM SIGN DUN4
U+12089, \xf0\x92\x82\x89, CUNEIFORM SIGN DUR2
U+1208A, \xf0\x92\x82\x8a, CUNEIFORM SIGN E
U+1208B, \xf0\x92\x82\x8b, CUNEIFORM SIGN E TIMES PAP
U+1208C, \xf0\x92\x82\x8c, CUNEIFORM SIGN E OVER E NUN OVER NUN
U+1208D, \xf0\x92\x82\x8d, CUNEIFORM SIGN E2
U+1208E, \xf0\x92\x82\x8e, CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA
U+1208F, \xf0\x92\x82\x8f, CUNEIFORM SIGN E2 TIMES GAR
U+12090, \xf0\x92\x82\x90, CUNEIFORM SIGN E2 TIMES MI
U+12091, \xf0\x92\x82\x91, CUNEIFORM SIGN E2 TIMES SAL
U+12092, \xf0\x92\x82\x92, CUNEIFORM SIGN E2 TIMES SHE
U+12093, \xf0\x92\x82\x93, CUNEIFORM SIGN E2 TIMES U
U+12094, \xf0\x92\x82\x94, CUNEIFORM SIGN EDIN
U+12095, \xf0\x92\x82\x95, CUNEIFORM SIGN EGIR
U+12096, \xf0\x92\x82\x96, CUNEIFORM SIGN EL
U+12097, \xf0\x92\x82\x97, CUNEIFORM SIGN EN
U+12098, \xf0\x92\x82\x98, CUNEIFORM SIGN EN TIMES GAN2
U+12099, \xf0\x92\x82\x99, CUNEIFORM SIGN EN TIMES GAN2 TENU
U+1209A, \xf0\x92\x82\x9a, CUNEIFORM SIGN EN TIMES ME
U+1209B, \xf0\x92\x82\x9b, CUNEIFORM SIGN EN CROSSING EN
U+1209C, \xf0\x92\x82\x9c, CUNEIFORM SIGN EN OPPOSING EN
U+1209D, \xf0\x92\x82\x9d, CUNEIFORM SIGN EN SQUARED
U+1209E, \xf0\x92\x82\x9e, CUNEIFORM SIGN EREN
U+1209F, \xf0\x92\x82\x9f, CUNEIFORM SIGN ERIN2
U+120A0, \xf0\x92\x82\xa0, CUNEIFORM SIGN ESH2
U+120A1, \xf0\x92\x82\xa1, CUNEIFORM SIGN EZEN
U+120A2, \xf0\x92\x82\xa2, CUNEIFORM SIGN EZEN TIMES A
U+120A3, \xf0\x92\x82\xa3, CUNEIFORM SIGN EZEN TIMES A PLUS LAL
U+120A4, \xf0\x92\x82\xa4, CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL
U+120A5, \xf0\x92\x82\xa5, CUNEIFORM SIGN EZEN TIMES AN
U+120A6, \xf0\x92\x82\xa6, CUNEIFORM SIGN EZEN TIMES BAD
U+120A7, \xf0\x92\x82\xa7, CUNEIFORM SIGN EZEN TIMES DUN3 GUNU
U+120A8, \xf0\x92\x82\xa8, CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU
U+120A9, \xf0\x92\x82\xa9, CUNEIFORM SIGN EZEN TIMES HA
U+120AA, \xf0\x92\x82\xaa, CUNEIFORM SIGN EZEN TIMES HA GUNU
U+120AB, \xf0\x92\x82\xab, CUNEIFORM SIGN EZEN TIMES IGI GUNU
U+120AC, \xf0\x92\x82\xac, CUNEIFORM SIGN EZEN TIMES KASKAL
U+120AD, \xf0\x92\x82\xad, CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED
U+120AE, \xf0\x92\x82\xae, CUNEIFORM SIGN EZEN TIMES KU3
U+120AF, \xf0\x92\x82\xaf, CUNEIFORM SIGN EZEN TIMES LA
U+120B0, \xf0\x92\x82\xb0, CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL
U+120B1, \xf0\x92\x82\xb1, CUNEIFORM SIGN EZEN TIMES LI
U+120B2, \xf0\x92\x82\xb2, CUNEIFORM SIGN EZEN TIMES LU
U+120B3, \xf0\x92\x82\xb3, CUNEIFORM SIGN EZEN TIMES U2
U+120B4, \xf0\x92\x82\xb4, CUNEIFORM SIGN EZEN TIMES UD
U+120B5, \xf0\x92\x82\xb5, CUNEIFORM SIGN GA
U+120B6, \xf0\x92\x82\xb6, CUNEIFORM SIGN GA GUNU
U+120B7, \xf0\x92\x82\xb7, CUNEIFORM SIGN GA2
U+120B8, \xf0\x92\x82\xb8, CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA
U+120B9, \xf0\x92\x82\xb9, CUNEIFORM SIGN GA2 TIMES A PLUS HA
U+120BA, \xf0\x92\x82\xba, CUNEIFORM SIGN GA2 TIMES A PLUS IGI
U+120BB, \xf0\x92\x82\xbb, CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB
U+120BC, \xf0\x92\x82\xbc, CUNEIFORM SIGN GA2 TIMES AN
U+120BD, \xf0\x92\x82\xbd, CUNEIFORM SIGN GA2 TIMES ASH
U+120BE, \xf0\x92\x82\xbe, CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL
U+120BF, \xf0\x92\x82\xbf, CUNEIFORM SIGN GA2 TIMES BAD
U+120C0, \xf0\x92\x83\x80, CUNEIFORM SIGN GA2 TIMES BAR PLUS RA
U+120C1, \xf0\x92\x83\x81, CUNEIFORM SIGN GA2 TIMES BUR
U+120C2, \xf0\x92\x83\x82, CUNEIFORM SIGN GA2 TIMES BUR PLUS RA
U+120C3, \xf0\x92\x83\x83, CUNEIFORM SIGN GA2 TIMES DA
U+120C4, \xf0\x92\x83\x84, CUNEIFORM SIGN GA2 TIMES DI
U+120C5, \xf0\x92\x83\x85, CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE
U+120C6, \xf0\x92\x83\x86, CUNEIFORM SIGN GA2 TIMES DUB
U+120C7, \xf0\x92\x83\x87, CUNEIFORM SIGN GA2 TIMES EL
U+120C8, \xf0\x92\x83\x88, CUNEIFORM SIGN GA2 TIMES EL PLUS LA
U+120C9, \xf0\x92\x83\x89, CUNEIFORM SIGN GA2 TIMES EN
