# Musical Symbols
U+1D160, \xf0\x9d\x85\xa0, MUSICAL SYMBOL EIGHTH NOTE
U+1D161, \xf0\x9d\x85\xa1, MUSICAL SYMBOL SIXTEENTH NOTE
U+1D162, \xf0\x9d\x85\xa2, MUSICAL SYMBOL THIRTY-SECOND NOTE
U+1D163, \xf0\x9d\x85\xa3, MUSICAL SYMBOL SIXTY-FOURTH NOTE
U+1D164, \xf0\x9d\x85\xa4, MUSICAL SYMBOL ONE HUNDRED TWENTY-EIGHTH NOTE
U+1D165, \xf0\x9d\x85\xa5, MUSICAL SYMBOL COMBINING STEM
U+1D166, \xf0\x9d\x85\xa6, MUSICAL SYMBOL COMBINING SPRECHGESANG STEM
U+1D167, \xf0\x9d\x85\xa7, MUSICAL SYMBOL COMBINING TREMOLO-1
U+1D168, \xf0\x9d\x85\xa8, MUSICAL SYMBOL COMBINING TREMOLO-2
U+1D169, \xf0\x9d\x85\xa9, MUSICAL SYMBOL COMBINING TREMOLO-3
U+1D16A, \xf0\x9d\x85\xaa, MUSICAL SYMBOL FINGERED TREMOLO-1
U+1D16B, \xf0\x9d\x85\xab, MUSICAL SYMBOL FINGERED TREMOLO-2
U+1D16C, \xf0\x9d\x85\xac, MUSICAL SYMBOL FINGERED TREMOLO-3
U+1D16D, \xf0\x9d\x85\xad, MUSICAL SYMBOL COMBINING AUGMENTATION DOT
U+1D16E, \xf0\x9d\x85\xae, MUSICAL SYMBOL COMBINING FLAG-1
U+1D16F, \xf0\x9d\x85\xaf, MUSICAL SYMBOL COMBINING FLAG-2
U+1D170, \xf0\x9d\x85\xb0, MUSICAL SYMBOL COMBINING FLAG-3
U+1D171, \xf0\x9d\x85\xb1, MUSICAL SYMBOL COMBINING FLAG-4
U+1D172, \xf0\x9d\x85\xb2, MUSICAL SYMBOL COMBINING FLAG-5
U+1D173, \xf0\x9d\x85\xb3, MUSICAL SYMBOL BEGIN BEAM
U+1D174, \xf0\x9d\x85\xb4, MUSICAL SYMBOL END BEAM
U+1D175, \xf0\x9d\x85\xb5, MUSICAL SYMBOL BEGIN TIE
U+1D176, \xf0\x9d\x85\xb6, MUSICAL SYMBOL END TIE
