# Egyptian Hieroglyphs
U+1307E, \xf0\x93\x81\xbe, EGYPTIAN HIEROGLYPH D008A
U+1307F, \xf0\x93\x81\xbf, EGYPTIAN HIEROGLYPH D009
U+13080, \xf0\x93\x82\x80, EGYPTIAN HIEROGLYPH D010
U+13081, \xf0\x93\x82\x81, EGYPTIAN HIEROGLYPH D011
U+13082, \xf0\x93\x82\x82, EGYPTIAN HIEROGLYPH D012
U+13083, \xf0\x93\x82\x83, EGYPTIAN HIEROGLYPH D013
U+13084, \xf0\x93\x82\x84, EGYPTIAN HIEROGLYPH D014
U+13085, \xf0\x93\x82\x85, EGYPTIAN HIEROGLYPH D015
U+13086, \xf0\x93\x82\x86, EGYPTIAN HIEROGLYPH D016
U+13087, \xf0\x93\x82\x87, EGYPTIAN HIEROGLYPH D017
U+13088, \xf0\x93\x82\x88, EGYPTIAN HIEROGLYPH D018
U+13089, \xf0\x93\x82\x89, EGYPTIAN HIEROGLYPH D019
U+1308A, \xf0\x93\x82\x8a, EGYPTIAN HIEROGLYPH D020
U+1308B, \xf0\x93\x82\x8b, EGYPTIAN HIEROGLYPH D021
U+1308C, \xf0\x93\x82\x8c, EGYPTIAN HIEROGLYPH D022
U+1308D, \xf0\x93\x82\x8d, EGYPTIAN HIEROGLYPH D023
U+1308E, \xf0\x93\x82\x8e, EGYPTIAN HIEROGLYPH D024
U+1308F, \xf0\x93\x82\x8f, EGYPTIAN HIEROGLYPH D025
U+13090, \xf0\x93\x82\x90, EGYPTIAN HIEROGLYPH D026
U+13091, \xf0\x93\x82\x91, EGYPTIAN HIEROGLYPH D027
U+13092, \xf0\x93\x82\x92, EGYPTIAN HIEROGLYPH D027A
U+13093, \xf0\x93\x82\x93, EGYPTIAN HIEROGLYPH D028
U+13094, \xf0\x93\x82\x94, EGYPTIAN HIEROGLYPH D029
U+13095, \xf0\x93\x82\x95, EGYPTIAN HIEROGLYPH D030
U+13096, \xf0\x93\x82\x96, EGYPTIAN HIEROGLYPH D031
U+13097, \xf0\x93\x82\x97, EGYPTIAN HIEROGLYPH D031A
U+13098, \xf0\x93\x82\x98, EGYPTIAN HIEROGLYPH D032
U+13099, \xf0\x93\x82\x99, EGYPTIAN HIEROGLYPH D033
U+1309A, \xf0\x93\x82\x9a, EGYPTIAN HIEROGLYPH D034
U+1309B, \xf0\x93\x82\x9b, EGYPTIAN HIEROGLYPH D034A
U+1309C, \xf0\x93\x82\x9c, EGYPTIAN HIEROGLYPH D035
U+1309D, \xf0\x93\x82\x9d, EGYPTIAN HIEROGLYPH D036
U+1309E, \xf0\x93\x82\x9e, EGYPTIAN HIEROGLYPH D037
U+1309F, \xf0\x93\x82\x9f, EGYPTIAN HIEROGLYPH D038
U+130A0, \xf0\x93\x82\xa0, EGYPTIAN HIEROGLYPH D039
U+130A1, \xf0\x93\x82\xa1, EGYPTIAN HIEROGLYPH D040
U+130A2, \xf0\x93\x82\xa2, EGYPTIAN HIEROGLYPH D041
U+130A3, \xf0\x93\x82\xa3, EGYPTIAN HIEROGLYPH D042
U+130A4, \xf0\x93\x82\xa4, EGYPTIAN HIEROGLYPH D043
U+130A5, \xf0\x93\x82\xa5, EGYPTIAN HIEROGLYPH D044
U+130A6, \xf0\x93\x82\xa6, EGYPTIAN HIEROGLYPH D045
U+130A7, \xf0\x93\x82\xa7, EGYPTIAN HIEROGLYPH D046
U+130A8, \xf0\x93\x82\xa8, EGYPTIAN HIEROGLYPH D046A
U+130A9, \xf0\x93\x82\xa9, EGYPTIAN HIEROGLYPH D047
U+130AA, \xf0\x93\x82\xaa, EGYPTIAN HIEROGLYPH D048
U+130AB, \xf0\x93\x82\xab, EGYPTIAN HIEROGLYPH D048A
U+130AC, \xf0\x93\x82\xac, EGYPTIAN HIEROGLYPH D049
U+130AD, \xf0\x93\x82\xad, EGYPTIAN HIEROGLYPH D050
U+130AE, \xf0\x93\x82\xae, EGYPTIAN HIEROGLYPH D050A
U+130AF, \xf0\x93\x82\xaf, EGYPTIAN HIEROGLYPH D050B
U+130B0, \xf0\x93\x82\xb0, EGYPTIAN HIEROGLYPH D050C
U+130B1, \xf0\x93\x82\xb1, EGYPTIAN HIEROGLYPH D050D
U+130B2, \xf0\x93\x82\xb2, EGYPTIAN HIEROGLYPH D050E
U+130B3, \xf0\x93\x82\xb3, EGYPTIAN HIEROGLYPH D050F
U+130B4, \xf0\x93\x82\xb4, EGYPTIAN HIEROGLYPH D050G
U+130B5, \xf0\x93\x82\xb5, EGYPTIAN HIEROGLYPH D050H
U+130B6, \xf0\x93\x82\xb6, EGYPTIAN HIEROGLYPH D050I
U+130B7, \xf0\x93\x82\xb7, EGYPTIAN HIEROGLYPH D051
U+130B8, \xf0\x93\x82\xb8, EGYPTIAN HIEROGLYPH D052
U+130B9, \xf0\x93\x82\xb9, EGYPTIAN HIEROGLYPH D052A
U+130BA, \xf0\x93\x82\xba, EGYPTIAN HIEROGLYPH D053
U+130BB, \xf0\x93\x82\xbb, EGYPTIAN HIEROGLYPH D054
U+130BC, \xf0\x93\x82\xbc, EGYPTIAN HIEROGLYPH D054A
U+130BD, \xf0\x93\x82\xbd, EGYPTIAN HIEROGLYPH D055
U+130BE, \xf0\x93\x82\xbe, EGYPTIAN HIEROGLYPH D056
U+130BF, \xf0\x93\x82\xbf, EGYPTIAN HIEROGLYPH D057
U+130C0, \xf0\x93\x83\x80, EGYPTIAN HIEROGLYPH D058
U+130C1, \xf0\x93\x83\x81, EGYPTIAN HIEROGLYPH D059
U+130C2, \xf0\x93\x83\x82, EGYPTIAN HIEROGLYPH D060
