# Combining Diacritical Marks Supplement
U+1EB0, \xe1\xba\xb0, LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
U+1EB1, \xe1\xba\xb1, LATIN SMALL LETTER A WITH BREVE AND GRAVE
U+1EB2, \xe1\xba\xb2, LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
U+1EB3, \xe1\xba\xb3, LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE
U+1EB4, \xe1\xba\xb4, LATIN CAPITAL LETTER A WITH BREVE AND TILDE
U+1EB5, \xe1\xba\xb5, LATIN SMALL LETTER A WITH BREVE AND TILDE
U+1EB6, \xe1\xba\xb6, LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
U+1EB7, \xe1\xba\xb7, LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
U+1EB8, \xe1\xba\xb8, LATIN CAPITAL LETTER E WITH DOT BELOW
U+1EB9, \xe1\xba\xb9, LATIN SMALL LETTER E WITH DOT BELOW
U+1EBA, \xe1\xba\xba, LATIN CAPITAL LETTER E WITH HOOK ABOVE
U+1EBB, \xe1\xba\xbb, LATIN SMALL LETTER E WITH HOOK ABOVE
U+1EBC, \xe1\xba\xbc, LATIN CAPITAL LETTER E WITH TILDE
U+1EBD, \xe1\xba\xbd, LATIN SMALL LETTER E WITH TILDE
U+1EBE, \xe1\xba\xbe, LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
U+1EBF, \xe1\xba\xbf, LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
