# Cyrillic Extended-B
U+A72A, \xea\x9c\xaa, LATIN CAPITAL LETTER TRESILLO
U+A72B, \xea\x9c\xab, LATIN SMALL LETTER TRESILLO
U+A72C, \xea\x9c\xac, LATIN CAPITAL LETTER CUATRILLO
U+A72D, \xea\x9c\xad, LATIN SMALL LETTER CUATRILLO
U+A72E, \xea\x9c\xae, LATIN CAPITAL LETTER CUATRILLO WITH COMMA
U+A72F, \xea\x9c\xaf, LATIN SMALL LETTER CUATRILLO WITH COMMA
U+A730, \xea\x9c\xb0, LATIN LETTER SMALL CAPITAL F
U+A731, \xea\x9c\xb1, LATIN LETTER SMALL CAPITAL S
U+A732, \xea\x9c\xb2, LATIN CAPITAL LETTER AA
U+A733, \xea\x9c\xb3, LATIN SMALL LETTER AA
U+A734, \xea\x9c\xb4, LATIN CAPITAL LETTER AO
U+A735, \xea\x9c\xb5, LATIN SMALL LETTER AO
U+A736, \xea\x9c\xb6, LATIN CAPITAL LETTER AU
U+A737, \xea\x9c\xb7, LATIN SMALL LETTER AU
U+A738, \xea\x9c\xb8, LATIN CAPITAL LETTER AV
U+A739, \xea\x9c\xb9, LATIN SMALL LETTER AV
U+A73A, \xea\x9c\xba, LATIN CAPITAL LETTER AV WITH HORIZONTAL BAR
U+A73B, \xea\x9c\xbb, LATIN SMALL LETTER AV WITH HORIZONTAL BAR
U+A73C, \xea\x9c\xbc, LATIN CAPITAL LETTER AY
U+A73D, \xea\x9c\xbd, LATIN SMALL LETTER AY
U+A73E, \xea\x9c\xbe, LATIN CAPITAL LETTER REVERSED C WITH DOT
U+A73F, \xea\x9c\xbf, LATIN SMALL LETTER REVERSED C WITH DOT
