# Myanmar
U+108B, \xe1\x82\x8b, MYANMAR SIGN SHAN COUNCIL TONE-2
U+108C, \xe1\x82\x8c, MYANMAR SIGN SHAN COUNCIL TONE-3
U+108D, \xe1\x82\x8d, MYANMAR SIGN SHAN COUNCIL EMPHATIC TONE
U+108E, \xe1\x82\x8e, MYANMAR LETTER RUMAI PALAUNG FA
U+108F, \xe1\x82\x8f, MYANMAR SIGN RUMAI PALAUNG TONE-5
U+1090, \xe1\x82\x90, MYANMAR SHAN DIGIT ZERO
U+1091, \xe1\x82\x91, MYANMAR SHAN DIGIT ONE
U+1092, \xe1\x82\x92, MYANMAR SHAN DIGIT TWO
U+1093, \xe1\x82\x93, MYANMAR SHAN DIGIT THREE
U+1094, \xe1\x82\x94, MYANMAR SHAN DIGIT FOUR
U+1095, \xe1\x82\x95, MYANMAR SHAN DIGIT FIVE
U+1096, \xe1\x82\x96, MYANMAR SHAN DIGIT SIX
U+1097, \xe1\x82\x97, MYANMAR SHAN DIGIT SEVEN
U+1098, \xe1\x82\x98, MYANMAR SHAN DIGIT EIGHT
U+1099, \xe1\x82\x99, MYANMAR SHAN DIGIT NINE
U+109A, \xe1\x82\x9a, MYANMAR SIGN KHAMTI TONE-1
U+109B, \xe1\x82\x9b, MYANMAR SIGN KHAMTI TONE-3
U+109C, \xe1\x82\x9c, MYANMAR VOWEL SIGN AITON A
U+109D, \xe1\x82\x9d, MYANMAR VOWEL SIGN AITON AI
U+109E, \xe1\x82\x9e, MYANMAR SYMBOL SHAN ONE
U+109F, \xe1\x82\x9f, MYANMAR SYMBOL SHAN EXCLAMATION
U+10A0, \xe1\x82\xa0, GEORGIAN CAPITAL LETTER AN
U+10A1, \xe1\x82\xa1, GEORGIAN CAPITAL LETTER BAN
U+10A2, \xe1\x82\xa2, GEORGIAN CAPITAL LETTER GAN
U+10A3, \xe1\x82\xa3, GEORGIAN CAPITAL LETTER DON
U+10A4, \xe1\x82\xa4, GEORGIAN CAPITAL LETTER EN
U+10A5, \xe1\x82\xa5, GEORGIAN CAPITAL LETTER VIN
U+10A6, \xe1\x82\xa6, GEORGIAN CAPITAL LETTER ZEN
