# Mathematical Alphanumeric Symbols
U+1D466, \xf0\x9d\x91\xa6, MATHEMATICAL ITALIC SMALL Y
U+1D467, \xf0\x9d\x91\xa7, MATHEMATICAL ITALIC SMALL Z
U+1D468, \xf0\x9d\x91\xa8, MATHEMATICAL BOLD ITALIC CAPITAL A
U+1D469, \xf0\x9d\x91\xa9, MATHEMATICAL BOLD ITALIC CAPITAL B
U+1D46A, \xf0\x9d\x91\xaa, MATHEMATICAL BOLD ITALIC CAPITAL C
U+1D46B, \xf0\x9d\x91\xab, MATHEMATICAL BOLD ITALIC CAPITAL D
U+1D46C, \xf0\x9d\x91\xac, MATHEMATICAL BOLD ITALIC CAPITAL E
U+1D46D, \xf0\x9d\x91\xad, MATHEMATICAL BOLD ITALIC CAPITAL F
U+1D46E, \xf0\x9d\x91\xae, MATHEMATICAL BOLD ITALIC CAPITAL G
U+1D46F, \xf0\x9d\x91\xaf, MATHEMATICAL BOLD ITALIC CAPITAL H
U+1D470, \xf0\x9d\x91\xb0, MATHEMATICAL BOLD ITALIC CAPITAL I
U+1D471, \xf0\x9d\x91\xb1, MATHEMATICAL BOLD ITALIC CAPITAL J
U+1D472, \xf0\x9d\x91\xb2, MATHEMATICAL BOLD ITALIC CAPITAL K
U+1D473, \xf0\x9d\x91\xb3, MATHEMATICAL BOLD ITALIC CAPITAL L
U+1D474, \xf0\x9d\x91\xb4, MATHEMATICAL BOLD ITALIC CAPITAL M
U+1D475, \xf0\x9d\x91\xb5, MATHEMATICAL BOLD ITALIC CAPITAL N
U+1D476, \xf0\x9d\x91\xb6, MATHEMATICAL BOLD ITALIC CAPITAL O
U+1D477, \xf0\x9d\x91\xb7, MATHEMATICAL BOLD ITALIC CAPITAL P
U+1D478, \xf0\x9d\x91\xb8, MATHEMATICAL BOLD ITALIC CAPITAL Q
U+1D479, \xf0\x9d\x91\xb9, MATHEMATICAL BOLD ITALIC CAPITAL R
U+1D47A, \xf0\x9d\x91\xba, MATHEMATICAL BOLD ITALIC CAPITAL S
U+1D47B, \xf0\x9d\x91\xbb, MATHEMATICAL BOLD ITALIC CAPITAL T
U+1D47C, \xf0\x9d\x91\xbc, MATHEMATICAL BOLD ITALIC CAPITAL U
U+1D47D, \xf0\x9d\x91\xbd, MATHEMATICAL BOLD ITALIC CAPITAL V
U+1D47E, \xf0\x9d\x91\xbe, MATHEMATICAL BOLD ITALIC CAPITAL W
U+1D47F, \xf0\x9d\x91\xbf, MATHEMATICAL BOLD ITALIC CAPITAL X
U+1D480, \xf0\x9d\x92\x80, MATHEMATICAL BOLD ITALIC CAPITAL Y
U+1D481, \xf0\x9d\x92\x81, MATHEMATICAL BOLD ITALIC CAPITAL Z
U+1D482, \xf0\x9d\x92\x82, MATHEMATICAL BOLD ITALIC SMALL A
U+1D483, \xf0\x9d\x92\x83, MATHEMATICAL BOLD ITALIC SMALL B
U+1D484, \xf0\x9d\x92\x84, MATHEMATICAL BOLD ITALIC SMALL C
U+1D485, \xf0\x9d\x92\x85, MATHEMATICAL BOLD ITALIC SMALL D
U+1D486, \xf0\x9d\x92\x86, MATHEMATICAL BOLD ITALIC SMALL E
U+1D487, \xf0\x9d\x92\x87, MATHEMATICAL BOLD ITALIC SMALL F
U+1D488, \xf0\x9d\x92\x88, MATHEMATICAL BOLD ITALIC SMALL G
U+1D489, \xf0\x9d\x92\x89, MATHEMATICAL BOLD ITALIC SMALL H
U+1D48A, \xf0\x9d\x92\x8a, MATHEMATICAL BOLD ITALIC SMALL I
U+1D48B, \xf0\x9d\x92\x8b, MATHEMATICAL BOLD ITALIC SMALL J
U+1D48C, \xf0\x9d\x92\x8c, MATHEMATICAL BOLD ITALIC SMALL K
U+1D48D, \xf0\x9d\x92\x8d, MATHEMATICAL BOLD ITALIC SMALL L
U+1D48E, \xf0\x9d\x92\x8e, MATHEMATICAL BOLD ITALIC SMALL M
U+1D48F, \xf0\x9d\x92\x8f, MATHEMATICAL BOLD ITALIC SMALL N
U+1D490, \xf0\x9d\x92\x90, MATHEMATICAL BOLD ITALIC SMALL O
U+1D491, \xf0\x9d\x92\x91, MATHEMATICAL BOLD ITALIC SMALL P
U+1D492, \xf0\x9d\x92\x92, MATHEMATICAL BOLD ITALIC SMALL Q
U+1D493, \xf0\x9d\x92\x93, MATHEMATICAL BOLD ITALIC SMALL R
U+1D494, \xf0\x9d\x92\x94, MATHEMATICAL BOLD ITALIC SMALL S
U+1D495, \xf0\x9d\x92\x95, MATHEMATICAL BOLD ITALIC SMALL T
U+1D496, \xf0\x9d\x92\x96, MATHEMATICAL BOLD ITALIC SMALL U
U+1D497, \xf0\x9d\x92\x97, MATHEMATICAL BOLD ITALIC SMALL V
U+1D498, \xf0\x9d\x92\x98, MATHEMATICAL BOLD ITALIC SMALL W
U+1D499, \xf0\x9d\x92\x99, MATHEMATICAL BOLD ITALIC SMALL X
U+1D49A, \xf0\x9d\x92\x9a, MATHEMATICAL BOLD ITALIC SMALL Y
U+1D49B, \xf0\x9d\x92\x9b, MATHEMATICAL BOLD ITALIC SMALL Z
U+1D49C, \xf0\x9d\x92\x9c, MATHEMATICAL SCRIPT CAPITAL A
U+1D49E, \xf0\x9d\x92\x9e, MATHEMATICAL SCRIPT CAPITAL C
U+1D49F, \xf0\x9d\x92\x9f, MATHEMATICAL SCRIPT CAPITAL D
U+1D4A2, \xf0\x9d\x92\xa2, MATHEMATICAL SCRIPT CAPITAL G
U+1D4A5, \xf0\x9d\x92\xa5, MATHEMATICAL SCRIPT CAPITAL J
U+1D4A6, \xf0\x9d\x92\xa6, MATHEMATICAL SCRIPT CAPITAL K
U+1D4A9, \xf0\x9d\x92\xa9, MATHEMATICAL SCRIPT CAPITAL N
U+1D4AA, \xf0\x9d\x92\xaa, MATHEMATICAL SCRIPT CAPITAL O
U+1D4AB, \xf0\x9d\x92\xab, MATHEMATICAL SCRIPT CAPITAL P
U+1D4AC, \xf0\x9d\x92\xac, MATHEMATICAL SCRIPT CAPITAL Q
U+1D4AE, \xf0\x9d\x92\xae, MATHEMATICAL SCRIPT CAPITAL S
U+1D4AF, \xf0\x9d\x92\xaf, MATHEMATICAL SCRIPT CAPITAL T
U+1D4B0, \xf0\x9d\x92\xb0, MATHEMATICAL SCRIPT CAPITAL U
U+1D4B1, \xf0\x9d\x92\xb1, MATHEMATICAL SCRIPT CAPITAL V
U+1D4B2, \xf0\x9d\x92\xb2, MATHEMATICAL SCRIPT CAPITAL W
U+1D4B3, \xf0\x9d\x92\xb3, MATHEMATICAL SCRIPT CAPITAL X
U+1D4B4, \xf0\x9d\x92\xb4, MATHEMATICAL SCRIPT CAPITAL Y
U+1D4B5, \xf0\x9d\x92\xb5, MATHEMATICAL SCRIPT CAPITAL Z
U+1D4B6, \xf0\x9d\x92\xb6, MATHEMATICAL SCRIPT SMALL A
U+1D4B7, \xf0\x9d\x92\xb7, MATHEMATICAL SCRIPT SMALL B
U+1D4B8, \xf0\x9d\x92\xb8, MATHEMATICAL SCRIPT SMALL C
U+1D4B9, \xf0\x9d\x92\xb9, MATHEMATICAL SCRIPT SMALL D
U+1D4BB, \xf0\x9d\x92\xbb, MATHEMATICAL SCRIPT SMALL F
U+1D4BD, \xf0\x9d\x92\xbd, MATHEMATICAL SCRIPT SMALL H
U+1D4BE, \xf0\x9d\x92\xbe, MATHEMATICAL SCRIPT SMALL I
U+1D4BF, \xf0\x9d\x92\xbf, MATHEMATICAL SCRIPT SMALL J
U+1D4C0, \xf0\x9d\x93\x80, MATHEMATICAL SCRIPT SMALL K
U+1D4C1, \xf0\x9d\x93\x81, MATHEMATICAL SCRIPT SMALL L
U+1D4C2, \xf0\x9d\x93\x82, MATHEMATICAL SCRIPT SMALL M
U+1D4C3, \xf0\x9d\x93\x83, MATHEMATICAL SCRIPT SMALL N
U+1D4C5, \xf0\x9d\x93\x85, MATHEMATICAL SCRIPT SMALL P
U+1D4C6, \xf0\x9d\x93\x86, MATHEMATICAL SCRIPT SMALL Q
U+1D4C7, \xf0\x9d\x93\x87, MATHEMATICAL SCRIPT SMALL R
U+1D4C8, \xf0\x9d\x93\x88, MATHEMATICAL SCRIPT SMALL S
U+1D4C9, \xf0\x9d\x93\x89, MATHEMATICAL SCRIPT SMALL T
U+1D4CA, \xf0\x9d\x93\x8a, MATHEMATICAL SCRIPT SMALL U
U+1D4CB, \xf0\x9d\x93\x8b, MATHEMATICAL SCRIPT SMALL V
U+1D4CC, \xf0\x9d\x93\x8c, MATHEMATICAL SCRIPT SMALL W
U+1D4CD, \xf0\x9d\x93\x8d, MATHEMATICAL SCRIPT SMALL X
U+1D4CE, \xf0\x9d\x93\x8e, MATHEMATICAL SCRIPT SMALL Y
U+1D4CF, \xf0\x9d\x93\x8f, MATHEMATICAL SCRIPT SMALL Z
U+1D4D0, \xf0\x9d\x93\x90, MATHEMATICAL BOLD SCRIPT CAPITAL A
U+1D4D1, \xf0\x9d\x93\x91, MATHEMATICAL BOLD SCRIPT CAPITAL B
U+1D4D2, \xf0\x9d\x93\x92, MATHEMATICAL BOLD SCRIPT CAPITAL C
U+1D4D3, \xf0\x9d\x93\x93, MATHEMATICAL BOLD SCRIPT CAPITAL D
U+1D4D4, \xf0\x9d\x93\x94, MATHEMATICAL BOLD SCRIPT CAPITAL E
U+1D4D5, \xf0\x9d\x93\x95, MATHEMATICAL BOLD SCRIPT CAPITAL F
U+1D4D6, \xf0\x9d\x93\x96, MATHEMATICAL BOLD SCRIPT CAPITAL G
U+1D4D7, \xf0\x9d\x93\x97, MATHEMATICAL BOLD SCRIPT CAPITAL H
U+1D4D8, \xf0\x9d\x93\x98, MATHEMATICAL BOLD SCRIPT CAPITAL I
U+1D4D9, \xf0\x9d\x93\x99, MATHEMATICAL BOLD SCRIPT CAPITAL J
U+1D4DA, \xf0\x9d\x93\x9a, MATHEMATICAL BOLD SCRIPT CAPITAL K
U+1D4DB, \xf0\x9d\x93\x9b, MATHEMATICAL BOLD SCRIPT CAPITAL L
U+1D4DC, \xf0\x9d\x93\x9c, MATHEMATICAL BOLD SCRIPT CAPITAL M
U+1D4DD, \xf0\x9d\x93\x9d, MATHEMATICAL BOLD SCRIPT CAPITAL N
U+1D4DE, \xf0\x9d\x93\x9e, MATHEMATICAL BOLD SCRIPT CAPITAL O
U+1D4DF, \xf0\x9d\x93\x9f, MATHEMATICAL BOLD SCRIPT CAPITAL P
U+1D4E0, \xf0\x9d\x93\xa0, MATHEMATICAL BOLD SCRIPT CAPITAL Q
U+1D4E1, \xf0\x9d\x93\xa1, MATHEMATICAL BOLD SCRIPT CAPITAL R
U+1D4E2, \xf0\x9d\x93\xa2, MATHEMATICAL BOLD SCRIPT CAPITAL S
U+1D4E3, \xf0\x9d\x93\xa3, MATHEMATICAL BOLD SCRIPT CAPITAL T
U+1D4E4, \xf0\x9d\x93\xa4, MATHEMATICAL BOLD SCRIPT CAPITAL U
U+1D4E5, \xf0\x9d\x93\xa5, MATHEMATICAL BOLD SCRIPT CAPITAL V
U+1D4E6, \xf0\x9d\x93\xa6, MATHEMATICAL BOLD SCRIPT CAPITAL W
U+1D4E7, \xf0\x9d\x93\xa7, MATHEMATICAL BOLD SCRIPT CAPITAL X
U+1D4E8, \xf0\x9d\x93\xa8, MATHEMATICAL BOLD SCRIPT CAPITAL Y
U+1D4E9, \xf0\x9d\x93\xa9, MATHEMATICAL BOLD SCRIPT CAPITAL Z
U+1D4EA, \xf0\x9d\x93\xaa, MATHEMATICAL BOLD SCRIPT SMALL A
U+1D4EB, \xf0\x9d\x93\xab, MATHEMATICAL BOLD SCRIPT SMALL B
U+1D4EC, \xf0\x9d\x93\xac, MATHEMATICAL BOLD SCRIPT SMALL C
U+1D4ED, \xf0\x9d\x93\xad, MATHEMATICAL BOLD SCRIPT SMALL D
U+1D4EE, \xf0\x9d\x93\xae, MATHEMATICAL BOLD SCRIPT SMALL E
U+1D4EF, \xf0\x9d\x93\xaf, MATHEMATICAL BOLD SCRIPT SMALL F
U+1D4F0, \xf0\x9d\x93\xb0, MATHEMATICAL BOLD SCRIPT SMALL G
U+1D4F1, \xf0\x9d\x93\xb1, MATHEMATICAL BOLD SCRIPT SMALL H
U+1D4F2, \xf0\x9d\x93\xb2, MATHEMATICAL BOLD SCRIPT SMALL I
U+1D4F3, \xf0\x9d\x93\xb3, MATHEMATICAL BOLD SCRIPT SMALL J
U+1D4F4, \xf0\x9d\x93\xb4, MATHEMATICAL BOLD SCRIPT SMALL K
