# Vai
U+A591, \xea\x96\x91, VAI SYLLABLE GOO
U+A592, \xea\x96\x92, VAI SYLLABLE MOO
U+A593, \xea\x96\x93, VAI SYLLABLE NOO
U+A594, \xea\x96\x94, VAI SYLLABLE NYOO
U+A595, \xea\x96\x95, VAI SYLLABLE U
U+A596, \xea\x96\x96, VAI SYLLABLE UN
U+A597, \xea\x96\x97, VAI SYLLABLE HU
U+A598, \xea\x96\x98, VAI SYLLABLE HUN
U+A599, \xea\x96\x99, VAI SYLLABLE WU
U+A59A, \xea\x96\x9a, VAI SYLLABLE WUN
U+A59B, \xea\x96\x9b, VAI SYLLABLE PU
U+A59C, \xea\x96\x9c, VAI SYLLABLE BHU
U+A59D, \xea\x96\x9d, VAI SYLLABLE BU
U+A59E, \xea\x96\x9e, VAI SYLLABLE MBU
U+A59F, \xea\x96\x9f, VAI SYLLABLE KPU
U+A5A0, \xea\x96\xa0, VAI SYLLABLE MGBU
U+A5A1, \xea\x96\xa1, VAI SYLLABLE GBU
U+A5A2, \xea\x96\xa2, VAI SYLLABLE FU
U+A5A3, \xea\x96\xa3, VAI SYLLABLE VU
U+A5A4, \xea\x96\xa4, VAI SYLLABLE TU
U+A5A5, \xea\x96\xa5, VAI SYLLABLE THU
U+A5A6, \xea\x96\xa6, VAI SYLLABLE DHU
U+A5A7, \xea\x96\xa7, VAI SYLLABLE DHHU
U+A5A8, \xea\x96\xa8, VAI SYLLABLE LU
U+A5A9, \xea\x96\xa9, VAI SYLLABLE RU
U+A5AA, \xea\x96\xaa, VAI SYLLABLE DU
U+A5AB, \xea\x96\xab, VAI SYLLABLE NDU
U+A5AC, \xea\x96\xac, VAI SYLLABLE SU
U+A5AD, \xea\x96\xad, VAI SYLLABLE SHU
U+A5AE, \xea\x96\xae, VAI SYLLABLE ZU
U+A5AF, \xea\x96\xaf, VAI SYLLABLE ZHU
U+A5B0, \xea\x96\xb0, VAI SYLLABLE CU
U+A5B1, \xea\x96\xb1, VAI SYLLABLE JU
U+A5B2, \xea\x96\xb2, VAI SYLLABLE NJU
U+A5B3, \xea\x96\xb3, VAI SYLLABLE YU
U+A5B4, \xea\x96\xb4, VAI SYLLABLE KU
U+A5B5, \xea\x96\xb5, VAI SYLLABLE NGGU
U+A5B6, \xea\x96\xb6, VAI SYLLABLE GU
U+A5B7, \xea\x96\xb7, VAI SYLLABLE MU
U+A5B8, \xea\x96\xb8, VAI SYLLABLE NU
U+A5B9, \xea\x96\xb9, VAI SYLLABLE NYU
U+A5BA, \xea\x96\xba, VAI SYLLABLE O
U+A5BB, \xea\x96\xbb, VAI SYLLABLE ON
U+A5BC, \xea\x96\xbc, VAI SYLLABLE NGON
U+A5BD, \xea\x96\xbd, VAI SYLLABLE HO
U+A5BE, \xea\x96\xbe, VAI SYLLABLE HON
U+A5BF, \xea\x96\xbf, VAI SYLLABLE WO
U+A5C0, \xea\x97\x80, VAI SYLLABLE WON
U+A5C1, \xea\x97\x81, VAI SYLLABLE PO
U+A5C2, \xea\x97\x82, VAI SYLLABLE BHO
U+A5C3, \xea\x97\x83, VAI SYLLABLE BO
U+A5C4, \xea\x97\x84, VAI SYLLABLE MBO
U+A5C5, \xea\x97\x85, VAI SYLLABLE KPO
U+A5C6, \xea\x97\x86, VAI SYLLABLE MGBO
U+A5C7, \xea\x97\x87, VAI SYLLABLE GBO
U+A5C8, \xea\x97\x88, VAI SYLLABLE GBON
U+A5C9, \xea\x97\x89, VAI SYLLABLE FO
U+A5CA, \xea\x97\x8a, VAI SYLLABLE VO
U+A5CB, \xea\x97\x8b, VAI SYLLABLE TO
U+A5CC, \xea\x97\x8c, VAI SYLLABLE THO
U+A5CD, \xea\x97\x8d, VAI SYLLABLE DHO
U+A5CE, \xea\x97\x8e, VAI SYLLABLE DHHO
U+A5CF, \xea\x97\x8f, VAI SYLLABLE LO
U+A5D0, \xea\x97\x90, VAI SYLLABLE RO
U+A5D1, \xea\x97\x91, VAI SYLLABLE DO
U+A5D2, \xea\x97\x92, VAI SYLLABLE NDO
U+A5D3, \xea\x97\x93, VAI SYLLABLE SO
U+A5D4, \xea\x97\x94, VAI SYLLABLE SHO
U+A5D5, \xea\x97\x95, VAI SYLLABLE ZO
U+A5D6, \xea\x97\x96, VAI SYLLABLE ZHO
U+A5D7, \xea\x97\x97, VAI SYLLABLE CO
U+A5D8, \xea\x97\x98, VAI SYLLABLE JO
U+A5D9, \xea\x97\x99, VAI SYLLABLE NJO
U+A5DA, \xea\x97\x9a, VAI SYLLABLE YO
U+A5DB, \xea\x97\x9b, VAI SYLLABLE KO
U+A5DC, \xea\x97\x9c, VAI SYLLABLE NGGO
U+A5DD, \xea\x97\x9d, VAI SYLLABLE GO
U+A5DE, \xea\x97\x9e, VAI SYLLABLE MO
U+A5DF, \xea\x97\x9f, VAI SYLLABLE NO
U+A5E0, \xea\x97\xa0, VAI SYLLABLE NYO
U+A5E1, \xea\x97\xa1, VAI SYLLABLE E
U+A5E2, \xea\x97\xa2, VAI SYLLABLE EN
U+A5E3, \xea\x97\xa3, VAI SYLLABLE NGEN
U+A5E4, \xea\x97\xa4, VAI SYLLABLE HE
U+A5E5, \xea\x97\xa5, VAI SYLLABLE HEN
U+A5E6, \xea\x97\xa6, VAI SYLLABLE WE
U+A5E7, \xea\x97\xa7, VAI SYLLABLE WEN
U+A5E8, \xea\x97\xa8, VAI SYLLABLE PE
U+A5E9, \xea\x97\xa9, VAI SYLLABLE BHE
U+A5EA, \xea\x97\xaa, VAI SYLLABLE BE
U+A5EB, \xea\x97\xab, VAI SYLLABLE MBE
U+A5EC, \xea\x97\xac, VAI SYLLABLE KPE
U+A5ED, \xea\x97\xad, VAI SYLLABLE KPEN
U+A5EE, \xea\x97\xae, VAI SYLLABLE MGBE
U+A5EF, \xea\x97\xaf, VAI SYLLABLE GBE
U+A5F0, \xea\x97\xb0, VAI SYLLABLE GBEN
U+A5F1, \xea\x97\xb1, VAI SYLLABLE FE
U+A5F2, \xea\x97\xb2, VAI SYLLABLE VE
U+A5F3, \xea\x97\xb3, VAI SYLLABLE TE
U+A5F4, \xea\x97\xb4, VAI SYLLABLE THE
U+A5F5, \xea\x97\xb5, VAI SYLLABLE DHE
U+A5F6, \xea\x97\xb6, VAI SYLLABLE DHHE
U+A5F7, \xea\x97\xb7, VAI SYLLABLE LE
U+A5F8, \xea\x97\xb8, VAI SYLLABLE RE
U+A5F9, \xea\x97\xb9, VAI SYLLABLE DE
U+A5FA, \xea\x97\xba, VAI SYLLABLE NDE
U+A5FB, \xea\x97\xbb, VAI SYLLABLE SE
U+A5FC, \xea\x97\xbc, VAI SYLLABLE SHE
U+A5FD, \xea\x97\xbd, VAI SYLLABLE ZE
U+A5FE, \xea\x97\xbe, VAI SYLLABLE ZHE
U+A5FF, \xea\x97\xbf, VAI SYLLABLE CE
