# Byzantine Musical Symbols
U+1D078, \xf0\x9d\x81\xb8, BYZANTINE MUSICAL SYMBOL THEMA APLOUN
U+1D079, \xf0\x9d\x81\xb9, BYZANTINE MUSICAL SYMBOL THES KAI APOTHES
U+1D07A, \xf0\x9d\x81\xba, BYZANTINE MUSICAL SYMBOL KATAVASMA
U+1D07B, \xf0\x9d\x81\xbb, BYZANTINE MUSICAL SYMBOL ENDOFONON
U+1D07C, \xf0\x9d\x81\xbc, BYZANTINE MUSICAL SYMBOL YFEN KATO
U+1D07D, \xf0\x9d\x81\xbd, BYZANTINE MUSICAL SYMBOL YFEN ANO
U+1D07E, \xf0\x9d\x81\xbe, BYZANTINE MUSICAL SYMBOL STAVROS
U+1D07F, \xf0\x9d\x81\xbf, BYZANTINE MUSICAL SYMBOL KLASMA ANO
U+1D080, \xf0\x9d\x82\x80, BYZANTINE MUSICAL SYMBOL DIPLI ARCHAION
U+1D081, \xf0\x9d\x82\x81, BYZANTINE MUSICAL SYMBOL KRATIMA ARCHAION
U+1D082, \xf0\x9d\x82\x82, BYZANTINE MUSICAL SYMBOL KRATIMA ALLO
U+1D083, \xf0\x9d\x82\x83, BYZANTINE MUSICAL SYMBOL KRATIMA NEO
U+1D084, \xf0\x9d\x82\x84, BYZANTINE MUSICAL SYMBOL APODERMA NEO
U+1D085, \xf0\x9d\x82\x85, BYZANTINE MUSICAL SYMBOL APLI
U+1D086, \xf0\x9d\x82\x86, BYZANTINE MUSICAL SYMBOL DIPLI
U+1D087, \xf0\x9d\x82\x87, BYZANTINE MUSICAL SYMBOL TRIPLI
U+1D088, \xf0\x9d\x82\x88, BYZANTINE MUSICAL SYMBOL TETRAPLI
U+1D089, \xf0\x9d\x82\x89, BYZANTINE MUSICAL SYMBOL KORONIS
U+1D08A, \xf0\x9d\x82\x8a, BYZANTINE MUSICAL SYMBOL LEIMMA ENOS CHRONOU
U+1D08B, \xf0\x9d\x82\x8b, BYZANTINE MUSICAL SYMBOL LEIMMA DYO CHRONON
U+1D08C, \xf0\x9d\x82\x8c, BYZANTINE MUSICAL SYMBOL LEIMMA TRION CHRONON
U+1D08D, \xf0\x9d\x82\x8d, BYZANTINE MUSICAL SYMBOL LEIMMA TESSARON CHRONON
U+1D08E, \xf0\x9d\x82\x8e, BYZANTINE MUSICAL SYMBOL LEIMMA IMISEOS CHRONOU
U+1D08F, \xf0\x9d\x82\x8f, BYZANTINE MUSICAL SYMBOL GORGON NEO ANO
U+1D090, \xf0\x9d\x82\x90, BYZANTINE MUSICAL SYMBOL GORGON PARESTIGMENON ARISTERA
U+1D091, \xf0\x9d\x82\x91, BYZANTINE MUSICAL SYMBOL GORGON PARESTIGMENON DEXIA
U+1D092, \xf0\x9d\x82\x92, BYZANTINE MUSICAL SYMBOL DIGORGON
U+1D093, \xf0\x9d\x82\x93, BYZANTINE MUSICAL SYMBOL DIGORGON PARESTIGMENON ARISTERA KATO
U+1D094, \xf0\x9d\x82\x94, BYZANTINE MUSICAL SYMBOL DIGORGON PARESTIGMENON ARISTERA ANO
U+1D095, \xf0\x9d\x82\x95, BYZANTINE MUSICAL SYMBOL DIGORGON PARESTIGMENON DEXIA
U+1D096, \xf0\x9d\x82\x96, BYZANTINE MUSICAL SYMBOL TRIGORGON
U+1D097, \xf0\x9d\x82\x97, BYZANTINE MUSICAL SYMBOL ARGON
U+1D098, \xf0\x9d\x82\x98, BYZANTINE MUSICAL SYMBOL IMIDIARGON
U+1D099, \xf0\x9d\x82\x99, BYZANTINE MUSICAL SYMBOL DIARGON
U+1D09A, \xf0\x9d\x82\x9a, BYZANTINE MUSICAL SYMBOL AGOGI POLI ARGI
U+1D09B, \xf0\x9d\x82\x9b, BYZANTINE MUSICAL SYMBOL AGOGI ARGOTERI
U+1D09C, \xf0\x9d\x82\x9c, BYZANTINE MUSICAL SYMBOL AGOGI ARGI
U+1D09D, \xf0\x9d\x82\x9d, BYZANTINE MUSICAL SYMBOL AGOGI METRIA
U+1D09E, \xf0\x9d\x82\x9e, BYZANTINE MUSICAL SYMBOL AGOGI MESI
U+1D09F, \xf0\x9d\x82\x9f, BYZANTINE MUSICAL SYMBOL AGOGI GORGI
U+1D0A0, \xf0\x9d\x82\xa0, BYZANTINE MUSICAL SYMBOL AGOGI GORGOTERI
U+1D0A1, \xf0\x9d\x82\xa1, BYZANTINE MUSICAL SYMBOL AGOGI POLI GORGI
U+1D0A2, \xf0\x9d\x82\xa2, BYZANTINE MUSICAL SYMBOL MARTYRIA PROTOS ICHOS
U+1D0A3, \xf0\x9d\x82\xa3, BYZANTINE MUSICAL SYMBOL MARTYRIA ALLI PROTOS ICHOS
U+1D0A4, \xf0\x9d\x82\xa4, BYZANTINE MUSICAL SYMBOL MARTYRIA DEYTEROS ICHOS
U+1D0A5, \xf0\x9d\x82\xa5, BYZANTINE MUSICAL SYMBOL MARTYRIA ALLI DEYTEROS ICHOS
U+1D0A6, \xf0\x9d\x82\xa6, BYZANTINE MUSICAL SYMBOL MARTYRIA TRITOS ICHOS
U+1D0A7, \xf0\x9d\x82\xa7, BYZANTINE MUSICAL SYMBOL MARTYRIA TRIFONIAS
U+1D0A8, \xf0\x9d\x82\xa8, BYZANTINE MUSICAL SYMBOL MARTYRIA TETARTOS ICHOS
U+1D0A9, \xf0\x9d\x82\xa9, BYZANTINE MUSICAL SYMBOL MARTYRIA TETARTOS LEGETOS ICHOS
U+1D0AA, \xf0\x9d\x82\xaa, BYZANTINE MUSICAL SYMBOL MARTYRIA LEGETOS ICHOS
U+1D0AB, \xf0\x9d\x82\xab, BYZANTINE MUSICAL SYMBOL MARTYRIA PLAGIOS ICHOS
U+1D0AC, \xf0\x9d\x82\xac, BYZANTINE MUSICAL SYMBOL ISAKIA TELOUS ICHIMATOS
U+1D0AD, \xf0\x9d\x82\xad, BYZANTINE MUSICAL SYMBOL APOSTROFOI TELOUS ICHIMATOS
U+1D0AE, \xf0\x9d\x82\xae, BYZANTINE MUSICAL SYMBOL FANEROSIS TETRAFONIAS
U+1D0AF, \xf0\x9d\x82\xaf, BYZANTINE MUSICAL SYMBOL FANEROSIS MONOFONIAS
U+1D0B0, \xf0\x9d\x82\xb0, BYZANTINE MUSICAL SYMBOL FANEROSIS DIFONIAS
U+1D0B1, \xf0\x9d\x82\xb1, BYZANTINE MUSICAL SYMBOL MARTYRIA VARYS ICHOS
U+1D0B2, \xf0\x9d\x82\xb2, BYZANTINE MUSICAL SYMBOL MARTYRIA PROTOVARYS ICHOS
U+1D0B3, \xf0\x9d\x82\xb3, BYZANTINE MUSICAL SYMBOL MARTYRIA PLAGIOS TETARTOS ICHOS
U+1D0B4, \xf0\x9d\x82\xb4, BYZANTINE MUSICAL SYMBOL GORTHMIKON N APLOUN
U+1D0B5, \xf0\x9d\x82\xb5, BYZANTINE MUSICAL SYMBOL GORTHMIKON N DIPLOUN
U+1D0B6, \xf0\x9d\x82\xb6, BYZANTINE MUSICAL SYMBOL ENARXIS KAI FTHORA VOU
U+1D0B7, \xf0\x9d\x82\xb7, BYZANTINE MUSICAL SYMBOL IMIFONON
U+1D0B8, \xf0\x9d\x82\xb8, BYZANTINE MUSICAL SYMBOL IMIFTHORON
U+1D0B9, \xf0\x9d\x82\xb9, BYZANTINE MUSICAL SYMBOL FTHORA ARCHAION DEYTEROU ICHOU
U+1D0BA, \xf0\x9d\x82\xba, BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI PA
U+1D0BB, \xf0\x9d\x82\xbb, BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI NANA
U+1D0BC, \xf0\x9d\x82\xbc, BYZANTINE MUSICAL SYMBOL FTHORA NAOS ICHOS
U+1D0BD, \xf0\x9d\x82\xbd, BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI DI
U+1D0BE, \xf0\x9d\x82\xbe, BYZANTINE MUSICAL SYMBOL FTHORA SKLIRON DIATONON DI
U+1D0BF, \xf0\x9d\x82\xbf, BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI KE
U+1D0C0, \xf0\x9d\x83\x80, BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI ZO
U+1D0C1, \xf0\x9d\x83\x81, BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI NI KATO
U+1D0C2, \xf0\x9d\x83\x82, BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI NI ANO
U+1D0C3, \xf0\x9d\x83\x83, BYZANTINE MUSICAL SYMBOL FTHORA MALAKON CHROMA DIFONIAS
U+1D0C4, \xf0\x9d\x83\x84, BYZANTINE MUSICAL SYMBOL FTHORA MALAKON CHROMA MONOFONIAS
U+1D0C5, \xf0\x9d\x83\x85, BYZANTINE MUSICAL SYMBOL FHTORA SKLIRON CHROMA VASIS
U+1D0C6, \xf0\x9d\x83\x86, BYZANTINE MUSICAL SYMBOL FTHORA SKLIRON CHROMA SYNAFI
U+1D0C7, \xf0\x9d\x83\x87, BYZANTINE MUSICAL SYMBOL FTHORA NENANO
U+1D0C8, \xf0\x9d\x83\x88, BYZANTINE MUSICAL SYMBOL CHROA ZYGOS
U+1D0C9, \xf0\x9d\x83\x89, BYZANTINE MUSICAL SYMBOL CHROA KLITON
U+1D0CA, \xf0\x9d\x83\x8a, BYZANTINE MUSICAL SYMBOL CHROA SPATHI
U+1D0CB, \xf0\x9d\x83\x8b, BYZANTINE MUSICAL SYMBOL FTHORA I YFESIS TETARTIMORION
U+1D0CC, \xf0\x9d\x83\x8c, BYZANTINE MUSICAL SYMBOL FTHORA ENARMONIOS ANTIFONIA
U+1D0CD, \xf0\x9d\x83\x8d, BYZANTINE MUSICAL SYMBOL YFESIS TRITIMORION
U+1D0CE, \xf0\x9d\x83\x8e, BYZANTINE MUSICAL SYMBOL DIESIS TRITIMORION
U+1D0CF, \xf0\x9d\x83\x8f, BYZANTINE MUSICAL SYMBOL DIESIS TETARTIMORION
U+1D0D0, \xf0\x9d\x83\x90, BYZANTINE MUSICAL SYMBOL DIESIS APLI DYO DODEKATA
U+1D0D1, \xf0\x9d\x83\x91, BYZANTINE MUSICAL SYMBOL DIESIS MONOGRAMMOS TESSERA DODEKATA
U+1D0D2, \xf0\x9d\x83\x92, BYZANTINE MUSICAL SYMBOL DIESIS DIGRAMMOS EX DODEKATA
U+1D0D3, \xf0\x9d\x83\x93, BYZANTINE MUSICAL SYMBOL DIESIS TRIGRAMMOS OKTO DODEKATA
U+1D0D4, \xf0\x9d\x83\x94, BYZANTINE MUSICAL SYMBOL YFESIS APLI DYO DODEKATA
U+1D0D5, \xf0\x9d\x83\x95, BYZANTINE MUSICAL SYMBOL YFESIS MONOGRAMMOS TESSERA DODEKATA
U+1D0D6, \xf0\x9d\x83\x96, BYZANTINE MUSICAL SYMBOL YFESIS DIGRAMMOS EX DODEKATA
U+1D0D7, \xf0\x9d\x83\x97, BYZANTINE MUSICAL SYMBOL YFESIS TRIGRAMMOS OKTO DODEKATA
U+1D0D8, \xf0\x9d\x83\x98, BYZANTINE MUSICAL SYMBOL GENIKI DIESIS
U+1D0D9, \xf0\x9d\x83\x99, BYZANTINE MUSICAL SYMBOL GENIKI YFESIS
U+1D0DA, \xf0\x9d\x83\x9a, BYZANTINE MUSICAL SYMBOL DIASTOLI APLI MIKRI
U+1D0DB, \xf0\x9d\x83\x9b, BYZANTINE MUSICAL SYMBOL DIASTOLI APLI MEGALI
U+1D0DC, \xf0\x9d\x83\x9c, BYZANTINE MUSICAL SYMBOL DIASTOLI DIPLI
U+1D0DD, \xf0\x9d\x83\x9d, BYZANTINE MUSICAL SYMBOL DIASTOLI THESEOS
U+1D0DE, \xf0\x9d\x83\x9e, BYZANTINE MUSICAL SYMBOL SIMANSIS THESEOS
U+1D0DF, \xf0\x9d\x83\x9f, BYZANTINE MUSICAL SYMBOL SIMANSIS THESEOS DISIMOU
U+1D0E0, \xf0\x9d\x83\xa0, BYZANTINE MUSICAL SYMBOL SIMANSIS THESEOS TRISIMOU
U+1D0E1, \xf0\x9d\x83\xa1, BYZANTINE MUSICAL SYMBOL SIMANSIS THESEOS TETRASIMOU
U+1D0E2, \xf0\x9d\x83\xa2, BYZANTINE MUSICAL SYMBOL SIMANSIS ARSEOS
U+1D0E3, \xf0\x9d\x83\xa3, BYZANTINE MUSICAL SYMBOL SIMANSIS ARSEOS DISIMOU
U+1D0E4, \xf0\x9d\x83\xa4, BYZANTINE MUSICAL SYMBOL SIMANSIS ARSEOS TRISIMOU
U+1D0E5, \xf0\x9d\x83\xa5, BYZANTINE MUSICAL SYMBOL SIMANSIS ARSEOS TETRASIMOU
U+1D0E6, \xf0\x9d\x83\xa6, BYZANTINE MUSICAL SYMBOL DIGRAMMA GG
U+1D0E7, \xf0\x9d\x83\xa7, BYZANTINE MUSICAL SYMBOL DIFTOGGOS OU
U+1D0E8, \xf0\x9d\x83\xa8, BYZANTINE MUSICAL SYMBOL STIGMA
U+1D0E9, \xf0\x9d\x83\xa9, BYZANTINE MUSICAL SYMBOL ARKTIKO PA
U+1D0EA, \xf0\x9d\x83\xaa, BYZANTINE MUSICAL SYMBOL ARKTIKO VOU
U+1D0EB, \xf0\x9d\x83\xab, BYZANTINE MUSICAL SYMBOL ARKTIKO GA
U+1D0EC, \xf0\x9d\x83\xac, BYZANTINE MUSICAL SYMBOL ARKTIKO DI
U+1D0ED, \xf0\x9d\x83\xad, BYZANTINE MUSICAL SYMBOL ARKTIKO KE
U+1D0EE, \xf0\x9d\x83\xae, BYZANTINE MUSICAL SYMBOL ARKTIKO ZO
U+1D0EF, \xf0\x9d\x83\xaf, BYZANTINE MUSICAL SYMBOL ARKTIKO NI
U+1D0F0, \xf0\x9d\x83\xb0, BYZANTINE MUSICAL SYMBOL KENTIMATA NEO MESO
U+1D0F1, \xf0\x9d\x83\xb1, BYZANTINE MUSICAL SYMBOL KENTIMA NEO MESO
U+1D0F2, \xf0\x9d\x83\xb2, BYZANTINE MUSICAL SYMBOL KENTIMATA NEO KATO
U+1D0F3, \xf0\x9d\x83\xb3, BYZANTINE MUSICAL SYMBOL KENTIMA NEO KATO
U+1D0F4, \xf0\x9d\x83\xb4, BYZANTINE MUSICAL SYMBOL KLASMA KATO
U+1D0F5, \xf0\x9d\x83\xb5, BYZANTINE MUSICAL SYMBOL GORGON NEO KATO
