# Alchemical Symbols
U+1F76A, \xf0\x9f\x9d\xaa, ALCHEMICAL SYMBOL FOR ALEMBIC
U+1F76B, \xf0\x9f\x9d\xab, ALCHEMICAL SYMBOL FOR BATH OF MARY
U+1F76C, \xf0\x9f\x9d\xac, ALCHEMICAL SYMBOL FOR BATH OF VAPOURS
U+1F76D, \xf0\x9f\x9d\xad, ALCHEMICAL SYMBOL FOR RETORT
U+1F76E, \xf0\x9f\x9d\xae, ALCHEMICAL SYMBOL FOR HOUR
U+1F76F, \xf0\x9f\x9d\xaf, ALCHEMICAL SYMBOL FOR NIGHT
U+1F770, \xf0\x9f\x9d\xb0, ALCHEMICAL SYMBOL FOR DAY-NIGHT
U+1F771, \xf0\x9f\x9d\xb1, ALCHEMICAL SYMBOL FOR MONTH
U+1F772, \xf0\x9f\x9d\xb2, ALCHEMICAL SYMBOL FOR HALF DRAM
U+1F773, \xf0\x9f\x9d\xb3, ALCHEMICAL SYMBOL FOR HALF OUNCE
