# Variation Selectors Supplement
U+E0199, \xf3\xa0\x86\x99, VARIATION SELECTOR-170
U+E019A, \xf3\xa0\x86\x9a, VARIATION SELECTOR-171
U+E019B, \xf3\xa0\x86\x9b, VARIATION SELECTOR-172
U+E019C, \xf3\xa0\x86\x9c, VARIATION SELECTOR-173
U+E019D, \xf3\xa0\x86\x9d, VARIATION SELECTOR-174
U+E019E, \xf3\xa0\x86\x9e, VARIATION SELECTOR-175
U+E019F, \xf3\xa0\x86\x9f, VARIATION SELECTOR-176
U+E01A0, \xf3\xa0\x86\xa0, VARIATION SELECTOR-177
U+E01A1, \xf3\xa0\x86\xa1, VARIATION SELECTOR-178
U+E01A2, \xf3\xa0\x86\xa2, VARIATION SELECTOR-179
U+E01A3, \xf3\xa0\x86\xa3, VARIATION SELECTOR-180
U+E01A4, \xf3\xa0\x86\xa4, VARIATION SELECTOR-181
U+E01A5, \xf3\xa0\x86\xa5, VARIATION SELECTOR-182
U+E01A6, \xf3\xa0\x86\xa6, VARIATION SELECTOR-183
U+E01A7, \xf3\xa0\x86\xa7, VARIATION SELECTOR-184
U+E01A8, \xf3\xa0\x86\xa8, VARIATION SELECTOR-185
U+E01A9, \xf3\xa0\x86\xa9, VARIATION SELECTOR-186
U+E01AA, \xf3\xa0\x86\xaa, VARIATION SELECTOR-187
U+E01AB, \xf3\xa0\x86\xab, VARIATION SELECTOR-188
U+E01AC, \xf3\xa0\x86\xac, VARIATION SELECTOR-189
U+E01AD, \xf3\xa0\x86\xad, VARIATION SELECTOR-190
U+E01AE, \xf3\xa0\x86\xae, VARIATION SELECTOR-191
U+E01AF, \xf3\xa0\x86\xaf, VARIATION SELECTOR-192
U+E01B0, \xf3\xa0\x86\xb0, VARIATION SELECTOR-193
U+E01B1, \xf3\xa0\x86\xb1, VARIATION SELECTOR-194
U+E01B2, \xf3\xa0\x86\xb2, VARIATION SELECTOR-195
U+E01B3, \xf3\xa0\x86\xb3, VARIATION SELECTOR-196
U+E01B4, \xf3\xa0\x86\xb4, VARIATION SELECTOR-197
U+E01B5, \xf3\xa0\x86\xb5, VARIATION SELECTOR-198
U+E01B6, \xf3\xa0\x86\xb6, VARIATION SELECTOR-199
U+E01B7, \xf3\xa0\x86\xb7, VARIATION SELECTOR-200
U+E01B8, \xf3\xa0\x86\xb8, VARIATION SELECTOR-201
U+E01B9, \xf3\xa0\x86\xb9, VARIATION SELECTOR-202
U+E01BA, \xf3\xa0\x86\xba, VARIATION SELECTOR-203
